Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,724.591003,,-583.776001,,140.815002,,-74.964996,,,,,65.849998,3.822,,0.0,,,,-3.822,69.671999,-26.127001,43.544998,0.0,,,43.544998,0.0,43.544998,0.0,,43.544998,43.544998,,51.944661,0.84,0.84,,51.944661,0.84,0.84,0.84,
06/30/1990,759.794983,,-607.440002,,152.35498,,-75.024002,,,,,77.331001,4.858,,,,,,-4.858,82.189001,-30.820999,51.368,0.0,,,51.368002,0.0,51.368,0.0,,51.368,51.368,,51.95666,0.99,0.99,,51.95666,0.99,0.99,0.99,
09/30/1990,898.281982,,-716.507019,,181.774963,,-81.07,,,,,100.705002,-1.137,,,,,,1.137,99.568002,-36.799999,62.768002,0.0,,,62.768003,0.0,62.768002,0.0,,62.768002,62.768002,,51.76266,1.215,1.215,,51.76266,1.215,1.215,1.215,
12/31/1990,1115.275024,,-901.669983,,213.605042,,-95.654999,,,,,117.949997,-9.182,,17.0,,,,-7.818,108.767997,-40.603001,68.165001,0.0,,,68.164996,0.0,68.165001,0.0,,68.165001,68.165001,,51.63266,1.32,1.32,,51.63266,1.32,1.32,1.32,
03/31/1991,868.098022,,-722.64801,,145.450012,,-87.986,,,,,57.464001,-10.577,,12.003,,,,-1.426,46.887,-16.879,30.007999,0.0,,,30.008001,0.0,30.007999,0.0,,30.007999,30.007999,,51.711995,0.585,0.585,,51.711995,0.585,0.585,0.585,
06/30/1991,927.872009,,-757.223022,,170.648987,,-91.050003,,,,,79.598999,-11.664,,12.672,,,,-1.008,67.934999,-24.457001,43.478001,0.0,,,43.477998,0.0,43.478001,0.0,,43.478001,43.478001,,51.843328,0.84,0.84,,51.843328,0.84,0.84,0.84,
09/30/1991,980.573975,,-784.969971,,195.604004,,-87.593002,,,,,108.011002,-9.691,,11.755,,,,-2.064,98.320001,-35.395,62.924999,0.0,,,62.925001,0.0,62.924999,0.0,,62.924999,62.924999,,51.822662,1.215,1.215,,51.822662,1.215,1.215,1.215,
12/31/1991,1138.284058,,-923.083984,,215.200073,,-97.146004,,,,,118.054001,-11.01,,10.23,,,,0.78,107.044001,-38.535999,68.508003,0.0,,,68.508002,0.0,68.508003,0.0,,68.508003,68.508003,,51.771993,1.32,1.32,,51.771993,1.32,1.32,1.32,
03/31/1992,938.171997,,-775.528015,,162.643982,,-97.069,,,,,65.574997,-10.938,,9.218,,,,1.72,54.636997,-19.122999,35.514,0.0,,,35.513997,0.0,35.514,0.0,,35.514,35.514,,51.803329,0.69,0.69,,51.803329,0.69,0.69,0.69,
06/30/1992,1006.856018,,-816.697998,,190.15802,,-97.542,,,,,92.615997,-10.011,,9.228,,,,0.783,82.604998,-28.912001,53.693001,0.0,,,53.692997,0.0,53.693001,0.0,,53.693001,53.693001,,51.825327,1.035,1.035,,51.825327,1.035,1.035,1.035,
09/30/1992,1038.781006,,-819.653015,,219.127991,,-98.658997,,,,,120.469002,-9.147,,10.184,,,,-1.037,111.322002,-38.962002,72.360001,0.0,,,72.36,0.0,72.360001,0.0,,72.360001,72.360001,,51.832992,1.41,1.41,,51.832992,1.41,1.41,1.41,
01/01/1993,1209.262939,,-963.335022,,245.927917,,-119.086998,,,,,126.841003,-14.391,,10.029,,,,4.362,112.450003,-39.358002,73.092003,0.0,,,73.092001,0.0,73.092003,0.0,,73.092003,73.092003,,51.716659,1.41,1.41,,51.716659,1.41,1.41,1.41,
03/31/1993,960.341003,,-785.505981,,174.835022,,-103.853996,,,,,70.981003,-103.734002,,11.21,,,,92.524002,-32.752999,10.645,-22.108,69.500008,,,-91.608006,0.0,-91.608002,0.0,,-91.608002,-91.608002,,51.627996,-1.77,-0.42,,51.627996,-1.77,-0.42,-0.42,
06/30/1993,993.963989,,-798.612976,,195.351013,,-105.431,,,,,89.919998,-11.74,,11.254,,,,0.486,78.179998,-25.409,52.771,0.0,,,52.770998,0.0,52.771,0.0,,52.771,52.771,,51.566996,1.02,1.02,,51.566996,1.02,1.02,1.02,
09/30/1993,1123.848022,,-891.825989,,232.022034,,-110.155998,,,,,121.865997,-9.204,,11.149,,,,-1.945,112.661997,-43.210999,69.450996,0.0,,,69.450999,0.0,69.450996,0.0,,69.450996,69.450996,,51.491328,1.35,1.35,,51.491328,1.35,1.35,1.35,
12/31/1993,1309.608032,,-1042.223022,,267.38501,,-224.544998,,,,,42.84,75.633001,,11.823,,,,-87.456001,118.473001,-39.667,78.806,0.0,,,78.806002,0.0,78.806,0.0,,78.806,78.806,,51.379664,1.53,1.53,,51.379664,1.53,1.53,1.53,
03/31/1994,1070.876953,,-877.023987,,193.852966,,-115.150002,,,,,78.703003,-15.768,,11.728,,,,4.04,62.935003,-20.139,42.796001,0.0,,,42.796003,0.0,42.796001,0.0,,42.796001,42.796001,,51.424993,0.84,0.84,,51.424993,0.84,0.84,0.84,
06/30/1994,1117.338013,,-899.518982,,217.819031,,-118.120003,,,,,99.698997,-13.907,,12.472,,,,1.435,85.791997,-27.454,58.338001,0.0,,,58.337997,0.0,58.338001,0.0,,58.338001,58.338001,,51.455663,1.14,1.14,,51.455663,1.14,1.14,1.14,
09/30/1994,1242.973022,,-987.927002,,255.046021,,-122.848,,,,,132.197998,-14.449,,13.569,,,,0.88,117.748998,-37.679001,80.07,0.0,,,80.069997,0.0,80.07,0.0,,80.07,80.07,,51.271993,1.56,1.56,,51.271993,1.56,1.56,1.56,
12/31/1994,1457.598022,,-1174.024048,,283.573974,,-134.742996,,,,,148.830994,-20.303,,15.724,,,0.0,4.579,128.527994,-41.129002,87.399002,0.0,,,87.398992,0.0,87.399002,0.0,,87.399002,87.399002,,51.10466,1.71,1.71,1.71,51.10466,1.71,1.71,1.71,
03/31/1995,1318.088989,,-1088.274048,,229.814941,,-135.354996,,,,,94.459999,-25.575,,22.584,,,,2.991,68.884999,-22.042999,46.841999,0.0,,,46.842,0.0,46.841999,0.0,,46.841999,46.841999,,51.040995,0.93,0.93,0.93,51.040995,0.93,0.93,0.93,
