Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,1335.196,564.721,245.111,319.61,251.945,220.354,,,,,,,52.69,,,,,869.356,368.689,645.273,-276.584,6.539,,90.612,,,,90.612,465.84,,125.59,125.59,,9.744,,,,,,220.951,,,,220.951,356.285,36.957,,,,,210.823,,,210.823,247.78,604.065,,319.328,,,,398.62,0.904,718.852,12.279,731.131,1335.196,
06/30/2001,1366.668,609.715,344.848,264.867,223.431,203.041,,,,,,,53.573,,,,,886.719,372.204,667.117,-294.913,19.125,,88.62,,,,88.62,479.949,,124.851,124.851,,5.107,,,,,,219.95,,,,219.95,349.908,283.431,,,,,217.658,,,217.658,501.089,850.997,,345.221,,,-240.0,418.202,-9.744,513.679,1.992,515.671,1366.668,
09/30/2001,1318.455,563.193,329.099,234.094,207.378,190.043,,,,,,,59.157,,,,,829.728,380.409,695.556,-315.147,23.938,,84.38,,,,84.38,488.727,,103.742,103.742,,4.105,,,,,,182.414,,,,182.414,290.261,286.5,,,,,210.773,,,210.773,497.273,787.534,,345.181,,,-240.0,426.147,-4.854,526.474,4.447,530.921,1318.455,
12/31/2001,1326.251,521.76,293.731,228.029,228.993,,,,,,,,64.419,,,,,815.172,378.833,715.361,-336.528,28.569,,103.677,18.4,10.138,8.262,85.277,511.079,,111.676,111.676,,15.914,11.46,4.454,4.454,,,165.962,,,,165.962,293.552,300.673,288.548,12.125,12.125,,208.261,,,208.261,508.934,802.486,,349.759,,,-240.0,,408.629,518.388,5.377,523.765,1326.251,
03/31/2002,1105.243,307.139,172.411,134.728,241.045,201.804,,,,,,,57.067,,,,,605.251,372.274,731.143,-358.869,25.486,,102.232,18.969,10.138,8.831,83.263,499.992,,112.384,112.384,,10.064,5.836,4.228,4.228,,,247.297,,,,247.297,369.745,300.151,289.165,10.986,10.986,,192.624,,,192.624,492.775,862.52,126.516,362.607,,,-669.454,431.776,-11.678,239.767,2.956,242.723,1105.243,
06/30/2002,1233.189,464.597,330.835,133.762,204.526,187.223,,,,,,,68.059,,,,,737.182,369.855,740.528,-370.673,21.383,,104.769,18.251,10.138,8.113,86.518,496.007,,115.353,115.353,,9.912,5.836,4.076,4.076,,,208.461,,,,208.461,333.726,452.591,442.443,10.148,10.148,,192.443,,,192.443,645.034,978.76,128.958,359.135,,,-669.454,438.105,-2.615,254.129,0.3,254.429,1233.189,
09/30/2002,1191.554,474.326,274.17,200.156,186.152,174.017,,,,,,,61.063,,,,,721.541,359.192,758.988,-399.796,12.821,,98.0,17.575,10.138,7.437,80.425,470.013,,89.824,89.824,,28.671,24.623,4.048,4.048,,,163.204,,,,163.204,281.699,449.168,440.122,9.046,9.046,,197.307,,,197.307,646.475,928.174,131.399,364.371,,,-669.454,448.375,-8.657,266.034,-2.654,263.38,1191.554,
12/31/2002,1175.914,445.07,204.271,240.799,166.471,166.471,,0.0,0.0,0.0,0.0,0.0,85.465,,,,,697.006,361.225,738.949,-377.724,9.756,,107.927,16.643,10.138,6.505,91.284,478.908,,99.758,99.758,,15.725,11.329,4.396,4.396,,,179.978,,,,179.978,295.461,437.424,429.689,7.735,7.735,,178.639,,,178.639,616.063,911.524,133.84,359.542,,,-669.454,446.253,0.691,270.872,-6.482,264.39,1175.914,
03/31/2003,1210.615,520.481,277.307,243.174,152.486,144.661,,,,,,,79.988,,,,,752.955,355.431,760.227,-404.796,,,102.229,18.692,12.017,6.675,83.537,457.66,,61.917,61.917,,15.383,10.915,4.468,4.468,,,225.74,,,,225.74,303.04,436.827,430.281,6.546,6.546,,201.591,,,201.591,638.418,941.458,133.84,364.323,,,-669.601,448.169,-4.633,272.098,-2.941,269.157,1210.615,
06/30/2003,1166.302,530.602,269.107,261.495,146.363,139.133,,,,,,,74.159,,,,,751.124,328.987,740.891,-411.904,,,86.191,6.145,1.981,4.164,80.046,415.178,,47.001,47.001,,10.94,4.892,6.048,6.048,,,253.148,,,,253.148,311.089,418.223,414.227,3.996,3.996,,203.778,,,203.778,622.001,933.09,133.84,363.199,,,-668.431,396.617,1.345,226.57,6.642,233.212,1166.302,
09/30/2003,909.844,349.376,127.836,221.54,133.726,128.048,,,,,,,73.284,,,,,556.386,278.461,699.616,-421.155,1.506,,73.491,1.944,,,71.547,353.458,,44.742,44.742,,10.865,4.954,5.911,5.911,,,209.796,,,,209.796,265.403,271.29,268.264,3.026,3.026,,190.817,,,190.817,462.107,727.51,133.84,360.507,,,-668.431,356.067,0.351,182.334,,182.334,909.844,
12/31/2003,851.254028,358.397995,148.929001,209.468994,119.136002,,,0.0,0.0,0.0,0.0,0.0,52.083,,,,,529.617004,242.942993,611.984009,-369.040985,4.506,,74.188004,0.871,0.0,0.871,73.317004,321.636997,,29.959,29.959,,1.607,0.0,1.607,1.607,,,206.064997,,,,206.064997,237.630997,265.0,265.0,0.0,0.0,,187.927002,,,187.927002,452.927002,690.557999,133.839996,363.109985,,,-667.765015,332.527008,-1.015991,160.695984,0.0,160.695984,851.253983,
03/31/2004,873.471,396.952,133.608,263.344,111.501,111.452,,,,,,,52.731,,,,,561.184,228.007,614.649,-386.642,9.506,,74.774,0.841,,,73.933,312.287,,24.556,24.556,,,,,,,,235.387,,,,235.387,259.943,265.0,,,,,186.526,,,186.526,451.526,711.469,133.84,362.666,,,-667.85,334.359,-1.013,162.002,,162.002,873.471,
06/30/2004,855.085,423.311,222.385,200.926,74.22,74.192,,,,,,,48.714,,,,,546.245,214.626,606.413,-391.787,21.967,,72.247,0.812,,,71.435,308.84,,22.669,22.669,,,,,,,,223.643,,,,223.643,246.312,265.0,,,,,181.352,,,181.352,446.352,692.664,133.84,359.921,,,-666.542,335.597,-0.395,162.421,,162.421,855.085,
09/30/2004,850.535,262.568,47.986,214.582,92.515,92.282,,,,,,,43.767,,,,,398.85,205.335,567.229,-361.894,5.01,,241.34,184.129,141.73,42.399,57.211,451.685,,37.288,37.288,,0.0,0.0,0.0,0.0,,,203.05,,,,203.05,240.338,265.0,,,,,188.115,,,188.115,453.115,693.453,133.84,362.562,,,-666.543,329.108,-1.885,157.082,0.0,157.082,850.535,
12/31/2004,814.82,261.699,58.186,203.513,104.258,104.258,,0.0,0.0,0.0,0.0,0.0,40.24,,,,,406.197,173.84,442.627,-268.787,2.008,,232.775,182.172,141.381,40.791,50.603,408.623,,40.18,40.18,,0.0,0.0,0.0,0.0,,,168.136,,,,168.136,208.316,265.0,265.0,0.0,0.0,,184.941,,,184.941,449.941,658.257,130.134,359.816,,,-662.002,330.701,-2.086,156.563,0.0,156.563,814.82,
03/31/2005,887.489,345.597,83.941,261.656,108.016,,,,,,,,42.008,,,,,495.621,162.11,438.853,-276.743,,,229.758,182.481,141.958,40.523,47.277,391.868,,42.778,42.778,,,,,,,,233.18,,,,233.18,275.958,265.0,,,,,178.009,,,178.009,443.009,718.967,131.06,360.785,,,-661.405,341.541,-3.459,168.522,,168.522,887.489,
06/30/2005,1072.006,550.34,304.286,246.054,112.86,,,,,,,,33.171,,,,,696.371,134.676,417.001,-282.325,,,240.959,181.701,142.417,39.284,59.258,375.635,,46.217,46.217,,,,,,,,205.818,,,,205.818,252.035,467.239,,,,,178.79,,,178.79,646.029,898.064,94.027,374.273,,,-643.592,353.266,-4.032,173.942,,173.942,1072.006,
09/30/2005,1113.238,545.246,288.764,256.482,133.276,,,,,,,,67.715,,,,,746.237,126.381,364.478,-238.097,,,240.62,181.806,143.81,37.996,58.814,367.001,,56.186,56.186,,,,,,,,191.989,,,,191.989,248.175,467.333,,,,,181.157,,,181.157,648.49,896.665,94.687,379.626,,,-625.021,369.692,-3.567,215.417,1.156,216.573,1113.238,
12/31/2005,2046.786,344.606,165.237,179.369,207.632,,,,,,,,44.725,,,,,596.963,122.576,356.462,-233.886,,,1327.247,1177.371,961.893,215.478,149.876,1449.823,,118.884,118.884,,7.5,,,,,,198.944,,,,198.944,325.328,1184.928,,,,,282.525,,,282.525,1467.453,1792.781,95.017,391.785,,,-613.369,385.794,-6.22,253.007,0.998,254.005,2046.786,
03/31/2006,2346.547,596.18,374.905,221.275,241.018,,,0.0,0.0,0.0,0.0,0.0,52.09,,,,,889.288,107.763,354.936,-247.173,0.0,,1349.496,1204.937,988.462,216.475,144.559,1457.259,,112.635,112.635,,7.5,7.5,0.0,0.0,,,238.722,,,,238.722,358.857,1183.147,1183.147,0.0,0.0,,282.292,,,282.292,1465.439,1824.296,,608.454,,,-488.91,403.092,-1.247,521.389,0.862,522.251,2346.547,
06/30/2006,3415.234,1704.342,488.817,1215.525,234.395,234.395,,0.0,0.0,0.0,0.0,0.0,49.951,,,,,1988.688,94.305,317.209,-222.904,0.0,,1332.241,1195.528,988.277,207.251,136.713,1426.546,,112.092,112.092,,11.848,11.848,0.0,0.0,,,217.289,,,,217.289,341.229,1612.565,1612.565,0.0,0.0,,282.104,,,282.104,1894.669,2235.898,0.0,1040.537,,,-249.594,419.736,-31.888,1178.791,0.545,1179.336,3415.234,
09/30/2006,3542.395,1860.371,440.545,1419.826,228.387,228.387,,0.0,0.0,0.0,0.0,0.0,46.037,,,,,2134.795,62.949,,,0.0,,1344.651,1203.889,999.285,204.604,140.762,1407.6,,118.39,118.39,,11.693,11.693,0.0,0.0,,,219.517,,,,219.517,349.6,1594.51,1594.51,0.0,0.0,,280.412,,,280.412,1874.922,2224.522,0.0,1042.213,,,-245.881,449.962,71.168,1317.462,0.411,1317.873,3542.395,
12/31/2006,3716.452,1950.204,321.995,1628.209,233.266,233.266,,0.0,0.0,0.0,0.0,0.0,129.076,,,,,2312.546,65.269,224.383,-159.114,0.0,,1338.637,1228.365,1028.746,199.619,110.272,1403.906,,170.753,170.753,,10.681,10.681,0.0,0.0,,,279.101,,,,279.101,460.535,1492.947,1492.947,0.0,0.0,,305.519,,,305.519,1798.466,2259.001,0.0,1047.906,,,-239.752,512.997,136.204,1457.355,0.096,1457.451,3716.452,
03/31/2007,3767.243,2025.027,493.249,1531.778,299.197,299.197,,0.0,0.0,0.0,0.0,0.0,44.598,,,,,2368.822,61.893,,,0.0,,1336.528,1223.632,1028.926,194.706,112.896,1398.421,,200.903,200.903,,10.681,10.681,0.0,0.0,,,329.932,,,,329.932,541.516,1490.371,1490.371,0.0,0.0,,293.582,,,293.582,1783.953,2325.469,0.0,1052.527,,,-236.668,530.313,95.602,1441.774,0.0,1441.774,3767.243,
06/30/2007,4005.313,2269.982,574.998,1694.984,284.606,284.606,,0.0,0.0,0.0,0.0,0.0,58.124,,,,,2612.712,60.537,,,,,1332.064,1218.825,1029.031,189.794,113.239,1392.601,,124.309,124.309,,10.681,10.681,0.0,0.0,,,487.298,,,,487.298,622.288,1487.795,1487.795,0.0,0.0,,292.258,,,292.258,1780.053,2402.341,0.0,1057.895,,,-231.871,586.441,190.507,1602.972,,1602.972,4005.313,
09/30/2007,3000.018,1267.863,1258.662,9.201,274.144,274.144,,0.0,0.0,0.0,0.0,0.0,168.923,,,,,1710.93,62.01,,,0.0,,1227.078,1162.251,975.74,186.511,64.827,1289.088,,127.53,127.53,,0.0,0.0,0.0,0.0,,,397.3,,,,397.3,524.83,443.088,443.088,0.0,0.0,,251.383,,,251.383,694.471,1219.301,0.0,1065.143,,,-225.169,951.435,-10.692,1780.717,0.0,1780.717,3000.018,
12/31/2007,2979.397,1325.314,1325.314,0.0,249.524,249.524,,0.0,0.0,0.0,0.0,0.0,107.179,,,,,1682.017,64.523,208.642,-144.119,0.0,,1232.857,1162.348,980.736,181.612,70.509,1297.38,,115.114,115.114,,0.0,0.0,0.0,0.0,,,296.083,,,,296.083,411.197,118.438,118.438,0.0,0.0,,241.479,,,241.479,359.917,771.114,0.0,1190.617,,,-8.035,1030.398,-4.697,2208.283,0.0,2208.283,2979.397,
03/31/2008,8791.307,857.228,736.02,121.208,403.614,403.614,,,,,,,674.172,,,,,1935.014,189.786,,,,,6666.507,6132.864,3918.636,2214.228,533.643,6856.293,,208.837,208.837,,68.906,,,,,,1136.324,,,,1136.324,1414.067,1574.59,,,,,1177.674,,,1177.674,2752.264,4166.331,0.0,3467.195,,,-9.259,1151.761,2.888,4612.585,12.391,4624.976,8791.307,
06/30/2008,8968.985,876.97,739.999,136.971,354.931,354.931,,,,,,,931.685,,,,,2163.586,160.056,,,,,6645.343,6114.241,4074.588,2039.653,531.102,6805.399,,219.866,219.866,,98.438,,,,,,1277.499,,,,1277.499,1595.803,1545.145,,,,,1099.88,,,1099.88,2645.025,4240.828,0.0,3476.454,,,-9.896,1253.398,-4.695,4715.261,12.896,4728.157,8968.985,
09/30/2008,10218.646,931.962,737.9,194.062,375.625,375.625,,,,,,,1013.325,,,,,2320.912,192.8,,,,,7704.934,7089.016,4681.759,2407.257,615.918,7897.734,,287.773,287.773,,206.25,,,,,,1267.095,,,,1267.095,1761.118,2349.919,,,,,1349.211,,,1349.211,3699.13,5460.248,0.0,3490.975,,,-13.147,1313.514,-36.702,4754.64,3.758,4758.398,10218.646,
