Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,181.702999,-116.709999,64.993,0.336,15.024,5.506,85.859,-13.49,72.369,-57.394001,14.975,0.0,14.975,-2.34,12.635,,,12.635,0,,12.635,,,12.635,,0.06963,0.06963,183.208501,0.06963,0.06963,0.06963,183.208501,
06/30/1990,191.818996,-123.182999,68.635998,0.02,15.724,6.282,90.661998,-10.489,80.172997,-54.921001,25.252001,0.0,25.252001,-6.228,19.024,,,19.024,0,,19.024,,,19.024001,,0.103704,0.103704,183.397501,0.103704,0.103704,0.103704,183.397501,
09/30/1990,196.818993,-125.719002,71.099991,0.064,15.889,4.345,91.397991,-8.915,82.482991,-57.580002,24.903,0.0,24.903,-6.152,18.750999,,,18.750999,0,,18.750999,,,18.751,,0.102222,0.102222,183.465002,0.102222,0.102222,0.102222,183.465002,
12/31/1990,210.101006,-132.716995,77.384011,0.044,32.289001,-8.22,101.497012,-11.741,89.756012,-64.818001,24.938,0.0,24.938,-5.64,19.298,0.0,0.0,19.298,0,,19.298,,,19.298,0.105185,0.105185,0.105185,183.502118,0.105185,0.105185,0.105185,183.502118,
03/31/1991,203.358006,-123.550003,79.808002,0.073,17.636,6.302,103.819002,-8.996,94.823002,-68.228996,26.594,,26.594,-6.359,20.235001,,,20.235001,0,,20.235001,,,20.235,,0.10963,0.10963,184.2885,0.10963,0.10963,0.10963,184.2885,
06/30/1991,202.724995,-117.929001,84.795994,0.143,18.707001,6.49,110.135994,-9.288,100.847994,-70.000999,30.847,,30.847,-8.363,22.483999,,,22.483999,0,,22.483999,,,22.484,,0.121481,0.121481,185.327996,0.121481,0.121481,0.121481,185.327996,
09/30/1991,210.43,-119.305,91.125,0.306,19.711,6.628,117.77,-9.057,108.713,-75.683998,33.028999,,33.028999,-9.438,23.591,,,23.591,0,,23.591,,,23.591,,0.122963,0.122963,192.732747,0.122963,0.122963,0.122963,192.732747,
12/31/1991,210.69799,-113.668999,97.028991,0.158,39.570999,-10.33,126.42799,-10.701,115.72699,-82.882004,32.845001,0.0,32.845001,-9.149,23.695999,0.0,0.0,23.695999,0,,23.695999,,,23.696001,0.12,0.12,0.12,195.728717,0.12,0.12,0.12,195.728717,
03/31/1992,201.051994,-100.511002,100.540993,-0.05,21.679001,6.868,129.037994,-10.286,118.751993,-82.179001,36.573002,,36.573002,-10.798,25.775,,,25.775,0,,25.775,,,25.775002,,0.128889,0.128889,200.241005,0.128889,0.128889,0.128889,200.241005,
06/30/1992,208.082993,-98.165001,109.917992,0.306,23.65,7.783,141.656991,-10.305,131.351991,-91.612,39.740002,,39.740002,-12.268,27.472,,,27.472,0,,27.472,,,27.472002,,0.137778,0.137778,200.547009,0.137778,0.137778,0.137778,200.547009,
09/30/1992,209.43399,-93.297997,116.135994,0.245,25.951,8.601,150.932994,-11.369,139.563994,-97.024002,42.540001,,42.540001,-13.428,29.112,,,29.112,0,,29.112,,,29.112,,0.14,0.14,207.940498,0.14,0.14,0.14,207.940498,
12/31/1992,213.655007,-90.956001,122.699006,0.133,50.846001,-13.473,160.205007,-11.345,148.860007,-102.820999,46.039001,0.0,46.039001,-14.152,31.886999,0.0,0.0,31.886999,0,,31.886999,,,31.887001,0.146667,0.146667,0.146667,217.78128,0.146667,0.146667,0.146667,217.78128,
03/31/1993,224.332001,-96.32,128.012001,0.346,35.018002,2.717,166.093003,-11.305,154.788002,-103.175003,51.612999,0.0,51.612999,-16.768999,34.844002,,,34.844002,0,,34.844002,,,34.844,,0.153333,0.153333,228.735008,0.153333,0.153333,0.153333,228.735008,
06/30/1993,231.908997,-101.017998,130.890999,0.207,37.935001,3.312,172.345,-11.1,161.245,-105.795998,55.449001,0.0,55.449001,-18.209,37.240002,0.0,0.0,37.240002,0,,37.240002,,,37.240002,,0.16,0.16,233.258995,0.16,0.16,0.16,233.258995,
09/30/1993,235.209,-100.098999,135.110001,0.016,40.796001,3.139,179.061002,-11.718,167.343002,-109.028,58.314999,0.0,58.314999,-19.243999,39.070999,0.0,0.0,39.070999,0,,39.070999,,,39.070999,,0.166667,0.166667,234.593994,0.166667,0.166667,0.166667,234.593994,
12/31/1993,236.101002,-100.306,135.795002,0.034,49.651001,1.531,187.011003,-10.909,176.102003,-116.952003,59.150002,0.0,59.150002,-19.77,39.380001,0.0,0.0,39.380001,0,,39.380001,,,39.380002,0.166667,0.166667,0.166667,236.571006,0.166667,0.166667,0.166667,236.571006,
03/31/1994,238.206997,-99.880997,138.326,0.066,43.646999,3.109,185.148,-10.189,174.958999,-113.404999,61.554001,0.0,61.554001,-20.816999,40.737,0.0,0.0,40.737,0,,40.737,,,40.737001,,0.17,0.17,239.541,0.17,0.17,0.17,239.541,
06/30/1994,261.673004,-112.747002,148.926003,-0.009,43.247002,1.449,193.613004,-11.703,181.910004,-118.512001,63.397999,0.0,63.397999,-21.006001,42.391998,0.0,0.0,42.391998,0,,42.391998,,,42.391998,,0.176667,0.176667,239.960999,0.176667,0.176667,0.176667,239.960999,
09/30/1994,292.228001,-133.229004,158.998997,0.06,43.370998,2.955,205.384995,-11.38,194.004995,-126.982002,67.023003,0.0,67.023003,-22.517,44.506001,0.0,0.0,44.506001,0,,44.506001,,,44.506002,,0.183333,0.183333,242.865005,0.183333,0.183333,0.183333,242.865005,
12/31/1994,316.503998,-155.210007,161.293991,0.213,43.974998,2.695,208.176989,-11.712,196.464989,-127.099998,69.364998,0.0,69.364998,-23.997999,45.367001,0.0,0.0,45.367001,0,,45.367001,,,45.366999,0.186667,0.186667,0.186667,245.106009,0.186667,0.186667,0.186667,245.106009,
03/31/1995,339.602001,-177.007996,162.594006,0.095,45.428001,2.419,210.536007,-12.542,197.994007,-126.955002,71.039001,0.0,71.039001,-24.198999,46.84,0.0,0.0,46.84,0,,46.84,,,46.840002,,0.19,0.19,246.444008,0.19,0.19,0.19,246.444008,
06/30/1995,362.411995,-195.117004,167.294991,0.045,48.882999,2.035,218.25799,-13.555,204.70299,-131.746002,72.957001,0.0,72.957001,-24.927999,48.028999,0.0,0.0,48.028999,0,,48.028999,,,48.029001,,0.193333,0.193333,248.426994,0.193333,0.193333,0.193333,248.426994,
09/30/1995,382.821007,-206.744003,176.077003,0.022,49.546001,3.257,228.902005,-13.392,215.510005,-137.807999,77.702003,0.0,77.702003,-27.155001,50.547001,0.0,0.0,50.547001,0,,50.547001,,,50.547003,,0.2,0.2,252.735008,0.2,0.2,0.2,252.735008,
