Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,270.05899,,,-186.395996,,83.662994,,-52.18,,,,,,,31.483,-14.381,,17.035,,,0.0,,-2.654,17.102,-7.025,10.077,0.0,,,10.077,-1.292,8.785,-1.458,,7.327,7.327,,21.667,0.34,0.34,,26.653,0.33,0.33,0.33,
06/30/1994,267.428986,,,-191.830994,,75.597992,,-59.151001,,,,,,,16.447001,-17.222001,,18.433001,,,0.0,,-1.211,-0.775,-0.812,-1.587,0.0,,,-1.587,0.0,-1.587,-1.458,,-3.045,-3.045,,23.677999,-0.13,-0.13,,23.677999,-0.13,-0.13,-0.13,
09/30/1994,256.143005,,,-183.238007,,72.904999,,-66.949997,,,,,,,5.955,-11.5,,18.280001,,,0.0,,-6.78,-5.545001,2.662,-2.883,0.0,,,-2.883001,0.0,-2.883,-1.458,,-4.341,-4.341,,24.042,-0.18,-0.18,,24.042,-0.18,-0.18,-0.18,
12/31/1994,268.890015,,,-188.464996,,80.425018,,-56.577,,,,,,,23.848,-33.819,,19.232,,,0.0,,14.587,-9.971001,3.563,-6.408,6.016,,,-12.424001,0.0,-12.424,-1.459,,-13.883,-13.883,,24.040001,-0.58,-0.33,,24.040001,-0.58,-0.33,-0.33,
03/31/1995,297.993011,,,-212.947006,,85.046005,,-60.305,,,,,,,24.740999,-11.943,,18.757,,,0.0,,-6.814,12.797999,-6.079,6.719,0.0,,,6.718999,0.0,6.719,-2.917,,3.802,3.802,,29.466999,0.23,0.23,0.023,29.466999,0.23,0.23,0.023,
06/30/1995,279.281006,,,-203.725006,,75.556,,-63.277,,,,,,,12.279,-10.356001,,20.374001,,,0.0,,-10.018,1.922999,-0.913,1.01,0.0,,,1.009999,0.0,1.01,0.0,,1.01,1.01,,30.247999,0.03,0.03,0.03,30.247999,0.03,0.03,0.03,
09/30/1995,291.875,,,-210.682007,,81.192993,,-68.480003,,,,,,,12.713,-22.225001,,21.266001,,,0.0,,0.959,-9.512,3.736,-5.776,0.0,,,-5.776,0.0,-5.776,0.0,,-5.776,-5.776,,29.906,-0.19,-0.19,-0.19,29.906,-0.19,-0.19,-0.19,
12/31/1995,315.071991,,,-232.574005,,82.497986,,-83.944,,,,,,,-1.446,-41.787001,,23.83,,,0.0,,17.957001,-43.233001,4.286,-38.946999,0.0,,,-38.947001,0.0,-38.946999,0.0,,-38.946999,-38.946999,,29.909,-1.3,-1.3,,29.909,-1.3,-1.3,-1.3,
03/31/1996,318.416992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398,0.0,,0.398,0.398,,29.916,0.01,0.0,0.0,29.916,0.01,0.0,0.0,
06/30/1996,229.423996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.734,0.0,,-10.734,-10.734,,29.916,-0.36,-0.18,-0.18,29.916,-0.36,-0.18,-0.18,
09/30/1996,188.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.453999,0.0,,50.453999,50.453999,,29.906,1.69,1.54,,29.906,1.69,1.54,1.54,
12/31/1996,191.85701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54.018997,0.0,,-54.018997,-54.018997,,29.877001,-1.81,-1.82,,29.877001,-1.81,-1.81,-0.11,
