Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,170.248993,,,,,,,,,,,,,,,,,,,,,,,,,,8.267,,,8.267,8.267,,68.188502,0.121481,0.121481,,68.188502,0.121481,0.121481,0.121481,
03/31/1990,142.839005,,-104.139,,38.700005,,-32.227001,,,,,6.473,3.194,,3.126,,,-6.32,9.667,-1.749,7.918,0.0,,,7.918,-1.524,6.394,0.0,,6.394,6.394,,68.117627,0.094815,0.094815,,68.117627,0.094815,0.094815,0.094815,
06/30/1990,170.169006,,-126.904999,,43.264008,,-41.623001,,,,,1.641,9.481,,3.021,,,-12.502,11.122,-1.076,10.046,0.0,,,10.046,-1.938,8.108,0.0,,8.108,8.108,,72.16425,0.112593,0.12,,72.16425,0.112593,0.12,0.12,
09/29/1990,184.604004,,-127.655998,,56.948006,,-43.330002,,,,,13.618,4.846,,3.816,,,-8.662,18.464,-6.905,11.559,0.0,,,11.559,-1.986,9.573,0.0,,9.573,9.573,,73.342128,0.13037,0.13037,,73.342128,0.13037,0.13037,0.13037,
12/30/1990,223.070999,,-160.634995,,62.436004,,-46.855,,,,,15.581,5.035,,3.95,,,-8.985,20.616,-8.029,12.587,0.0,,,12.587,-1.696,10.891,0.0,,10.891,10.891,,71.258066,0.154074,0.154074,0.154074,71.258066,0.154074,0.154074,0.154074,
03/31/1991,195.490005,,-141.076996,,54.41301,,-44.556999,,,,,9.856,5.206,,4.303,,,-9.509,15.062,-4.95,10.112,0.0,,,10.112,-1.528,8.584,0.0,,8.584,8.584,,74.071127,0.115556,0.115556,,74.071127,0.115556,0.115556,0.115556,
06/30/1991,197.809006,,-141.130997,,56.678009,,-46.487999,,,,,10.19,7.838,,4.862,,,-12.7,18.027999,-5.064,12.964,0.0,,,12.963999,-2.252,10.712,0.0,,10.712,10.712,,75.343498,0.142222,0.151111,,75.343498,0.142222,0.151111,0.151111,
09/28/1991,192.031998,,-135.802002,,56.229996,,-47.083,,,,,9.147,11.764001,,4.377,,,-16.141001,20.911001,-5.582,15.329,0.0,,,15.329001,-1.724,13.605,0.0,,13.605,13.605,,85.772249,0.16,0.16,,85.772249,0.16,0.16,0.16,
12/29/1991,220.153,,-168.218994,,51.934006,,-42.884998,,,,,9.049,16.122999,,4.781,,,-20.903999,25.171999,-9.254,15.918,0.0,,,15.917999,-1.765,14.153,0.0,,14.153,14.153,,86.897792,0.165926,0.165926,0.165926,86.897792,0.165926,0.165926,0.165926,
03/29/1992,204.384995,,-151.348007,,53.036987,,-44.41,,,,,8.627,10.327,,4.563,,,-14.89,18.954,-4.49,14.464,1.438,,,13.026,-1.83,11.196,0.0,,11.196,11.196,,88.8165,0.127407,0.142222,,88.8165,0.127407,0.142222,0.142222,
06/27/1992,210.065002,,-148.334,,61.731003,,-44.722,,,,,17.009001,8.808,,4.513,,,-13.321,25.817001,-8.845,16.972,0.0,,,16.972001,-3.068,13.904,0.0,,13.904,13.904,,90.288003,0.154074,0.154074,,90.288003,0.154074,0.154074,0.154074,
09/26/1992,242.917999,,-166.005005,,76.912994,,-52.911999,,,,,24.000999,4.341,,6.589,,,-10.93,28.342,-9.275,19.066999,0.0,,,19.067,-3.551,15.516,0.0,,15.516,15.516,,90.365624,0.171852,0.171852,,90.365624,0.171852,0.171852,0.171852,
01/02/1993,291.604004,,-205.630997,,85.973007,,-67.348,,,,,18.625,10.232001,,8.631,,,-18.863001,28.857001,-4.864,23.993,0.0,,,23.993001,-5.453,18.540001,0.0,0.0,18.540001,18.540001,,90.922497,0.204444,0.204444,0.204444,90.922497,0.204444,0.204444,0.204444,
04/03/1993,292.763,,-203.660995,,89.102005,,-66.617996,,,,,22.483999,1.988,,7.856,,,-9.844,24.471999,-5.53,18.941999,0.0,,,18.941999,-3.494,15.448,0.0,,15.448,15.448,,91.303873,0.168889,0.168889,,91.303873,0.168889,0.168889,0.168889,
07/03/1993,300.449005,,-206.761002,,93.688004,,-70.132004,,,,,23.556,7.373,,7.629,,,-15.002,30.928999,-7.62,23.309,0.0,,,23.309,-5.703,17.606001,0.0,,17.606001,17.606001,,91.415251,0.192593,0.192593,,91.415251,0.192593,0.192593,0.192593,
10/02/1993,318.380005,,-210.886993,,107.493011,,-67.917,,,,,39.576,3.699,,7.756,,,-11.455,43.275,-16.75,26.525,0.0,,,26.525,-5.602,20.923,0.0,,20.923,20.923,,104.068122,0.2,0.201481,,104.068122,0.2,0.201481,0.201481,
12/31/1993,338.126007,,-221.210999,,116.915008,,-78.922997,,,,,37.992001,-5.549,,8.402,,,-2.853,32.443001,-3.5,28.943001,0.0,,,28.943001,-6.287,22.656,0.0,,22.656,22.656,,107.225995,0.213333,0.213333,0.213333,107.225995,0.213333,0.213333,0.213333,
04/02/1994,383.723999,,-208.063995,,175.660004,,-137.445999,,,,,38.214001,4.794,,10.347,,,-15.141,43.008,-14.535,28.473,0.0,,,28.473001,-5.548,22.924999,0.0,,22.924999,22.924999,,113.607001,0.2,0.2,,113.607001,0.2,0.2,0.2,
07/02/1994,428.546997,,-232.921005,,195.625992,,-151.384995,,,,,44.241001,9.528,,16.481001,,,-26.009001,53.769001,-22.653,31.115999,0.0,,,31.116001,-6.698,24.417999,0.0,,24.417999,24.417999,,114.304496,0.213333,0.213333,,114.304496,0.213333,0.213333,0.213333,
10/01/1994,445.515991,,-235.330002,,210.185989,,-162.860992,,,,,47.325001,5.910002,,16.577999,,,-22.488001,53.235003,-14.6,38.634998,0.0,,,38.635002,-10.808,27.827,0.0,,27.827,27.827,,117.753748,0.235556,0.235556,,117.753748,0.235556,0.235556,0.235556,
12/31/1994,471.403992,,-252.330002,,219.07399,,-166.121994,,,,,52.952,3.412,,16.438,,,-19.85,56.364,-18.915001,37.449001,0.0,,,37.448999,-7.908,29.541,0.0,,29.541,29.541,,114.637502,0.253333,0.253333,0.253333,114.637502,0.253333,0.253333,0.253333,
04/01/1995,493.174011,,-265.579987,,227.594025,,-179.751007,,,,,47.842999,7.807999,,18.391001,,,-26.198999,55.650997,-18.563,37.088001,0.0,,,37.087997,-7.404,29.684,0.0,,29.684,29.684,,120.872252,0.24,0.24,,120.872252,0.24,0.24,0.24,
07/01/1995,544.171021,,-293.707001,,250.46402,,-192.322006,,,,,58.141998,9.382,,18.246,,,-27.628,67.523998,-24.221001,43.303001,0.0,,,43.302998,-10.253,33.049999,0.0,,33.049999,33.049999,,124.284004,0.26,0.26,,124.284004,0.26,0.26,0.26,
09/30/1995,585.987976,,-321.959991,,264.027985,,-194.944,,,,,69.084,18.732002,,20.153999,,,-38.886002,87.816002,-23.371,64.445,0.0,,,64.445002,-25.900999,38.543999,0.0,,38.543999,38.543999,,126.589497,0.3,0.3,,126.589497,0.3,0.3,0.3,
12/30/1995,646.958008,,-358.515015,,288.442993,,-216.356003,,,,,72.086998,15.729999,,21.07,,,-36.799999,87.816997,-32.556,55.261002,0.0,,,55.260997,-16.957001,38.304001,0.0,,38.304001,38.304001,,130.185001,0.29,0.29,0.29,130.185001,0.29,0.29,0.29,
03/30/1996,652.38501,,-372.144989,,280.240021,,-223.457001,,,,,56.783001,19.476999,,27.635,,,-47.112,76.26,-22.676001,53.584,0.0,,,53.584,-12.561,41.022999,0.0,,41.022999,41.022999,,132.492004,0.31,0.31,0.31,175.463997,0.26,0.26,0.26,
06/29/1996,745.758972,,-427.950012,,317.80896,,-255.731003,,,,,62.077999,19.509001,,25.601,,,-45.110001,81.587,-19.974001,61.612999,0.0,,,61.612999,-16.694,44.918999,0.0,,44.918999,44.918999,,140.134003,0.32,0.32,0.32,175.699997,0.28,0.28,0.28,
09/29/1996,739.981018,,-409.184998,,330.796021,,-252.725006,,,,,78.070999,33.268002,,21.82,,,-55.088001,111.339001,-31.938999,79.400002,0.0,,,79.400002,-28.158001,51.242001,0.0,,51.242001,51.242001,,142.791,0.36,0.359993,0.36,175.815002,0.31,0.31,0.31,
12/28/1996,794.432983,,-448.466003,,345.96698,,-258.791992,,,,,87.175003,18.189999,,21.639,,,-39.828999,105.365002,-36.256001,69.109001,0.0,,,69.109001,-15.477,53.632,0.0,,53.632,53.632,,149.539993,0.36,0.36,0.36,175.748993,0.31,0.31,0.31,
03/29/1997,763.505005,,-467.140015,,296.36499,,-227.533005,,,,,68.832001,28.762998,,21.412001,,,-50.174999,97.594999,-28.396999,69.197998,0.0,,,69.198,-17.139999,52.057999,0.0,,52.057999,52.057999,,150.070007,0.35,0.35,0.35,175.925003,0.31,0.31,0.31,
06/28/1997,875.016,,-479.01,,396.006,0.0,-294.647,213.167,,,81.48,101.359,11.591,,,,,-11.591,112.95,-42.026,70.924,,,,70.924,-14.766,56.158,0.0,0.0,56.158,56.158,,150.173,0.37,0.37,0.37,175.86,0.35,0.35,0.35,
09/27/1997,909.849976,,-535.809021,,374.040955,,-254.787994,,,,,119.252998,11.306999,24.896,24.896,,,-36.202999,130.559997,-47.950001,82.610001,0.0,,,82.609996,-20.750999,61.859001,0.0,,61.859001,61.859001,,150.345001,0.41,0.41,0.42,176.190994,0.36,0.36,0.37,
01/03/1998,1009.948975,,-597.580994,,412.367981,,-291.904999,,,,,120.462997,26.899001,25.330999,25.330999,,,-52.23,147.361998,-56.34,91.022003,0.0,,,91.021998,-21.768999,69.252998,0.0,,69.252998,69.252998,,158.936005,0.44,0.44,0.44,176.436005,0.4,0.4,0.4,
04/04/1998,944.263,,-533.694,,410.569,,-318.172,,,,,92.397,39.221,,0.0,,0.0,-39.221,131.618,-41.574,90.044,0.0,,,90.044,-24.551,65.493,,,65.493,65.493,,159.131,0.41,0.41,0.41,176.58,0.37,0.37,0.37,
07/04/1998,947.799,,-520.351,,427.448,,-317.852,,,,,109.596,17.816,,0.0,,0.0,-17.816,127.412,-51.093,76.319,-2.163,,,78.482,-16.697,61.785,,,61.785,61.785,,166.168,0.37,0.37,0.39,183.329,0.34,0.34,0.35,
10/03/1998,977.169,,-554.474,,422.695,,-327.423,,,,,95.272,-44.17,,0.0,,0.0,44.17,51.102,-38.182,12.92,-1.931,,,14.851,2.731,17.582,,,17.582,17.582,,163.362,0.11,0.11,0.28,163.936,0.1,0.1,0.27,
01/02/1999,998.365,,-578.374,,419.991,,-341.536,,,,,78.455,2.923,,0.0,,0.0,-2.923,81.378,-39.831,41.547,-1.0,,,42.547,-5.506,37.041,,,37.041,37.041,,158.8,0.23,0.23,0.23,259.0,0.23,0.23,0.23,
04/03/1999,1009.538,,-582.06,,427.478,,-359.727,,,,,67.751,-4.433,9.727,27.686,-17.959,0.0,-5.294,63.318,-30.899,32.419,0.0,,,32.419,-4.12,28.299,0.0,,28.299,28.299,,158.045,0.18,0.18,0.17,158.27,0.17,0.17,0.16,
07/03/1999,1092.34,,-642.488,,449.852,,-394.649,,,,,55.203,-425.541,13.828,27.788,-13.96,0.0,411.713,-370.338,87.632,-282.706,0.0,,,-282.706,47.518,-235.188,0.0,,-235.188,-235.188,,158.01,-1.49,-1.49,0.23,158.01,-1.49,-1.49,0.23,
10/02/1999,1077.27,,-620.49,,456.78,,-373.536,,,,,83.244,-9.66,14.951,29.317,-14.366,0.0,-5.291,73.584,-30.537,43.047,0.0,,,43.047,-6.718,36.329,0.0,,36.329,36.329,,158.198,0.23,0.23,0.23,158.384,0.22,0.22,0.22,
01/01/2000,658.985,,-367.939,,291.046,,-248.649,,,,,42.397,228.525,14.571,12.201,,,-243.096,270.922,-59.269,211.653,159.993,,,51.66,-55.673,-4.013,0.0,,-4.013,-4.013,,157.694,-0.03,0.14,0.16,157.965,-0.04,0.13,0.15,
04/01/2000,576.604,,-308.009,,268.595,,-218.127,,,,,50.468,-14.165,13.246,22.924,-9.678,,0.919,36.303,-16.085,20.218,10.925,,,9.293,-5.739,3.554,0.0,0.0,3.554,3.554,,156.813,0.02,0.09,0.06,157.464,0.02,0.09,0.06,
07/01/2000,579.95,,-313.701,,266.249,0.0,-213.073,166.971,,,46.102,53.176,-9.156,13.802,21.728,-7.926,,-4.646,44.02,-17.84,26.18,-2.557,,,28.737,-4.482,24.255,0.0,0.0,24.255,24.255,,156.018,0.16,0.14,0.13,157.767,0.15,0.13,0.12,
09/30/2000,546.949,,-320.601,,226.348,,-193.598,,,,,32.75,40.404,10.523,20.493,-9.97,,-50.927,73.154,-66.043,7.111,-4.998,,,12.109,0.17,12.279,0.0,0.0,12.279,12.279,,175.978,0.07,0.04,0.15,180.44,0.07,0.04,0.15,
12/30/2000,577.019,,-316.375,,260.644,,-198.878,,,,,61.766,-30.412,6.575,20.912,-14.337,,23.837,31.354,-12.249,19.105,94.788,,,-75.683,-0.516,-76.199,0.0,0.0,-76.199,-76.199,,181.039,-0.42,0.1,0.19,186.408,-0.41,0.1,0.18,
03/31/2001,573.089,,-317.835,,255.254,,-204.532,,,,,50.722,-14.628,1.769,19.443,-17.674,,12.859,36.094,-14.257,21.837,66.994,,,-45.157,-0.018,-45.175,0.0,0.0,-45.175,-45.175,,182.856,-0.25,0.12,0.16,187.177,-0.24,0.12,0.16,
06/30/2001,542.472,,-304.41,,238.062,,-200.204,,,,,37.858,-23.841,2.757,18.533,-15.776,,21.084,14.017,-5.411,8.606,-15.56,,,24.166,0.817,24.983,0.0,0.0,24.983,24.983,,181.628,0.14,0.05,0.17,185.056,0.14,0.05,0.17,
09/29/2001,512.941,,-284.455,,228.486,,-190.28,,,,,38.206,2.034,-0.978,18.353,-19.331,,-1.056,40.24,-15.09,25.15,-0.602,,,25.752,0.527,26.279,0.0,0.0,26.279,26.279,,180.28,0.15,0.14,0.16,182.823,0.14,0.14,0.16,
12/29/2001,559.708,,-322.888,,236.82,,-196.702,,,,,40.118,-59.788,-0.269,14.032,-14.301,,60.057,-19.67,7.829,-11.841,-0.459,,,-11.382,4.514,-6.868,0.0,0.0,-6.868,-6.868,,177.478,-0.04,-0.04,0.26,177.478,-0.04,-0.04,0.25,
03/30/2002,491.326,,-267.67,,223.656,,-178.539,,,,,45.117,51.918,-0.879,13.479,-14.358,,-51.039,97.035,-33.692,63.343,-51.37,,,114.713,0.331,115.044,0.0,0.0,115.044,115.044,,174.25,0.66,0.37,0.21,204.189,0.59,0.34,0.2,
06/29/2002,509.113,,-279.325,,229.788,,-179.125,,,,,50.663,22.829,-2.405,10.216,-12.621,,-20.424,73.492,-23.975,49.517,-19.0,,,68.517,0.0,68.517,0.0,0.0,68.517,68.517,,171.122,0.4,0.29,0.24,186.74,0.38,0.28,0.24,
09/28/2002,517.171,,-288.514,,228.657,,-176.879,,,,,51.778,4.883,-2.346,8.864,-11.21,0.0,-2.537,56.661,-17.644,39.017,0.0,,,39.017,0.0,39.017,0.0,0.0,39.017,39.017,,165.701,0.24,0.24,0.26,176.342,0.23,0.23,0.25,
12/28/2002,568.745,,-323.47,,245.275,,-185.234,,,,,60.041,-0.735,-1.328,8.357,-9.685,,2.063,59.306,-17.154,42.152,-45.0,,,87.152,0.0,87.152,0.0,0.0,87.152,87.152,9.984,163.214,0.53,0.26,0.32,175.248,0.51,0.25,0.31,
03/29/2003,500.205,,-276.367,,223.838,,-176.44,,,,,47.398,-2.201,-0.781,6.904,-7.685,0.0,2.982,45.197,-13.806,31.391,-5.036,,,36.427,0.0,36.427,0.0,0.0,36.427,36.427,,162.844,0.22,0.19,0.22,165.614,0.22,0.19,0.22,
06/28/2003,467.268,,-250.147,,217.121,,-162.687,,,,,54.434,7.752,-1.717,5.357,-7.074,0.0,-6.035,62.186,-7.545,54.641,1.502,,,53.139,0.0,53.139,0.0,0.0,53.139,53.139,,162.048,0.33,0.34,0.27,172.459,0.32,0.33,0.27,
09/27/2003,448.567,,-239.824,,208.743,,-153.078,,,,,55.665,-3.283,0.548,3.458,-2.91,0.0,2.735,52.382,-13.387,38.995,-9.52,,,48.515,0.0,48.515,0.0,0.0,48.515,48.515,,162.531,0.3,0.24,0.27,169.155,0.29,0.24,0.27,
12/31/2003,528.915,,-285.444,,243.471,,-170.837,,,,,72.634,-13.652,0.662,2.653,-1.991,0.0,12.99,58.982,-11.496,47.486,-14.442,,,61.928,0.0,61.928,0.0,0.0,61.928,61.928,8.499,163.427,0.38,0.29,0.34,167.812,0.37,0.29,0.34,
04/03/2004,582.002,,-317.418,,264.584,,-203.533,,,,,61.051,-0.971,0.94,2.862,-1.922,0.0,0.031,60.08,-16.958,43.122,0.0,,,43.122,0.0,43.122,0.0,0.0,43.122,43.122,,165.206,0.26,0.26,0.27,169.996,0.26,0.26,0.27,
07/03/2004,525.309,,-286.424,,238.885,,-179.1,,,,,59.785,9.852,1.028,2.694,-1.666,0.0,-10.88,69.637,-19.058,50.579,-40.501,,,91.08,0.0,91.08,0.0,0.0,91.08,91.08,,165.571,0.55,0.31,0.3,170.521,0.54,0.3,0.29,
10/02/2004,542.315,,-291.36,,250.955,,-186.299,153.425,,,32.874,64.656,-2.564,0.218,2.677,-2.459,0.0,2.346,62.092,-19.451,42.641,-63.895,,,106.536,0.0,106.536,0.0,0.0,106.536,106.536,,161.514,0.66,0.26,0.26,165.57,0.65,0.26,0.29,
12/31/2004,613.339,,-332.304,,281.035,,-210.911,,,,,70.124,1.89,-0.228,2.879,-2.974,0.0,-1.795,72.014,13.468,85.482,-35.617,,,121.099,0.0,121.099,0.0,0.0,121.099,121.099,,160.239,0.76,0.53,0.39,164.477,0.74,0.52,0.38,
04/02/2005,559.208,,-299.974,,259.234,,-199.558,163.501,,,36.057,59.676,6.459,-0.181,3.155,-3.336,0.0,-6.278,66.135,-17.397,48.738,-0.118,,,48.856,0.0,48.856,0.0,0.0,48.856,48.856,,160.957,0.3,0.28,0.31,164.73,0.3,0.28,0.31,
07/02/2005,653.621,,-366.166,,287.455,,-232.025,,,,,55.43,23.288,4.696,7.287,-2.591,0.0,-27.984,78.718,-21.958,56.76,-3.463,,,60.223,0.0,60.223,0.0,0.0,60.223,60.223,,161.255,0.37,0.35,0.36,164.658,0.37,0.35,0.36,
10/01/2005,679.411,,-373.712,,305.699,,-243.589,194.323,,,49.266,62.11,-2.751,6.109,8.307,-2.198,0.0,-3.358,59.359,-18.762,40.597,-17.137,,,57.734,0.0,57.734,0.0,0.0,57.734,57.734,,161.794,0.36,0.25,0.4,165.635,0.35,0.25,0.4,
12/31/2005,740.787,,-398.227,,342.56,0.0,-254.073,185.821,,,68.252,88.487,-3.646,4.522,7.966,-3.444,,-0.876,84.841,-29.48,55.361,-1.044,,,56.405,0.0,56.405,0.0,0.0,56.405,56.405,,162.341,0.35,0.34,0.34,166.312,0.34,0.34,0.34,
04/01/2006,684.287,,-371.663,,312.624,,-241.185,202.448,,,38.737,71.439,-7.373,4.263,7.795,-3.532,,3.11,64.066,-20.447,43.619,-3.287,,,46.906,0.0,46.906,0.0,0.0,46.906,46.906,,163.044,0.29,0.27,0.4,166.982,0.28,0.26,0.39,
07/01/2006,713.468,,-388.976,,324.492,,-247.539,206.919,,,40.62,76.953,-8.163,4.541,7.934,-3.393,,3.622,68.79,-19.847,48.943,1.063,,,47.88,0.0,47.88,0.0,0.0,47.88,47.88,,161.289,0.3,0.3,0.43,165.523,0.29,0.3,0.42,
09/30/2006,724.962,,-388.077,,336.885,,-256.596,217.938,,,38.658,80.289,-10.921,6.453,9.278,-2.825,,4.468,69.368,-20.535,48.833,0.0,,,48.833,0.0,48.833,0.0,0.0,48.833,48.833,,157.705,0.31,0.31,0.45,162.161,0.3,0.3,0.44,
