Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2409.156982,119.709999,119.709999,0.0,544.375,,,34.424999,,,,,164.511002,,,,,863.020996,1036.192017,1721.777954,-685.585999,51.599998,,458.343994,,,,,458.343994,1546.136009,,656.559021,656.559021,,,,3.396,,,,,132.368954,,,132.368954,792.323975,684.450012,,,,351.428986,,,,351.428986,1035.878998,1828.202972,1.585,124.815002,,,-192.615005,,647.168991,580.953988,0.0,580.953988,2409.15696,
06/30/1990,2375.718018,109.850998,109.850998,0.0,542.617981,,,29.823,,,,,168.703995,,,,,850.995972,1001.440002,1716.411011,-714.971008,51.599998,,471.682007,,,,,471.682007,1524.722008,,707.453979,707.453979,,,,32.018002,,,,,109.652042,,,109.652042,849.124023,580.416992,,,,375.388,,,,375.388,955.804993,1804.929016,3.161,124.771004,,,-192.557007,,635.414001,570.788998,0.0,570.788998,2375.718014,
09/30/1990,2355.112061,135.134003,135.134003,0.0,523.958984,,,33.353001,,,,,154.983994,,,,,847.429993,972.75,1710.88501,-738.13501,51.599998,,483.332001,,,,,483.332001,1507.681999,,695.955017,695.955017,,,,6.272,,,,,129.247959,,,129.247959,831.474976,580.223022,,,,358.303986,,,,358.303986,938.527008,1770.001984,4.713,124.774002,,,-192.479996,,648.102982,585.109988,0.0,585.109988,2355.111971,
12/31/1990,2412.00293,217.679993,217.679993,0.0,549.594971,,,42.813,,,,,100.713997,,,,,910.802002,953.504028,1713.987061,-760.482971,51.599998,,496.096985,,,,,496.096985,1501.201011,,279.302002,279.302002,,,,21.841,,,,,528.963016,,,528.963016,830.106018,673.611023,,,,326.307007,,,,326.307007,999.91803,1830.024048,4.593,124.664001,,,-192.251007,,644.972992,581.978986,0.0,581.978986,2412.003034,
03/31/1991,2386.031006,248.322006,248.322006,0.0,518.880981,,,38.887001,,,,,111.976997,,,,,918.067017,933.885986,1728.621948,-794.736023,51.599998,,482.477997,,,,,482.477997,1467.963982,,675.698975,675.698975,,,,18.492001,,,,,129.583012,,,129.583012,823.773987,673.530029,,,,318.828003,,,,318.828003,992.358032,1816.132019,5.923,124.598,,,-192.061996,,631.439987,569.89899,0.0,569.89899,2386.031009,
06/30/1991,2338.701904,290.186005,290.186005,0.0,487.963013,,,32.528,,,,,90.303001,,,,,900.97998,912.804993,1736.95105,-824.145996,51.599998,,473.316986,,,,,473.316986,1437.721977,,665.856995,665.856995,,,,25.966,,,,,119.122013,,,119.122013,810.945007,659.130981,,,,309.696014,,,,309.696014,968.826996,1779.772003,6.933,124.474998,,,-191.658005,,619.180008,558.930002,0.0,558.930002,2338.702005,
09/30/1991,2336.052002,289.682007,289.682007,0.0,502.970001,,,35.865002,,,,,83.600998,,,,,912.117981,897.93103,1752.812988,-854.882019,51.599998,,474.403015,,,,,474.403015,1423.934044,,680.612976,680.612976,,,,29.827,,,,,121.566006,,,121.566006,832.005981,654.849976,,,,303.102997,,,,303.102997,957.952972,1789.958954,9.36,124.664001,,,-191.302002,,603.371002,546.093001,0.0,546.093001,2336.051955,
12/31/1991,2285.466064,284.644989,284.644989,0.0,468.761993,,,35.146999,,,,,85.528,,,,,874.08197,896.921997,1776.089966,-879.16803,51.599998,,462.862,,,,,462.862,1411.383995,,190.210007,190.210007,,,,23.243999,,,,,519.619969,,,519.619969,733.073975,646.655029,,,,358.653992,,,,358.653992,1005.309021,1738.382996,10.146,124.333,,,-190.643005,,603.247009,547.083004,0.0,547.083004,2285.466,
03/31/1992,2404.929932,301.873993,301.873993,0.0,463.570007,,,32.967999,,,,,114.390999,,,,,912.802979,873.426025,1777.112061,-903.685974,51.599998,,567.101013,,,,,567.101013,1492.127037,,616.663025,616.663025,,,,23.236,,,,,118.523949,,,118.523949,758.422974,646.547974,,,,357.304993,,,,357.304993,1003.852966,1762.27594,113.681,125.509003,,,-190.397003,,593.860992,642.653992,0.0,642.653992,2404.929932,
06/30/1992,2412.625,316.153992,316.153992,0.0,454.786011,,,30.993999,,,,,217.046005,,,,,1018.97998,886.661011,1812.139038,-925.478027,51.599998,,455.384003,,,,,455.384003,1393.645012,,633.867981,633.867981,,,,12.552,,,,,110.886049,,,110.886049,757.30603,535.663025,,,,461.028992,,,,461.028992,996.692017,1753.998047,128.819,125.480003,,,-190.132004,,594.460007,658.627007,0.0,658.627007,2412.625053,
