Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/28/1997,1909.0,,,,,,,-1774.0,,,,,,,135.0,-22.0,,7.0,,,,15.0,113.0,-44.0,69.0,0.0,,,69.0,0.0,69.0,0.0,0.0,69.0,69.0,,510.317219,0.13354,0.13354,0.13354,556.819978,0.128595,0.128595,0.128595,
06/20/1997,2195.0,,,,,,,-2036.0,,,,,,,159.0,-22.0,,8.0,,,,14.0,137.0,-53.0,84.0,0.0,,,84.0,0.0,84.0,0.0,0.0,84.0,84.0,,512.339079,0.163216,0.163216,0.163216,558.841837,0.153324,0.153324,0.153324,
09/12/1997,2073.0,,,,,,,-1937.0,,,,,,,136.0,-15.0,,3.0,,,,12.0,121.0,-47.0,74.0,0.0,,,74.0,0.0,74.0,0.0,0.0,74.0,74.0,,514.765334,0.143432,0.143432,0.163216,564.907414,0.13354,0.13354,0.153324,
12/31/1997,1059.0,,,,,,,5659.0,,,,,,,91.0,69.0,,4.0,,,,-73.0,160.0,-63.0,97.0,0.0,,,97.0,0.0,97.0,0.0,0.0,97.0,97.0,,518.404656,0.187946,0.187946,0.187946,566.929273,0.173108,0.173108,0.173108,
03/27/1998,1715.0,,,,,,,-1577.0,,,,,,,138.0,7.0,3.0,3.0,,,,-10.0,145.0,-56.0,89.0,0.0,,,89.0,0.0,89.0,0.0,,89.0,89.0,,500.61232,0.173108,0.173108,0.173108,505.46477,0.163216,0.163216,0.163216,
06/19/1998,1927.0,,,,,,,-1765.0,,,,,,,162.0,2.0,6.0,6.0,,,,-8.0,164.0,-63.0,101.0,0.0,,,101.0,0.0,101.0,0.0,,101.0,101.0,,513.754404,0.197838,0.197838,0.197838,562.885555,0.183,0.183,0.183,
09/11/1998,1804.0,,,,,,,-1665.0,,,,,,,139.0,1.0,6.0,6.0,,,,-7.0,140.0,-54.0,86.0,0.0,,,86.0,0.0,86.0,0.0,,86.0,86.0,,505.060404,0.168162,0.168162,0.168162,552.978458,0.15827,0.15827,0.15827,
01/01/1999,2522.0,,,,,,,-2335.0,,,,,,,187.0,-4.0,,15.0,,0.0,,-11.0,183.0,-69.0,114.0,0.0,,,114.0,0.0,114.0,0.0,,114.0,114.0,,490.407973,0.232459,0.232459,0.247792,523.845498,0.217621,0.217621,0.231965,
03/26/1999,1895.0,,,-1702.0,,193.0,,-29.0,,,,,,,164.0,-4.0,-7.0,11.0,-7.0,,,0.0,160.0,-60.0,100.0,0.0,,,100.0,0.0,100.0,0.0,,100.0,100.0,,496.56859,0.202784,0.202784,0.20773,544.48665,0.187946,0.187946,0.192892,
06/18/1999,2042.0,,,-1826.0,,216.0,,-28.0,,,,,,,188.0,-5.0,-6.0,11.0,-6.0,,,0.0,183.0,-69.0,114.0,0.0,,,114.0,0.0,114.0,0.0,,114.0,114.0,,504.45384,0.227513,0.227513,0.232459,552.776272,0.20773,0.20773,0.212676,
09/10/1999,1995.0,,,-1807.0,,188.0,,-30.0,,,,,,,158.0,-5.0,-7.0,12.0,-7.0,,,0.0,153.0,-57.0,96.0,0.0,,,96.0,0.0,96.0,0.0,,96.0,96.0,,501.623238,0.192892,0.192892,0.197838,548.328182,0.178054,0.178054,0.183,
12/31/1999,2807.0,,,,,,,-2651.0,,,,,,,156.0,-15.0,14.0,27.0,-13.0,,,1.0,141.0,-51.0,90.0,0.0,,,90.0,0.0,90.0,0.0,,90.0,90.0,,498.994821,0.227513,0.227513,0.227513,534.175169,0.217621,0.217621,0.217621,
03/24/2000,2177.0,,,-1984.0,,193.0,,-26.0,,,,,,,167.0,-18.0,18.0,23.0,-5.0,,,0.0,149.0,-55.0,94.0,0.0,,,94.0,0.0,94.0,0.0,0.0,94.0,94.0,,493.535801,0.192892,0.192892,0.20773,516.180623,0.183,0.183,0.197838,
06/16/2000,2409.0,,,-2162.0,,247.0,,-25.0,,,,,,,222.0,-22.0,22.0,27.0,-5.0,,,0.0,200.0,-74.0,126.0,0.0,,,126.0,0.0,126.0,0.0,0.0,126.0,126.0,,484.639621,0.262135,0.262135,0.262135,509.104116,0.247297,0.247297,0.247297,
09/08/2000,2315.0,,,-2099.0,,216.0,,-29.0,,,,,,,187.0,-13.0,13.0,22.0,-9.0,,,0.0,174.0,-64.0,110.0,0.0,,,110.0,0.0,110.0,0.0,0.0,110.0,110.0,,485.448365,0.227513,0.227513,0.227513,513.956578,0.212676,0.212676,0.212676,
12/29/2000,3179.0,,,-2913.0,,266.0,,-40.0,,,,,,,226.0,8.0,-8.0,28.0,-36.0,,,0.0,234.0,-85.0,149.0,0.0,,,149.0,0.0,149.0,0.0,,149.0,149.0,,485.897218,0.306648,0.306648,0.306648,512.945648,0.291811,0.291811,0.291811,
03/23/2001,1935.0,,,-1709.0,,226.0,,-30.0,,,,,,,196.0,-8.0,6.0,22.0,-16.0,,,2.0,188.0,-69.0,119.0,-2.0,,,121.0,0.0,121.0,0.0,0.0,121.0,121.0,,492.727058,0.247297,0.242351,0.242351,520.830899,0.232459,0.227513,0.227513,
06/15/2001,1889.0,,,-1650.0,,239.0,,-29.0,,,,,,,210.0,-12.0,7.0,27.0,-20.0,,,5.0,198.0,-73.0,125.0,-5.0,,,130.0,0.0,130.0,0.0,0.0,130.0,130.0,,493.131429,0.262135,0.257189,0.257189,526.289918,0.247297,0.242351,0.242351,
09/07/2001,1823.0,,,-1645.0,,178.0,,-13.0,,,,,,,165.0,-5.0,3.0,26.0,-23.0,,,2.0,160.0,-61.0,99.0,-2.0,,,101.0,0.0,101.0,0.0,0.0,101.0,101.0,,494.951103,0.202784,0.197838,0.197838,535.388284,0.192892,0.187946,0.187946,
12/28/2001,2139.0,,,-2097.0,,42.0,,-67.0,,,,,,,-25.0,-100.0,-1.0,34.0,-35.0,,,101.0,-125.0,51.0,-74.0,42.0,,,-116.0,0.0,-116.0,0.0,0.0,-116.0,-116.0,,487.874596,-0.232459,-0.153324,0.103865,487.874596,-0.232459,-0.153324,0.103865,
03/22/2002,1808.0,,,-1661.0,,147.0,,-29.0,,,,,,,118.0,0.0,0.0,19.0,-19.0,,,0.0,118.0,-36.0,82.0,0.0,,,82.0,0.0,82.0,0.0,0.0,82.0,82.0,,489.087711,0.168162,0.168162,0.168162,514.158764,0.15827,0.15827,0.15827,
