Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBIT Surprise %,EBITDA,Gross Margin %,Gross Margin Surprise %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
03/31/1993,,,1.614,,1.614,1.614,,,,,,,,,,
06/30/1993,,,1.961,,1.961,1.961,,,,,,,,,,
09/30/1993,,,1.864,,1.864,1.864,,,,,,,,,,
12/31/1993,,,0.0,,3.067,3.067,,,,,,,,,,
03/31/1994,,,-2.457,,-2.126,-2.126,,,,,,,,,,
06/30/1994,,,-1.376,,-0.903,-0.903,,,,,,,,,,
09/30/1994,,,2.443,,2.283,2.283,,,,,,,,,,
12/31/1994,,,0.0,,3.351,3.351,,,,,,,,,,
03/31/1995,,,3.156,,3.413,3.413,,,,,,,,,,
06/30/1995,,,3.661,,3.763,3.763,,,,,,,,,,
09/30/1995,,,0.43,,0.43,0.43,,,,,,,,,,
12/31/1995,,,0.0,,7.31,7.31,,,,,,,,,,
03/31/1996,,,1.083,,1.083,1.083,,,,,,,,,,
06/30/1996,,,12.268,,9.4,9.4,,,,,,,,,,
09/30/1996,,,12.898,,12.898,12.898,,,,,,,,,,
12/31/1996,,,0.0,,28.643,28.643,,,,,,,,,,
03/31/1997,,,19.695999,,11.225,11.225,,,,,,,,,,
06/30/1997,,,23.674,,30.955999,30.955999,,,,,,,,,,
09/30/1997,,,24.48,,28.782,28.782,,,,,,,,,,
12/31/1997,,,110.452003,,-60.324001,-60.324001,,,,,,,,,,
03/31/1998,,,41.582001,,32.743999,32.743999,,,,,,,,,,
06/30/1998,,,-101.181,,-38.547001,-38.547001,,,,,,,,,,
09/30/1998,,,-68.683998,,-14.444,-14.444,,,,,,,,,,
12/31/1998,,,56.654999,,56.654999,56.654999,,,,,,,,,,
03/31/1999,,,26.240999,,26.240999,26.240999,,,,,,,,,,
06/30/1999,,,-145.977997,,-195.785004,-195.785004,,,,,,,,,,
