Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,3686.795,23.441,23.441,,299.418,266.782,,,,,,,69.972,,,,,392.831,2260.151,,,45.399,988.414,807.571,721.318,86.253,,180.843,3293.964,,110.818,110.818,,,,31.025,,,,,,180.348,,,180.348,322.191,1423.358,,,,,272.298,,,,,,272.298,1695.656,2017.847,,1721.867,,,-0.484,-36.522,-15.913,1668.948,,1668.948,3686.795,
06/30/1997,4617.842,43.937,43.937,,388.913,327.707,,,,,,,88.608,,,,,521.458,2917.497,,,56.345,1122.542,958.335,873.189,85.146,,164.207,4096.384,,153.231,153.231,,,,49.52,,,,,,184.089,,,184.089,386.84,1996.958,,,,,367.907,,,,,,367.907,2364.865,2751.705,,1846.719,,,-0.484,35.76,-15.858,1866.137,,1866.137,4617.842,
09/30/1997,6044.619,63.24,63.24,,504.272,435.637,,,,,,,139.141,,,,,706.653,3595.868,,,55.963,1686.135,1421.254,1316.027,105.227,,264.881,5337.966,,194.192,194.192,,,,39.317,,,,,,312.25,,,312.25,545.759,2440.879,,,,,557.626,,,,,,557.626,2998.505,3544.264,,2365.892,,,-0.484,150.625,-15.678,2500.355,,2500.355,6044.619,
12/31/1997,6622.845,51.241,51.241,,498.708,442.347,,,,,,,105.437,,,,,655.386,3955.008,4844.017,-889.009,32.386,1980.065,1645.985,1539.927,106.058,,334.08,5967.459,,237.176,237.176,,,,39.286,,,,,,292.188,,,292.188,568.65,2724.443,,,,,700.776,,,,,,700.776,3425.219,3993.869,0.0,2394.975,,,-0.484,253.497,-19.012,2628.976,0.0,2628.976,6622.845,
03/31/1998,7589.405,46.26,46.26,,524.94,468.619,,,,,,,105.087,,,,,676.287,4601.573,,,22.951,2288.594,2031.811,1905.285,126.526,,256.783,6913.118,,196.735,196.735,,,,46.527,,,,,,255.115,,,255.115,498.377,3584.887,,,,,731.019,,,,,,731.019,4315.906,4814.283,,2438.645,,,-0.484,374.459,-37.498,2775.122,,2775.122,7589.405,
06/30/1998,8374.8,44.99,44.99,,630.359,549.842,,,,,,,100.32,,,,,775.669,5123.117,,,23.3,2452.714,2172.005,2035.462,136.543,,280.709,7599.131,,245.611,245.611,,,,53.172,,,,,,276.61,,,276.61,575.393,4050.989,,,,,798.191,,,,,,798.191,4849.18,5424.573,,2515.709,,,-0.484,497.667,-62.665,2950.227,,2950.227,8374.8,
09/30/1998,21374.84375,167.167004,166.173004,0.994,2171.736084,2171.736,,273.018005,136.651993,136.366,136.365997,,1404.777954,,,,,4016.698975,10633.522461,16853.615234,-6220.094238,122.768997,6601.853027,5779.346191,5633.022,146.324191,,822.506836,17358.144485,,901.91803,901.91803,,,,738.538025,,,,,,2702.526855,,,2702.526855,4342.98291,9695.311523,,,,,2609.471924,,,,,,2609.471924,12304.783447,16647.766357,0.0,3702.851074,,,-2.821,992.491,-719.653002,3972.868072,754.208008,4727.07608,21374.842437,
12/31/1998,22715.198,88.665,86.873,1.792,2385.911,2245.977,,256.229,128.254,127.975,,,1150.592,,,,,3881.397,11637.739,18235.813,-6598.074,120.997,7075.065,6250.324,6069.098,181.226,,824.741,18833.801,,1040.601,1040.601,,,,583.742,,,,,,2669.323,,,2669.323,4293.666,11114.201,,,,,2822.759,,,,,,2822.759,13936.96,18230.626,,4097.608,,,-2.821,1066.506,-788.797,4372.496,112.076,4484.572,22715.198,
03/31/1999,22607.92,59.364,59.364,0.0,2373.4,2373.4,,234.197,98.612,135.585,0.0,0.0,861.905,,,,,3528.866,11532.77,18424.65,-6891.877,0.0,7546.28,6482.61,6300.962,181.648,,1063.67,19079.05,,1033.697,1033.697,,,,556.741,,,,,,2458.941,,,2458.941,4049.379,10981.15,,,,,2631.375,,,,,,2631.375,13612.525,17661.904,0.0,4236.395,,,-3.89,1430.78,-832.582,4830.703,115.312,4946.015,22607.919,
06/30/1999,22991.67,80.999,80.999,0.0,2655.398,2655.398,,250.244,99.804,150.44,0.0,0.0,519.617,,,,,3506.258,11854.31,18706.74,-6852.427,0.0,7631.102,6751.228,6577.021,174.207,,879.874,19485.412,,1068.276,1068.276,,,,369.592,,,,,,2390.191,,,2390.191,3828.059,10932.38,,,,,2614.35,,,,,,2614.35,13546.73,17374.789,0.0,4697.413,,,-3.89,1731.456,-949.046,5475.933,140.951,5616.884,22991.673,
