Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Impairment of Assets,Impairment from Affiliates,Income from Uncon JVs,Disposal of Con Assets,Abnormal Losses/(Gains),Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,18.489,17.844999,,,,,,0.121,0.0,0.523,-9.033,4.247,,,1.308,3.478,0.0,,0.0,9.456,-4.281,4.239,,0.042,5.175,0.0,,0.0,,,5.175,,5.175,,,5.175,5.175,,17.235245,0.298116,0.298116,0.298116,17.235245,0.298116,0.298116,0.298116,,,,,,,,,8.747,,8.747,,,,,,,8.747,0.507507,0.507507,0.216812,42.720932,42.720932,85.457873,
06/30/1994,19.826,19.148001,,,,,,0.101,0.0,0.577,-9.45,3.987,,,1.493,3.97,0.0,,0.0,10.376,-5.108,5.097,,0.011,5.268,0.0,,0.0,,,5.268,,5.268,,,5.268,5.268,,17.238566,0.30715,0.30715,0.30715,17.238566,0.30715,0.30715,0.30715,,,,,,,,,9.345,,9.345,,,,,,,9.345,0.542098,0.542098,0.216812,39.994861,39.994861,79.999996,
09/30/1994,21.041,20.341999,,,,,,0.135,0.0,0.564,-9.975,4.331,,,1.44,4.204,0.0,,0.0,11.066,-5.781,5.713,,0.068,5.285,0.0,,0.058,,,5.227,,5.227,,,5.227,5.227,,17.709021,0.298116,0.298116,0.298116,17.709021,0.298116,0.298116,0.298116,,,,,,,,,9.589,,9.589,,,,,,,9.589,0.541475,0.541475,0.216812,40.040881,40.040881,77.651479,
12/31/1994,22.618,21.945,,,,,,0.122,0.0,0.551,-10.555,4.632,,,1.364,4.559,0.0,,0.0,12.063,-6.439,6.374,,0.065,5.624,0.0,,0.158,,,5.466,,5.466,,,5.466,5.466,,17.79647,0.30715,0.316183,0.316183,17.79647,0.30715,0.316183,0.316183,,,,,,,,,10.283,,10.283,,,,,,,10.283,0.577811,0.577811,0.216812,37.5229,37.5229,77.671886,
03/31/1995,25.264999,24.173,,,,,,0.106,0.0,0.986,-12.189,5.039,,,1.569,5.581,0.0,,0.0,13.076,-6.644,6.7,,-0.056,6.432,0.0,,0.251,,,6.181,,6.181,,,6.181,6.181,,20.205198,0.30715,0.316183,0.316183,20.205198,0.30715,0.316183,0.316183,,,,,,,,,11.983,,11.983,,,,,,,11.983,0.593065,0.593065,0.243913,41.127517,41.127517,85.429364,
06/30/1995,26.313,25.523001,,,,,,0.114,0.0,0.676,-11.938,4.929,,,1.706,5.303,0.0,,0.0,14.375,-7.258,7.403,,-0.145,7.117,0.0,,3.306,,,3.811,,3.811,,,3.811,3.811,,20.987812,0.180676,0.334251,0.334251,20.987812,0.180676,0.334251,0.334251,,,,,,,,,12.279,,12.279,,,,,,,12.279,0.585054,0.585054,0.243913,41.69069,41.69069,83.394409,
09/30/1995,27.239,26.419001,,,,,,0.118,0.0,0.702,-12.607,5.629,,,1.584,5.394,0.0,,0.0,14.632,-7.506,7.41,,0.096,7.126,0.0,,0.0,,,7.126,,7.126,,,7.126,7.126,,20.992242,0.343285,0.343285,0.343285,20.992242,0.343285,0.343285,0.343285,,,,,,,,,12.581,,12.581,,,,,,,12.581,0.599317,0.599317,0.243913,40.698516,40.698516,81.392572,
12/31/1995,28.988001,27.525,,,,,,0.218,0.0,1.245,-13.2,6.094,,,1.519,5.587,0.0,,0.0,15.788,-7.401,8.082,,-0.681,8.387,0.0,,0.0,,,8.387,,8.387,,,7.132,7.132,,20.995561,0.334251,0.334251,0.334251,20.995561,0.334251,0.334251,0.334251,,,,,,,,,13.248,,13.248,,,,,,,13.248,0.630991,0.630991,0.243913,38.65557,38.65557,77.309779,
03/31/1996,30.635,29.18,,,,,,0.509,0.0,0.945,-14.089,6.451,,,1.733,5.905,0.0,,0.0,16.547,-5.331,7.343,,-2.012,11.216001,0.0,,0.0,,,11.216001,,11.216,,,7.666,7.666,,21.812492,0.352319,0.352319,0.352319,21.812492,0.352319,0.352319,0.352319,,,,,,,,,14.573,,14.573,,,,,,,14.573,0.668103,0.668103,0.271014,40.564745,40.564745,88.876688,
06/30/1996,31.903999,29.042999,,,,,,0.636,0.0,2.225,-14.026,6.049,,,2.003,5.974,0.0,,0.0,17.878,-4.774,6.636,,-1.862,13.104,0.0,,0.0,,,13.104,,13.104,,,9.554,9.554,,23.900204,0.397488,0.397488,0.397488,23.900204,0.397488,0.397488,0.397488,,,,,,,,,16.52,,16.52,,,,,,,16.52,0.691208,0.691208,0.271014,39.208838,39.208838,78.420094,
