Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Increase in Capital Stocks,Net Changes in Cash,Source: Bloomberg
03/31/1990,94.842003,40.841999,23.855,0,-1.687,9.701,4.341,-14.167,41.539001,-15.173,0,-7.271,12.862,0.0,,0,,0,,
06/30/1990,30.92,26.315001,25.466999,0,-2.048,-2.273,1.993,2.566,10.342,-8.58,0,-6.686,-16.176001,0.0,,0,,0,,
09/30/1990,57.737,32.709999,26.476,0,-2.305,-2.438,-4.403,0.456,-5.364,-6.204,0,14.507,4.302,0.0,,0,,0,,
01/01/1991,42.272999,27.254999,26.948,0,-2.283,-2.422,1.748,-0.033,2.733,-4.623,0,-6.471,-0.579,0.0,,0,,0,42.272999,
03/31/1991,81.607002,35.601002,27.368,0,-2.292,0.154,1.642,0.274,11.17,8.476,0,-17.323,16.537001,0.0,,0,,0,,
06/30/1991,55.376999,28.490999,27.625999,0,-1.391,-1.282,0.454,-0.148,-15.435,10.895,0,10.419,-4.252,0.0,,0,,0,,
09/30/1991,11.281,31.004999,28.093,0,-1.834,24.34,-4.232,0.136,5.13,14.1,0,13.194,-4.251,-94.400002,,0,,0,,
12/31/1991,24.542,-65.808998,28.341,0,-4.544,-55.594002,-0.396,0.949,4.316,-17.959,0,138.643997,-3.406,0.0,,0,,0,,
03/31/1992,61.743,27.135,28.622,0,-3.121,-1.538,-2.263,-8.381,16.23,-17.525999,0,5.369,17.216,0.0,,0,,0,,
06/30/1992,1.411,20.028,28.936001,0,-3.71,0.112,-4.8,2.383,3.584,-26.149,0,-4.351,-14.622,0.0,,0,,0,,
09/30/1992,56.445999,25.701,29.497999,0,-0.365,2.359,-9.819,2.34,-5.203,3.769,0,-3.553,11.719,0.0,,0,,0,,
12/31/1992,56.446999,30.576,30.035999,0,-3.309,7.99,-23.191,6.667,-10.97,17.976999,0,-1.208,1.879,0.0,,0,,0,56.446999,
03/31/1993,14.334,34.902,30.280001,0,-4.202,-0.38,-19.254999,-60.439999,-2.317,22.937,0,3.337,9.472,0.0,,0,,0,,
06/30/1993,75.999001,13.651,30.937,0,-5.172,54.075001,-10.157,7.502,18.304001,15.926,0,6.735,-48.667999,-7.134,,0,,0,,
09/30/1993,87.448997,26.719,32.556,0,-3.975,10.74,-20.999001,9.82,-9.501,19.222,0,26.355,-11.488,8.0,,0,,0,,
12/31/1993,122.263,33.984001,33.048,0,-6.978,8.4,8.552,11.707,7.402,0.317,0,20.729,42.23,-37.127998,,0,,0,,
03/31/1994,-65.858002,32.749001,33.431999,0,-5.606,7.939,-18.294001,9.108,-15.576,-23.323,0,-32.354,10.891,-64.823997,,0,,0,,
06/30/1994,21.145,18.104,33.771,0,-2.61,8.057,0.279,-0.081,-4.829,-32.494999,0,11.51,-6.321,-4.24,,0,,0,,
09/30/1994,29.646,18.601999,34.209,0,-4.352,-1.16,-2.675,1.547,16.886,-2.456,0,-9.563,-22.193001,0.801,,0,,0,,
