Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2009,426,-382,233,623.0,,623.0,-48.0,,,,-48.0,0,65,-46,33,33,0,-79,-79,0,0,0.0,0.0,0,0,0.0,0,111,-73,0,-152,-48.0,134,-238,63,63.0,0.0,16,0,418,,,
06/30/2009,396,28,222,525.0,,525.0,-379.0,-4.0,,,-375.0,0,-74,-78,13,13,0,-91,-91,0,-17,,,0,0,0.0,0,21,-213,0,-234,-103.0,0,-131,-63,,,84,0,109,,,
09/30/2009,56,-57,220,187.0,,187.0,-294.0,8.0,,,-302.0,0,-43,-29,31,31,0,-60,-60,0,-20,,,0,0,0.0,0,6,-54,0,-140,-129.0,187,-198,0,0.0,0.0,86,0,-41,,,
12/31/2009,88,-266,242,189.0,,189.0,-77.0,149.0,,,-226.0,0,-28,-87,0,0,0,-87,-87,0,0,0.0,0.0,0,0,0.0,0,59,457,0,387,129.0,609,-351,220,222.0,-2.0,-150,0,517,,,
03/31/2010,482,-82,221,18.0,,18.0,325.0,-226.0,,,551.0,0,-76,-47,4,4,0,-51,-51,0,-42,0.0,-42.0,0,0,0.0,0,13,68,0,78,0.0,1309,-1231,0,0.0,0.0,-10,0,474,,,
06/30/2010,874,273,231,217.0,,217.0,153.0,,,,153.0,0,-19,-52,21,21,0,-73,-73,0,0,0.0,0.0,0,0,0.0,0,33,535,0,550,27.0,686,-163,0,0.0,0.0,-15,0,1390,,,
09/30/2010,445,387,248,-99.0,,-99.0,-91.0,8.0,,,-99.0,0,-57,-88,0,0,0,-88,-88,0,0,0.0,0.0,0,0,0.0,0,31,-356,0,-363,93.0,0,-456,0,0.0,0.0,7,0,32,,,
12/31/2010,106,-325,427,176.0,,176.0,-172.0,240.0,0.0,,-412.0,0,3472,-136,23,23,0,-159,-159,0,-3,0.0,-3.0,3698,0,,3698,-87,-447,0,-450,201.0,327,-978,18,21.0,-3.0,-15,0,3131,,,
03/31/2011,1005,-213,388,-25.0,,-25.0,855.0,-379.0,0.0,98.0,1136.0,0,-320,-166,39,39,0,-205,-205,0,-38,0.0,-38.0,0,0,0.0,0,-116,-589,0,-621,0.0,32,-653,0,0.0,0.0,32,0,96,,,
06/30/2011,753,538,385,-297.0,,-297.0,127.0,-8.0,0.0,,135.0,0,-509,-130,15,15,0,-145,-145,0,-32,0.0,-32.0,0,0,0.0,0,-347,-890,0,-890,0.0,110,-1000,0,0.0,0.0,0,0,-646,,,
09/30/2011,385,653,384,44.0,,44.0,-696.0,-130.0,0.0,-201.0,-365.0,0,-453,-107,53,53,0,-160,-160,0,-51,0.0,-51.0,0,0,0.0,0,-295,-467,0,-471,0.0,0,-471,0,0.0,0.0,4,0,-535,,,
