Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1995,13.763,,,-10.868,,2.895,,-5.388,,,,,-2.493,3.672,,0.0,,,0.0,,-3.672,1.179,-0.051,1.128,0.26,,,0.868,0.0,0.868,0.0,0.0,0.868,0.868,,36.070381,0.022172,0.03104,0.03104,36.070381,0.022172,0.03104,0.03104,
12/31/1995,11.482,,,-10.278,,1.204,,-4.523,,,,,-3.319,4.351,,0.0,,,0.0,,-4.351,1.032,0.024,1.056,2.033,,,-0.977,0.0,0.056,0.0,0.0,0.056,0.056,,36.044299,0.0,0.057646,0.057646,36.044299,0.0,0.057646,0.057646,
03/31/1996,8.968,,,-6.671,,2.297,,-4.742,,,,,-2.445,3.096,,0.0,,,0.0,,-3.096,0.651,-0.013,0.638,0.081,,,0.557,0.0,0.557,0.0,0.0,0.557,0.557,,36.111837,0.017737,0.017737,0.017737,36.111837,0.017737,0.017737,0.017737,
06/30/1996,9.158,,,-6.79,,2.368,,-6.945,,,,,-4.577,3.086,,0.0,,,0.0,,-3.086,-1.491,-0.006,-1.497,0.163,,,-1.66,0.0,-1.66,0.0,0.0,-1.66,-1.66,,36.410951,-0.048778,-0.044343,-0.044343,36.410951,-0.048778,-0.044343,-0.044343,
09/30/1996,8.774,,,-6.531,,2.243,,-5.081,,,,,-2.838,2.677,,0.0,,,0.0,,-2.677,-0.161,-0.017,-0.178,1.66,,,-1.838,0.0,-1.838,0.0,0.0,-1.838,-1.838,,34.63931,-0.053212,-0.004434,-0.004434,34.63931,-0.053212,-0.004434,-0.004434,
12/31/1996,9.725,,,-15.59,,-5.865,,,,,,,-5.865,0.888,,0.0,,,0.0,,-0.888,-4.977,0.018,-4.959,0.219,,,-5.178,0.0,-5.178,0.0,0.0,-5.178,-5.178,,31.689336,-0.164071,-0.155202,-0.155202,31.689336,-0.164071,-0.155202,-0.155202,
03/31/1997,10.816,,,-7.736,,3.08,,-5.519,,,,,-2.439,4.882,,0.0,,,0.0,,-4.882,2.443,-0.006,2.437,0.0,,,2.437,0.0,2.437,0.0,0.0,2.437,2.437,,36.577945,0.066515,0.066515,0.066515,36.577945,0.066515,0.066515,0.066515,
06/30/1997,12.712,,,-9.344,,3.368,,-5.45,,,,,-2.082,2.618,,0.0,,,0.0,,-2.618,0.536,-0.013,0.523,0.0,,,0.523,0.0,0.523,0.0,0.0,0.523,0.523,,36.406776,0.013303,0.013303,0.013303,36.406776,0.013303,0.013303,0.013303,
09/30/1997,14.741,,,-10.085,,4.656,,-6.696,,,,,-2.04,2.616,,0.0,,,0.0,,-2.616,0.576,-0.015,0.561,0.0,,,0.561,0.0,0.561,0.0,0.0,0.561,0.561,,36.749745,0.013303,0.013303,0.013303,36.749745,0.013303,0.013303,0.013303,
03/31/1998,14.015,,,-9.933,,4.082,,-5.786,,,,,-1.704,2.554,,0.0,,,0.0,,-2.554,0.85,-0.043,0.807,0.0,,,0.807,0.0,0.807,0.0,0.0,0.807,0.807,,35.126496,0.022172,0.022172,0.022172,36.452048,0.022172,0.022172,0.022172,
06/30/1998,13.572,,,-9.622,,3.95,,-5.898,,,,,-1.948,2.265,,0.0,,,0.0,,-2.265,0.317,-0.01,0.307,0.0,,,0.307,0.0,0.307,0.0,0.0,0.307,0.307,,35.126491,0.008869,0.008869,0.008869,36.482887,0.008869,0.008869,0.008869,
09/30/1998,13.873,,,-9.893,,3.98,,-5.678,,,,,-1.698,2.303,,0.0,,,0.0,,-2.303,0.605,-0.008,0.597,0.0,,,0.597,0.0,0.597,0.0,0.0,0.597,0.597,,35.126471,0.017737,0.017737,0.017737,35.952233,0.017737,0.017737,0.017737,
12/31/1998,13.951,,,-9.683,,4.268,,-5.917,,,,,-1.649,2.211,,0.0,,,0.0,,-2.211,0.562,0.028,0.59,0.0,,,0.59,0.0,0.59,0.0,0.0,0.59,0.59,,35.501431,0.017737,0.017737,0.017737,35.501431,0.017737,0.017737,0.017737,
03/31/1999,12.494,,,-8.472,,4.022,,-5.998,,,,,-1.976,2.091,,0.0,,,0.0,,-2.091,0.115,-0.014,0.101,0.0,,,0.101,0.0,0.101,0.0,0.0,0.101,0.101,,35.126471,0.004434,0.004434,0.004434,35.477583,0.004434,0.004434,0.004434,
06/30/1999,12.349,,,-8.431,,3.918,,-5.607,,,,,-1.689,1.963,,0.0,,,0.0,,-1.963,0.274,-0.008,0.266,0.0,,,0.266,0.0,0.266,0.0,0.0,0.266,0.266,,35.929005,0.004434,0.004434,0.004434,35.929005,0.004434,0.004434,0.004434,
09/30/1999,13.262,,,-8.903,,4.359,,-6.004,,,,,-1.645,2.153,,0.0,,,0.0,,-2.153,0.508,-0.042,0.466,0.0,,,0.466,0.0,0.466,0.0,0.0,0.466,0.466,,37.577694,0.013303,0.013303,0.013303,39.408266,0.013303,0.013303,0.013303,
12/31/1999,15.935,,,-19.986,,-4.051,,-6.399,,,,,-10.45,10.911,,0.0,,,0.0,,-10.911,0.461,-0.039,0.422,0.0,,,0.422,0.0,0.422,0.0,0.0,0.422,0.422,,43.658588,0.008869,0.008869,0.008869,43.658588,0.008869,0.008869,0.008869,
03/31/2000,15.508,,,-11.268,,4.24,,-6.115,,,,,-1.875,5.351,,0.0,,,0.0,,-5.351,3.476,-0.041,3.435,0.0,,,3.435,0.0,3.435,0.0,0.0,3.435,3.435,,43.31244,0.084252,0.084252,0.084252,43.31244,0.079818,0.079818,0.079818,
06/30/2000,15.501,,,-11.338,,4.163,,-6.246,,,,,-2.083,3.451,,0.0,,,0.0,,-3.451,1.368,-0.044,1.324,0.0,,,1.324,0.0,1.324,0.0,0.0,1.324,1.324,,42.916485,0.03104,0.03104,0.03104,42.916485,0.03104,0.03104,0.03104,
09/30/2000,17.131,,,-13.822,,3.309,,-6.241,,,,,-2.932,4.258,,0.0,,,0.0,,-4.258,1.326,-0.059,1.267,0.0,,,1.267,0.0,1.267,0.0,0.0,1.267,1.267,,42.318913,0.03104,0.03104,0.03104,42.318913,0.03104,0.03104,0.03104,
12/31/2000,18.894,,,-24.095,,-5.201,,-5.948,,,,,-11.149,6.143,,0.0,,,0.0,,-6.143,-5.006,0.01,-4.996,0.0,,,-4.996,0.0,-4.996,0.0,0.0,-4.996,-4.996,,41.726895,-0.119727,-0.119727,-0.119727,41.726895,-0.119727,-0.119727,-0.119727,
03/31/2001,19.142,,,-15.044,,4.098,,-6.637,,,,,-2.539,3.463,,0.0,,,0.0,,-3.463,0.924,-0.037,0.887,0.0,,,0.887,0.0,0.887,0.0,0.0,0.887,0.887,,43.614792,0.022172,0.022172,0.022172,44.251477,0.022172,0.022172,0.022172,
06/30/2001,20.254,,,-21.297,,-1.043,,-8.109,,,,,-9.152,3.603,,0.0,,,0.0,,-3.603,-5.549,-0.03,-5.579,0.0,,,-5.579,0.0,-5.579,0.0,0.0,-5.579,-5.579,,43.988392,-0.128596,-0.128596,-0.128596,44.136416,-0.128596,-0.128596,-0.128596,
09/30/2001,22.073,,,-19.175,,2.898,,-8.399,,,,,-5.501,3.923,,0.0,,,0.0,,-3.923,-1.578,-0.016,-1.594,0.0,,,-1.594,0.0,-1.594,0.0,0.0,-1.594,-1.594,,43.988392,-0.035475,-0.035475,-0.035475,44.065903,-0.035475,-0.035475,-0.035475,
12/31/2001,20.385,,,-20.978,,-0.593,,-8.724,,,,,-9.317,0.0,,0.0,,,0.0,,-1.259,-8.058,0.01,-8.048,0.0,,,-8.048,0.0,-8.048,0.0,0.0,-8.048,-8.048,,43.993504,-0.182936,-0.182936,-0.182936,43.993504,-0.182936,-0.182936,-0.182936,
03/31/2002,19.038,,,-14.732,,4.306,,-6.147,,,,,-1.841,1.804,,0.0,,,0.0,,-1.804,-0.037,-0.017,-0.054,0.0,,,-0.054,0.0,-0.054,0.0,0.0,-0.054,-0.054,,43.991344,0.0,0.0,0.0,44.251477,0.0,0.0,0.0,
06/30/2002,78.487,,,-75.447,,3.04,,-7.208,,,,,-4.168,8.654,4.989,4.989,,,0.0,,-13.643,4.486,-0.145,4.341,0.0,,,4.341,0.0,4.341,0.0,0.0,4.341,4.341,,50.955671,0.08449,0.08449,0.08449,50.955671,0.08449,0.08449,0.08449,
09/27/2002,209.044,,,-201.582,,7.462,,-6.039,,,,,1.423,-19.53,16.07,16.07,,,0.0,,3.46,-18.107,-0.178,-18.285,0.0,,,-18.285,0.0,-18.285,0.0,0.0,-18.285,-18.285,,65.653756,-0.276941,-0.276941,-0.276941,65.653756,-0.276941,-0.276941,-0.276941,
12/27/2002,220.45,,,-180.972,,39.478,,-37.202,,,,,2.276,-21.227,17.676,17.676,,,0.0,,3.551,-18.951,-0.006,-18.957,0.0,,,-18.957,0.0,-18.957,0.0,0.0,-18.957,-18.957,,47.513357,-0.398983,-0.398983,-0.398983,47.513357,-0.398983,-0.398983,-0.398983,
03/28/2003,10.352,,,-9.189,,1.163,,-5.201,,,,,-4.038,-53.786,0.0,0.0,,,0.0,,53.786,-57.824,-0.012,-57.836,0.0,,,-57.836,0.0,-57.836,0.0,0.0,-57.836,-57.836,,65.653756,-0.882456,-0.882456,-0.882456,65.653756,-0.882456,-0.882456,-0.882456,
06/30/2003,9.856,,,-12.37,,-2.514,,-4.294,,,,,-6.808,2.307,0.0,0.0,,,0.0,,-2.307,-4.501,0.0,-4.501,0.0,,,-4.501,0.0,-4.501,0.0,0.0,-4.501,-4.501,,65.653756,-0.070409,-0.070409,-0.070409,65.653756,-0.070409,-0.070409,-0.070409,
09/30/2003,8.396,,,-8.129,,0.267,,-4.396,,,,,-4.129,0.687,0.0,0.0,,,0.0,,-0.687,-3.442,0.0,-3.442,0.0,,,-3.442,0.0,-3.442,0.0,0.0,-3.442,-3.442,,65.65226,-0.051633,-0.051633,-0.051633,65.65226,-0.051633,-0.051633,-0.051633,
12/31/2003,7.247,,,-6.996,,0.251,,-4.888,,,,,-4.637,1.197,1.424,1.424,,,0.0,,-2.621,-3.44,-0.006,-3.446,0.0,,,-3.446,0.0,-3.446,0.0,0.0,-3.446,-3.446,,65.364824,-0.051633,-0.051633,-0.051633,65.364824,-0.051633,-0.051633,-0.051633,
03/31/2004,0.0,,,0.0,,0.0,,-0.779,,,,,-0.779,-1.984,,0.0,,,0.0,,1.984,-2.763,1.147,-1.616,0.0,,,-1.616,-0.557,-2.173,0.0,0.0,-2.173,-2.173,,68.075411,-0.029102,-0.029102,-0.029102,68.075411,-0.029102,-0.029102,-0.029102,
06/30/2004,0.0,,,0.0,,0.0,,-0.946,,,,,-0.946,22.292001,,15.63,-0.683,,0.0,,-37.239001,21.346001,-4.418,16.927999,0.0,,,16.928001,-1.733,15.195,0.0,0.0,15.195,15.195,,82.552013,0.18,0.18,0.18,86.528011,0.18,0.18,0.18,
09/30/2004,0.0,,,0.0,,0.0,,-1.662,,,,,-1.662,21.274,,10.539,-0.779,,0.0,,-31.034,19.612,-5.165,14.447,0.0,,,14.447,-1.632,12.815,0.0,0.0,12.815,12.815,,100.746638,0.129994,0.129994,0.129994,104.219413,0.122772,0.122772,0.122772,
12/31/2004,173.820999,,,-107.718002,,66.102997,,-45.497002,,,,,20.606001,-6.303,,10.472,,,0.0,,-4.169,14.303001,-3.099,11.204,0.0,,,11.204001,-2.947,8.257,0.0,0.0,8.257,8.257,,101.25066,0.057775,0.057775,0.057775,101.25066,0.057775,0.057775,0.057775,
03/31/2005,174.819,,,-133.949997,,40.869003,,-17.181999,,,,,23.687,-9.092,19.075001,19.954,-0.879,,,,-9.983,14.595,-2.742,11.853,,,,11.853,-1.55,10.303,,,10.303,10.303,,140.946699,0.072219,0.072219,0.072219,148.951539,0.072219,0.072219,0.072219,
06/30/2005,198.639008,,,-123.765999,,74.873009,,-34.596001,,,,,40.277,-23.896,27.229,28.110001,-0.881,,0.0,,-3.333,16.381,-4.875,11.506,0.0,,,11.506,-5.589,5.917,0.0,0.0,5.917,5.917,,106.245003,0.06,0.06,0.08,111.911003,0.05,0.05,0.07,
09/30/2005,301.48999,,,-151.983994,,149.505997,,-66.543999,,,,,82.961998,-26.997999,46.032001,47.688999,-1.657,,,,-19.034,55.963999,-16.391001,39.573002,,,,39.572998,-2.172,37.401001,,,37.401001,37.401001,,140.085999,0.27,0.27,0.23,145.737,0.26,0.26,0.22,
12/31/2005,303.362,,,-163.307007,,140.054993,,-90.064003,,,,,49.991001,-33.767,,30.92,,,0.0,,2.847,16.224001,-10.643,5.591,0.0,,,5.581002,0.114,5.705,0.0,0.0,5.705,5.705,,141.170502,0.04,0.04,0.09,141.170502,0.04,0.04,0.09,
03/31/2006,305.356,,,-232.946,,72.41,,-34.202,,,,,38.208,-21.927,31.173,31.173,,,0.0,,-9.246,16.281,-4.263,12.018,0.0,,,12.018,-0.6,11.418,0.0,0.0,11.418,11.418,,143.384,0.08,0.08,0.08,145.743,0.08,0.08,0.08,
12/31/2006,317.928986,,,-239.664993,,78.263992,,-4.889,,,,,73.375,-51.014002,,49.747002,0.0,,0.0,,1.267,22.360998,-8.67,13.691,0.0,,,13.690998,-1.749,11.942,0.0,0.0,11.942,11.942,,146.464996,0.08,0.08,0.08,147.983002,0.08,0.08,0.08,
03/31/2007,330.209,,,-250.05,,80.159,,-39.008,,,,,41.151,-75.847,35.865,35.865,,,0.0,,39.982,-34.696,18.176,-16.52,0.0,,,-16.52,-1.398,-17.918,0.0,0.0,-17.918,-17.918,,151.476,-0.12,-0.12,0.1,151.476,-0.12,-0.12,0.1,
06/30/2007,355.140015,,,-247.996994,,107.143021,,-29.386,,,,,77.757004,-9.128,28.604,28.604,,,0.0,,-19.476,68.629004,-28.822001,39.806999,0.0,,,39.807003,-2.091,37.716,0.0,0.0,37.716,37.716,,152.983002,0.25,0.25,0.2,154.307007,0.24,0.24,0.19,
09/30/2007,352.350006,,,-238.414001,,113.936005,,-29.808001,,,,,84.127998,-19.889999,28.518999,28.518999,,,0.0,,-8.629,64.237999,-23.768,40.470001,0.0,,,40.469999,-2.055,38.415001,0.0,0.0,38.415001,38.415001,,153.035004,0.25,0.25,0.26,154.319,0.25,0.25,0.26,
12/31/2007,395.388,,,-262.069,,133.319,,-45.166,,,,,88.153,-16.115,28.695,28.695,,,0.0,,-12.58,72.038,3.374,75.412,0.0,,,75.412,-3.112,72.3,0.0,0.0,72.3,72.3,-4.925,153.096,0.47,0.47,0.45,154.443,0.47,0.47,0.45,
03/31/2008,388.766,,,,,,,-358.001,,,,,30.765,-8.067,,15.199,,,,,-1.64,22.698,-6.905,15.793,,,,15.793,-1.869,13.924,0.0,0.0,13.924,13.924,0.0,153.165,0.09,0.09,0.09,154.572,0.09,0.09,0.09,
06/30/2008,422.996,,,,,,,-332.691,,,,,90.305,-16.967,,13.776,,,,,10.511,73.338,-26.26,47.078,,,,47.078,-2.225,44.853,0.0,0.0,44.853,44.853,0.0,153.387,0.28,0.28,0.28,154.848,0.27,0.27,0.27,
09/30/2008,438.671,,,,,,,-336.843,,,,,101.828,-21.81,,13.745,,,,,13.608,80.018,-29.753,50.265,0.0,,,50.265,-3.166,47.099,0.0,0.0,47.099,47.099,,153.411,0.31,0.31,0.31,154.833,0.3,0.3,0.3,
12/31/2008,413.82,,,,,,,-349.105,,,,,64.715,-12.939,,23.38,,,,,-5.213,51.776,-24.776,27.0,0.0,,,27.0,0.299,27.299,0.0,0.0,27.299,27.299,0.0,153.417,0.18,0.18,0.18,154.673,0.18,0.18,0.18,
03/31/2009,358.76,348.138,10.622,-256.042,256.042,102.718,0.0,-99.526,25.515,25.515,51.498,22.513,3.192,-11.59,,7.916,,-1.028,,5.809,4.702,-8.398,3.318,0.729,0.0,0.0,0.0,0.729,-1.38,-0.651,0.0,0.0,-0.651,-0.651,0.0,153.467,-0.004242,-0.004242,-0.004242,153.467,-0.004242,-0.004242,-0.004242,
