Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1989,33.18,21.885,1.043,,0.0,,,0.0,10.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,11.399,21.916,1.09,,0.0,,,0.0,-11.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,30.628,22.801001,1.058,,0.0,,,0.0,6.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,25.486,22.841,1.196,,3.949,,,3.949,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,35.412998,23.025999,0.969,,0.0,,,0.0,11.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,6.489,23.705999,1.129,,0.0,,,0.0,-18.346001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,13.546,24.266001,0.94,,0.0,,,0.0,-11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,14.22,27.238001,1.682,,0.755,,,0.755,-15.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-5.556,28.787001,0.759,,1.0,,,1.0,-36.102001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,12.334,31.087,1.275,,0.411,,,0.411,-20.438999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,27.165001,31.181999,1.239,,-0.002,,,-0.002,-5.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,36.764999,32.994999,1.066,,-2.106,,,-2.106,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.764999,,,
12/31/1992,31.841,34.764,4.498,,0.231,,,0.231,-7.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,41.810001,42.233002,6.548,,4.153,,,4.153,-11.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,53.403999,44.798,4.972,,3.377,,,3.377,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,72.323997,53.727001,8.268,,-4.792,,,-4.792,15.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.323997,,,
12/31/1993,78.521004,59.000999,9.708,,-1.218,,,-1.218,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,38.766998,68.600998,7.798,,-7.167,,,-7.167,-30.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,75.563004,60.022999,9.67,,6.356,,,6.356,-0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,81.956001,63.682999,9.517,,0.633,,,0.633,8.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.956001,,,
12/31/1994,97.602997,63.304001,9.329,,-0.473,,,-0.473,25.443001,,,,,,,-6.785,,-6.785,,,,,,,,,,,,6.785,,,,,,,,,,,,,,,,,
03/31/1995,34.625999,63.040001,10.788,,0.066,,,0.066,-39.268002,,,,,,,-8.121,,-8.121,,,,,,,,,,,,8.121,,,,,,,,,,,,,,,,,
06/30/1995,73.942001,69.028999,10.38,,-2.197,,,-2.197,-3.27,,,,,,,-11.615,,-11.615,,,,,,,,,,,,11.615,,,,,,,,,,,,,,,,,
09/30/1995,90.282997,73.571999,10.443,,0.608,,,0.608,5.66,,,,,,-13.844,-13.844,,-13.844,,,,,,,,,,,,0.0,,,,,,,,,,,,,,76.438997,,,
12/31/1995,116.947998,73.950996,10.093,,-1.561,,,-1.561,34.465,,,,,,,-9.249,,-9.249,,,,,,,,,,,,9.249,,,,,,,,,,,,,,,,,
03/31/1996,36.137001,75.211998,9.746,,-3.85,,,-3.85,-44.971001,,,,,,,-10.736,,-10.736,,,,,,,,,,,,10.736,,,,,,,,,,,,,,,,,
06/30/1996,120.372002,81.066002,10.123,,-8.007,,,-8.007,37.189999,,,,,,,-19.992001,,-19.992001,,,,,,,,,,,,19.992001,,,,,,,,,,,,,,,,,
