Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1991,223,-308,63,112,,112,356,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,-127,-39,59,-54,,-54,-93,,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-128,5,64,-58,,-58,-139,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,41,-165,67,-10,,-10,149,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-78,-1355,68,1246,,1246,-37,,,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,43,2,73,-57,,-57,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-60,-28,73,-15,,-15,-90,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,6,-225,74,-148,,-148,305,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
03/31/1993,92,-59,76,13,,13,62,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,25,-336,80,-373,,-373,654,,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,54,33,77,-63,,-63,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-85,124,81,401,,401,-691,,,-691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.0,,,
03/31/1994,-302,-35,78,-368,,-368,23,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
