Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,631.307983,633.307983,633.307983,,2.633106,0.984676,0.595762,0.18,0.18,0.18,0.18,0.18,0.18,0.2675,0.434751,0.434751,,,0.109866,10.774884,,31.294758,
06/30/1990,631.307983,633.307983,633.307983,,3.187148,1.253711,0.865964,0.34,0.34,0.34,0.34,0.34,0.34,0.2675,0.442744,0.442744,,,0.097246,10.841932,,31.376886,
09/30/1990,631.307983,631.307983,631.307983,,3.861161,1.739546,1.333167,0.3,0.645,0.645,0.3,0.645,0.645,0.2675,1.336788,1.336788,,,0.126241,10.871909,,31.092738,
12/31/1990,632.0,644.325989,644.325989,,2.873398,0.951728,0.584546,0.135,0.135,0.135,0.135,0.135,0.135,0.2675,0.709813,0.709813,,,0.294304,10.727848,,31.205696,
03/31/1991,631.307983,631.307983,631.307983,,2.824677,1.097205,0.712871,0.215,0.215,0.215,0.215,0.215,0.215,0.2675,0.528644,0.528644,,,0.084681,10.690623,,31.303003,
06/30/1991,631.307983,631.307983,631.307983,,3.192402,1.203845,0.817941,0.275,0.275,0.275,0.275,0.275,0.275,0.2675,0.578756,0.578756,,,0.087021,10.692482,,31.360526,
09/30/1991,631.307983,631.307983,631.307983,,3.743401,1.680391,1.292881,0.585,0.585,0.585,0.585,0.585,0.585,0.2675,1.34419,1.34419,,,0.165029,11.013857,,31.006406,
12/31/1991,632.0,622.880005,622.880005,,3.031292,1.302795,0.922136,0.315,0.315,0.315,0.315,0.315,0.315,0.2675,0.657096,0.657096,,,0.167722,11.03481,,31.058544,
03/31/1992,631.307983,633.307983,633.307983,,2.854677,1.202412,0.816879,0.295,0.295,0.295,0.295,0.295,0.295,0.275,0.576206,0.576206,,,0.265241,11.050793,,31.106589,
06/30/1992,631.307983,633.307983,633.307983,,3.176245,1.286505,0.914636,0.35,0.35,0.35,0.35,0.35,0.35,0.275,0.629894,0.629894,,,0.241307,11.121287,,31.078086,
09/30/1992,632.916016,631.843994,631.843994,,3.775598,1.769328,1.37338,0.64,0.64,0.64,0.64,0.64,0.64,0.275,1.525712,1.525712,,,0.621948,11.4834,,31.028585,
12/31/1992,632.0,626.31598,626.31598,,2.982488,1.091797,0.709955,0.225,0.225,0.225,0.225,0.225,0.225,0.275,0.573441,0.573441,,,0.153481,11.443038,,31.131329,
03/31/1993,634.862,633.565979,633.565979,,2.903505,1.191467,0.800606,0.28,0.28,0.28,0.28,0.28,0.28,0.285,0.814032,0.814032,,,0.379689,11.441688,,31.032261,
06/30/1993,638.221985,636.107971,636.107971,,3.251218,1.314137,0.921447,0.395,0.395,0.395,0.395,0.395,0.395,0.285,0.54548,0.54548,,,0.386344,11.595066,,30.822538,
09/30/1993,639.830017,638.828003,638.828003,,4.126903,1.908343,1.494518,0.69,0.69,0.69,0.69,0.69,0.69,0.285,1.46333,1.46333,,,0.275597,12.014324,,30.918389,
12/31/1993,642.661988,643.497986,643.497986,,3.022662,1.087483,0.700666,0.205,0.205,0.205,0.205,0.205,0.205,0.285,0.822966,0.822966,,,0.277511,11.955285,,31.14134,
03/31/1994,648.346985,646.452026,646.452026,,2.989286,1.085924,0.685132,0.22,0.22,0.22,0.22,0.22,0.22,0.295,0.738899,0.738899,,,0.329081,11.960861,,30.963253,
06/30/1994,642.661987,648.346985,648.346985,,3.190398,1.369006,0.96751,0.39,0.39,0.39,0.39,0.39,0.39,0.295,0.651509,0.651509,,,0.31841,12.169455,,31.280541,
09/30/1994,652.919006,650.453979,650.453979,,3.661035,1.788454,1.377304,0.64,0.64,0.64,0.64,0.64,0.64,0.295,1.327587,1.327587,,,0.179347,12.450569,,30.899384,
12/30/1994,656.528015,654.0,654.0,,2.927752,1.105664,0.703272,0.27,0.27,0.27,0.27,0.27,0.27,0.295,0.439586,0.439586,,,0.21172,12.467099,,32.164659,
03/31/1995,665.468018,661.0,661.0,,2.918371,1.222116,0.812967,0.31,0.31,0.31,0.31,0.31,0.31,0.305,0.774186,0.309941,,,0.169138,12.573697,,31.791993,
06/30/1995,665.770996,666.0,666.0,,3.278634,1.369416,0.970571,0.4,0.4,0.4,0.4,0.4,0.4,0.305,0.645605,0.170326,,,0.173777,12.673514,,31.535853,
09/30/1995,665.773987,665.773987,665.773987,,4.143821,1.948603,1.496928,0.71,0.71,0.71,0.71,0.71,0.71,0.305,1.472186,1.09438,,,0.497947,13.070132,,34.167924,
12/31/1995,669.54303,667.0,667.0,,3.461078,1.211126,0.765537,0.24,0.24,0.24,0.24,0.24,0.24,0.305,0.691375,-0.067343,,,1.153025,13.09998,,34.39062,
03/31/1996,670.299988,670.10498,670.10498,,3.604835,1.320104,0.870443,0.35,0.35,0.35,0.35,0.35,0.35,0.315,0.623092,0.173671,,,0.465186,13.085333,,34.317814,
06/30/1996,673.648987,671.757019,671.757019,,3.778998,1.473339,1.023291,0.43,0.43,0.43,0.43,0.43,0.43,0.315,0.750329,0.258257,,,0.919626,13.264641,,34.268992,
