Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Net Income to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,33.692001,31.481001,,,,,,0.0,0.869,1.342,-21.249,12.971,,,1.381,6.897,0.0,,0.0,12.443,-8.178,8.178,,0.0,4.265,0.0,,,,0.0,,,4.265,,4.083,,,4.083,4.083,,28.150999,0.15,0.15,0.15,28.150999,0.15,0.15,0.15,,,,,,,,,,,11.0,,11.0,,,,,,11.0,0.39075,0.39075,0.39,99.808084,99.808084,99.663639,
06/30/1994,32.793999,30.448999,,,,,,0.0,1.168,1.177,-19.657,10.585,,,1.803,7.269,0.0,,0.0,13.137,-7.637,7.637,,0.0,5.5,0.0,,,,0.0,,,5.5,,5.206,,,5.206,5.206,,31.351,0.17,0.17,0.17,31.351,0.17,0.17,0.17,,,,,,,,,,,12.5,,12.5,,,,,,12.5,0.398711,0.398711,0.39,97.815116,97.815116,98.248001,
09/30/1994,34.796001,32.237999,,,,,,0.0,1.009,1.549,-22.093001,12.501,,,1.264,7.57,0.0,,0.758,12.703,-7.718,7.718,,0.0,4.985,0.0,,,,0.0,,,4.985,,4.966,,,4.966,4.966,,31.563,0.16,0.16,0.16,31.563,0.16,0.16,0.16,,,,,,,,,,,12.5,,12.5,,,,,,12.5,0.396033,0.396033,0.39,98.476556,98.476556,99.727997,
12/31/1994,36.481998,33.965,,,,,,0.0,0.887,1.63,-22.445,11.87,,,2.213,8.065,0.0,,0.297,14.037,-7.929,7.929,,0.0,6.108,0.0,,,,0.0,,,6.108,,6.211,,,6.211,6.211,,30.679001,0.19,0.19,0.19,30.679001,0.67,0.19,0.19,,,,,,,,,,,14.267,,14.267,,,,,,14.267,0.465041,0.465041,0.395,84.938708,84.938708,87.516646,
03/31/1995,36.926998,34.407001,,,,,,0.0,1.006,1.514,-21.148001,11.352,,,1.427,8.369,0.0,,0.0,15.779,-9.157,9.157,,0.0,6.622,0.0,,,,0.0,,,6.622,,6.623,,,6.623,6.623,,31.658001,0.21,0.21,0.21,31.658001,0.21,0.21,0.21,,,,,,,,,,,14.624,,14.624,,,,,,14.624,0.461937,0.461937,0.395,85.509512,85.509512,85.530639,
06/30/1995,36.988998,34.240002,,,,,,0.0,0.887,1.862,-21.861001,11.852,,,1.39,8.619,0.0,,0.0,15.128,-10.094,9.559,,0.535,5.034,0.0,,,,0.0,,,5.034,,5.203,,,5.203,5.203,,31.723,0.16,0.16,0.16,31.723,0.16,0.16,0.16,,,,,,,,,,,13.983,,13.983,,,,,,13.983,0.440784,0.440784,0.395,89.612997,89.612997,89.58736,
09/30/1995,38.973,35.91,,,,,,0.0,1.156,1.907,-23.052,12.559,,,1.666,8.827,0.0,,0.0,15.921,-10.108,10.098,,0.01,5.813,0.0,,,,0.0,,,5.813,,5.918,,,5.918,5.918,,31.85,0.19,0.19,0.19,31.85,0.19,0.19,0.19,,,,,,,,,,,14.368,,14.368,,,,,,14.368,0.451115,0.451115,0.395,87.560902,87.560902,91.641146,
12/31/1995,41.5,38.284,,,,,,0.0,1.064,2.152,-25.709,13.801,,,2.822,9.086,0.0,,0.0,15.791,-10.454,10.454,,0.0,5.337,0.0,,,,0.0,,,5.337,,5.366,,,5.366,5.366,,32.209,0.16,0.16,0.16,32.209,0.16,0.16,0.16,,,,,,,,,,,14.059,,14.059,,,,,,14.059,0.436493,0.436493,0.41,93.930505,93.930505,74.123334,
03/31/1996,43.771999,40.747002,,,,,,0.0,0.863,2.162,-26.735,15.717,,,1.686,9.332,0.0,,0.0,17.037,-11.149,11.149,,0.0,5.888,0.0,,,,0.0,,,5.888,,6.026,,,5.888,5.888,,32.264999,0.19,0.19,0.19,32.264999,0.19,0.19,0.19,,,,,,,,,,,14.961,,14.961,,,,,,14.961,0.463691,0.463691,0.41,88.420889,88.420889,88.336336,
06/30/1996,43.57,39.912998,,,,,,0.0,1.056,2.601,-25.449,13.969,,,2.136,9.344,0.0,,0.0,18.121,-11.139,11.139,,0.0,6.982,0.0,,,,0.0,,,6.982,,6.897,,,6.897,6.897,,33.066002,0.21,0.21,0.21,33.066002,0.21,0.21,0.21,,,,,,,,,,,15.844,,15.844,,,,,,15.844,0.479163,0.479163,0.41,85.565897,85.565897,88.235292,
09/30/1996,44.337002,40.895,,,,,,0.0,1.229,2.213,-24.636001,12.935,,,2.252,9.449,0.0,,0.0,19.701,-11.271,11.271,,0.0,8.43,0.0,,,,0.0,,,8.43,,8.123,,,8.123,8.123,,34.236,0.24,0.24,0.24,34.236,0.24,0.24,0.24,,,,,,,,,,,17.174,,17.174,,,,,,17.174,0.501636,0.501636,0.42,83.726096,83.726096,83.667175,
12/31/1996,47.375999,43.332001,,,,,,0.0,1.204,2.84,-27.532001,14.477,,,3.026,10.029,0.0,,0.0,19.844,-12.008,11.996,,0.012,7.836,0.0,,,,0.0,,,7.836,,7.976,,,7.976,7.976,,33.573002,0.23,0.23,0.23,33.573002,0.23,0.23,0.23,,,,,,,,,,,17.275,,17.275,,,,,,17.275,0.51455,0.51455,0.42,81.624664,81.624664,87.247467,
03/31/1997,48.646999,43.919998,,,,,0.0,0.0,1.5,3.227,-27.015,14.79,,,2.101,10.124,0.0,,0.0,21.632,-11.989,11.989,0.0,0.0,9.643,0.0,,,,0.0,,,9.643,,9.311,,,9.311,9.311,,37.483002,0.25,0.25,0.25,38.033001,0.24,0.24,0.24,,,,,,,,,,,18.959,,18.959,,,,,,18.959,0.498488,0.498488,0.42,84.254761,84.254761,86.407512,
06/30/1997,50.801998,47.061001,,,,,0.0,0.0,1.448,2.293,-28.578,15.681,,,2.493,10.404,0.0,,0.0,22.224,-4.965,11.999,0.0,-7.034,17.259,0.0,,,,0.0,,,17.259,,17.01,,,17.01,17.01,,39.219002,0.434,0.43,0.43,39.219002,0.434,0.434,0.434,,,,,,,,,,,19.893999,,19.893999,,,,,,19.893999,0.507254,0.507254,0.42,82.798738,82.798738,82.441941,
09/30/1997,49.813,46.109001,,,,,0.0,0.0,1.712,1.992,-27.42,15.127,,,1.968,10.325,0.0,,0.0,22.393,-12.623,11.964,0.0,0.659,9.77,0.0,,,,0.0,,,9.77,,9.489,,,9.489,9.489,,39.242001,0.24,0.24,0.24,39.242001,0.24,0.24,0.24,,,,,,,,,,,20.009001,,20.009001,,,,,,20.009001,0.509887,0.509887,0.43,84.33235,84.33235,84.012189,
12/31/1997,55.008999,51.438999,,,,,0.0,0.0,1.377,2.193,-32.498999,16.771,,,3.231,10.546,0.0,,1.951,22.51,-11.336,11.336,0.0,0.0,11.174,0.0,,,,0.0,,,11.174,,10.694,,,8.817,8.817,,38.858002,0.227,0.23,0.23,39.115002,0.225,0.225,0.225,,,,,,,,,,,20.871,,20.871,,,,,,20.871,0.53358,0.53358,0.43,80.587661,80.587661,81.658756,
03/31/1998,56.176998,52.480999,,,,,0.0,0.0,1.594,2.102,-30.003999,17.393999,,,1.841,10.769,0.0,,0.0,26.172999,-12.693,12.693,0.0,0.0,13.48,0.0,,,,0.0,,,13.48,,12.694,,,10.706,10.706,,38.949001,0.27,0.27,0.27,39.869999,0.27,0.27,0.27,,,,,,,,,,,21.368,,21.368,,,,,,21.368,0.535942,0.535942,0.43,80.23259,80.23259,89.437477,
06/30/1998,58.402,54.126999,,,,,0.0,0.0,1.341,2.934,-21.086999,17.091999,,,3.995,11.203,0.0,,0.0,26.112,-13.404,13.404,0.0,0.0,12.708,0.0,,,,0.0,,,12.708,,11.963,,,9.976,9.976,,39.122002,0.26,0.26,0.26,39.900002,0.26,0.26,0.26,,,,,,,,,,,42.183,,42.183,,,,,,42.183,1.057218,1.057218,0.43,40.672785,40.672785,40.694118,
09/30/1998,59.002998,55.432999,,,,,0.0,0.0,0.993,2.577,-37.039999,18.063,,,2.9,11.412,0.0,,4.665,21.963,-13.639,13.639,0.0,0.0,8.324,0.0,,,,0.0,,,8.324,,7.52,,,5.532,5.532,,39.233002,0.14,0.14,0.14,40.067001,0.14,0.14,0.14,,,,,,,,,,,21.166,,21.166,,,,,,21.166,0.528265,0.528265,0.44,83.291506,83.291506,83.156948,
