Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389,
03/31/2000,-11883.0,1988.0,735.0,,-4865.0,,,,-4865.0,-9741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,5606,
06/30/2000,13488.0,1633.0,1048.0,,352.0,,,,352.0,10455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,5993,
09/30/2000,-18617.0,1398.0,549.0,,-8420.0,,,,-8420.0,-12144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0,8527,
12/31/2000,3336.0,708.0,1590.0,,10287.0,,,,10287.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336.0,1019.0,7091,
03/31/2001,-10416.0,1199.0,1177.0,,-828.0,,,,-828.0,-11964.0,,,,,,1707.0,0.0,0.0,0.0,3133.0,49002.0,,,,-45869.0,,,,-1154.0,,,,,,,,-272.0,7108.0,-631.0,13967.0,,,,,424.0,582.0,-158.0,-6793.0,141.0,,-1601.0,438.0,7286,
06/30/2001,-5092.0,378.0,1176.0,,-7582.0,,,,-7582.0,936.0,,,,,,2317.0,0.0,0.0,0.0,-1414.0,41396.0,,,,-42810.0,,,,2196.0,,,,,,,,1535.0,4623.0,-694.0,1194.0,,,,,7.0,344.0,-337.0,4232.0,-116.0,,1848.0,-48.0,5066,
09/30/2001,-21212.0,449.0,1458.0,,-28974.0,,,,-28974.0,5855.0,,,,,,-15156.0,0.0,0.0,0.0,4874.0,48237.0,,,,-43363.0,,,,-19092.0,,,,,,,,-938.0,34448.0,-695.0,30573.0,,,,,-548.0,229.0,-777.0,4800.0,318.0,,-1920.0,286.0,5542,
12/31/2001,33613.0,-332.0,2265.0,,14515.0,,,,14515.0,17165.0,,,,,,23450.0,0.0,0.0,0.0,5012.0,55892.0,,,,-50880.0,,,,16813.0,,,,,,,,1625.0,-56762.0,-677.0,-67961.0,,,,,164.0,274.0,-110.0,12046.0,-334.0,,301.0,-197.0,5093,
03/31/2002,-12558.0,982.0,1384.0,,11250.0,,,,11250.0,-26174.0,,,,,,-9624.0,0.0,0.0,0.0,-2199.0,44564.0,,,,-46763.0,,,,-7938.0,,,,,,,,513.0,22219.0,-684.0,34554.0,,,,,214.0,214.0,,-11613.0,-252.0,,37.0,439.0,3277,
06/30/2002,-20795.0,1028.0,1649.0,,-1429.0,,,,-1429.0,-22043.0,,,,,,3375.0,0.0,0.0,0.0,-534.0,42495.0,,,,-43029.0,,,,5936.0,,,,,,,,-2027.0,16661.0,-690.0,5120.0,,,,,290.0,290.0,,11792.0,149.0,,-759.0,301.0,3092,
09/30/2002,25093.0,40.0,2365.0,,-1456.0,,,,-1456.0,24144.0,,,,,,-7676.0,0.0,0.0,0.0,-13060.0,70700.0,,,,-83760.0,,,,6209.0,,,,,,,,-825.0,-21136.0,-712.0,-18657.0,,,,,-20.0,,-20.0,-1658.0,-89.0,,-3719.0,285.0,3932,
