Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1990,886.0,,,-813.0,,73.0,,-93.0,,,,-20.0,2.0,,,,,-2.0,-18.0,0.0,,,-18.0,0.0,,,-18.0,0.0,-18.0,-7.0,,-25.0,-25.0,,25.3,-1.0,-1.0,,25.3,-1.0,-1.0,-1.0,
04/30/1990,1025.0,,,-931.0,,94.0,,-96.0,,,,-2.0,12.0,,,,,-12.0,10.0,-2.0,,,8.0,0.0,,,8.0,0.0,8.0,-7.0,,1.0,1.0,,25.4,0.1,0.1,,25.4,0.1,0.1,0.1,
07/31/1990,972.0,,,-873.0,,99.0,,-101.0,,,,-2.0,10.0,,,,,-10.0,8.0,-2.0,,,6.0,0.0,,,6.0,0.0,6.0,-7.0,,-1.0,-1.0,,25.3,0.0,0.0,,25.3,0.0,0.0,0.0,
10/31/1990,971.0,,,-874.0,,97.0,,-114.0,,,,-17.0,10.0,,,,,-10.0,-7.0,0.0,,,-7.0,0.0,,,-7.0,0.0,-7.0,-7.8,,-14.8,-14.8,,25.2,-0.6,-0.6,,25.2,-0.6,-0.6,-0.6,
01/31/1991,842.0,,,-790.0,,52.0,,-95.0,,,,-43.0,6.0,,1.0,,,-7.0,-37.0,-1.0,,,-38.0,0.0,,,-38.0,0.0,-38.0,-7.0,,-45.0,-45.0,,25.1,-1.8,-1.8,,25.1,-1.8,-1.8,-1.8,
04/30/1991,940.0,,,-890.0,,50.0,,-97.0,,,,-47.0,18.0,,3.0,,,-21.0,-29.0,0.0,,,-29.0,0.0,,,-29.0,0.0,-29.0,-8.0,,-37.0,-37.0,,25.1,-1.5,-1.5,,25.1,-1.5,-1.5,-1.5,
07/31/1991,861.0,,,-797.0,,64.0,,-103.0,,,,-39.0,10.0,,3.0,,,-13.0,-29.0,-2.0,,,-31.0,0.0,,,-31.0,0.0,-31.0,-7.0,,-38.0,-38.0,,25.1,-1.5,-1.5,,25.1,-1.5,-1.5,-1.5,
10/31/1991,817.0,,,-774.0,,43.0,,-112.0,,,,-69.0,2.0,,3.0,,,-5.0,-67.0,0.0,,,-67.0,0.0,,,-67.0,0.0,-67.0,-6.8,,-73.8,-73.8,,25.1,-2.9,-2.9,,25.1,-2.9,-2.9,-2.9,
01/31/1992,902.0,,,-835.0,,67.0,,-99.0,,,,-32.0,1.0,,3.0,,,-4.0,-31.0,-1.0,,,-32.0,0.0,,,-32.0,0.0,-32.0,-7.0,,-39.0,-39.0,,25.2,-1.6,-1.6,,25.2,-1.6,-1.6,-1.6,
04/30/1992,914.0,,,-863.0,,51.0,,-93.0,,,,-42.0,7.0,,3.0,,,-10.0,-35.0,0.0,,,-35.0,0.0,,,-35.0,0.0,-35.0,-7.0,,-42.0,-42.0,,25.2,-1.7,-1.7,,25.2,-1.7,-1.7,-1.7,
07/31/1992,920.0,,,-877.0,,43.0,,-99.0,,,,-56.0,7.0,,3.0,,,-10.0,-49.0,-1.0,,,-50.0,65.0,,,-115.0,0.0,-115.0,-8.0,,-123.0,-123.0,,25.2,-4.9,-2.3,,25.2,-4.9,-2.3,-2.3,
10/31/1992,1139.0,,,-828.0,,311.0,,-337.0,,,,-26.0,-4.0,,3.0,,,1.0,-30.0,0.0,,,-30.0,0.0,,,-30.0,0.0,-30.0,-6.8,,-36.8,-36.8,,25.5,-1.4,-1.4,,25.5,-1.4,-1.4,-1.4,
01/31/1993,1029.0,,,-858.0,,171.0,,-152.0,,,,19.0,-15.0,,25.0,,,-10.0,4.0,-2.0,,,2.0,228.0,,,-226.0,0.0,-226.0,-7.0,,-233.0,-233.0,,25.5,-9.14,-0.2,,25.5,-9.14,-0.2,-0.2,
04/30/1993,1238.0,,,,,,,,,,,26.0,,,,,,,,-11.0,,,15.0,0.0,,,,0.0,15.0,0.0,,15.0,15.0,,25.7,0.32,0.3,,25.7,0.32,0.3,0.3,
07/31/1993,1123.0,,,-976.0,,147.0,,-135.0,,,,12.0,-514.0,,3.0,,,511.0,-502.0,190.0,,,-312.0,0.0,,,-312.0,0.0,-312.0,0.0,,-312.0,-312.0,,32.0,-9.99,-9.99,,32.0,-9.99,-9.99,-9.99,
10/31/1993,1304.0,,,-2289.0,,-985.0,,-639.0,,,,-412.0,443.0,,63.0,0.0,,-506.0,31.0,-9.0,,,22.0,0.0,,,22.0,0.0,22.0,0.0,0.0,22.0,22.0,,54.0,0.41,0.41,0.41,54.0,0.41,0.41,0.41,
01/31/1994,1128.0,,,-946.0,,182.0,,-146.0,,,,36.0,-12.0,,20.0,,,-8.0,24.0,-8.0,,,16.0,0.0,,,16.0,0.0,16.0,-43.0,,-27.0,-27.0,,74.800003,0.12,0.12,,74.800003,0.12,0.12,0.12,
04/30/1994,1380.0,,,-1191.0,,189.0,,-142.0,,,,47.0,-12.0,,22.0,,,-10.0,35.0,-12.0,,,23.0,0.0,,,23.0,0.0,23.0,-7.0,,16.0,16.0,,74.599998,0.21,0.21,,74.599998,0.21,0.21,0.21,
07/31/1994,1249.0,,,-1059.0,,190.0,,-146.0,,,,44.0,-12.0,,17.0,,,-5.0,32.0,-12.0,,,20.0,0.0,,,20.0,0.0,20.0,-8.0,,12.0,12.0,,74.400002,0.17,0.17,,74.400002,0.17,0.17,0.17,
10/31/1994,1547.0,,,-1304.0,,243.0,,-174.0,,,,69.0,-2.0,,16.0,,,-14.0,67.0,-24.0,,,43.0,20.0,,,23.0,0.0,23.0,-21.0,,2.0,2.0,,74.400002,0.22,0.49,0.49,74.400002,0.22,0.49,0.49,
01/31/1995,1402.0,,,-1198.0,,204.0,,-162.0,,,,42.0,-6.0,,20.0,,,-14.0,36.0,-13.0,,,23.0,0.0,,,23.0,0.0,23.0,-7.0,,16.0,16.0,,74.5,0.21,0.21,,74.5,0.21,0.21,0.21,
