Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,100.972298,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.683843,,,-2.683843,-2.683843,,248.386803,-0.010833,-0.010833,,248.386803,-0.010833,-0.010833,-0.010833,
03/31/1990,98.007004,,-63.123001,,34.884003,,-25.530001,,,,,,9.354,-0.168,,0.978,,,,-0.81,9.186,-3.343,5.843,0.0,,,5.843,0.0,5.843,0.0,,5.843,5.843,,247.631996,0.023333,0.023333,,247.631996,0.023333,0.023333,0.023333,
06/30/1990,104.102997,,-64.611,,39.491997,,-32.039001,,,,,,7.453,0.692,,0.972,,,,-1.664,8.145,-2.993,5.152,0.0,,,5.152,0.0,5.152,0.0,,5.152,5.152,,245.484009,0.020833,0.020833,,245.484009,0.020833,0.020833,0.020833,
09/30/1990,107.708,,-64.653999,,43.054001,,-32.618999,,,,,,10.435,3.422,,0.98,,,,-4.402,13.857,-6.685,7.172,0.0,,,7.172,0.0,7.172,0.0,,7.172,7.172,,245.255997,0.029167,0.029167,,245.255997,0.029167,0.029167,0.029167,
12/31/1990,118.728996,,-71.374001,,47.354996,,-40.754002,,,,,,6.601,1.184,,0.694,,,,-1.878,7.785,-2.746,5.039,0.724,,,4.315,0.0,4.315,0.0,,4.315,4.315,,243.480011,0.0175,0.020833,,243.480011,0.0175,0.020833,0.020833,
03/31/1991,109.397003,,-66.418999,,42.978004,,-32.992001,,,,,,9.986,0.422,,0.592,,,,-1.014,10.408,-3.912,6.496,0.0,,,6.496,0.0,6.496,0.0,,6.496,6.496,,233.448006,0.0275,0.0275,,233.448006,0.0275,0.0275,0.0275,
06/30/1991,117.884003,,-69.525002,,48.359001,,-39.893002,,,,,,8.466,0.538,,0.529,,,,-1.067,9.004,-3.349,5.655,0.0,,,5.655,0.0,5.655,0.0,,5.655,5.655,,231.803993,0.024167,0.024167,,231.803993,0.024167,0.024167,0.024167,
09/30/1991,123.245003,,-70.700996,,52.544006,,-40.174,,,,,,12.37,0.092,,0.412,,,,-0.504,12.462,-4.701,7.761,0.0,,,7.761,0.0,7.761,0.0,,7.761,7.761,,243.120003,0.031667,0.031667,,243.120003,0.031667,0.031667,0.031667,
12/31/1991,134.960999,,-77.018997,,57.942001,,-48.431,,,,,,9.511,0.615,,0.139,,,,-0.754,10.126,-3.563,6.563,0.0,,,6.563,0.0,6.563,0.0,,6.563,6.563,,243.522125,0.026667,0.026667,,243.522125,0.026667,0.026667,0.026667,
03/31/1992,115.537003,,-62.235001,,53.302002,,-46.480999,,,,,,6.821,0.244,,0.093,,,,-0.337,7.065,-2.655,4.41,0.0,,,4.41,0.0,4.41,0.0,,4.41,4.41,,243.85199,0.018333,0.018333,,243.85199,0.018333,0.018333,0.018333,
06/26/1992,128.404999,,-70.651001,,57.753998,,-46.574001,,,,,,11.18,0.66,,0.101,,,,-0.761,11.84,-4.426,7.414,0.0,,,7.414,0.0,7.414,0.0,,7.414,7.414,,244.068008,0.03,0.03,,244.068008,0.03,0.03,0.03,
09/25/1992,133.022995,,-71.875,,61.147995,,-46.544998,,,,,,14.603,0.489,,0.09,,,,-0.579,15.092,-5.714,9.378,0.0,,,9.377999,0.0,9.378,0.0,,9.378,9.378,,244.103989,0.038333,0.038333,,244.103989,0.038333,0.038333,0.038333,
12/31/1992,139.473007,,-73.773003,,65.700004,,-53.529999,,,,,,12.17,0.983,,,,,,-0.983,13.153,-4.852,8.301,0.0,,,8.301,0.0,8.301,0.0,,8.301,8.301,,244.103988,0.034167,0.034167,0.034167,244.103988,0.034167,0.034167,0.034167,
04/02/1993,123.897003,,-64.751999,,59.145004,,-51.558998,,,,,,7.586,2.258,,0.109,,,,-2.367,9.844,-3.718,6.126,3.2,,,2.926,,2.926,,,2.926,2.926,,243.780006,0.011667,0.025,,243.780006,0.011667,0.025,0.025,
07/02/1993,135.733994,,-72.43,,63.303993,,-53.567001,,,,,,9.737,0.468,,0.02,,0.0,,-0.488,10.205,-3.762,6.443,0.0,,,6.443,0.0,6.443,0.0,,6.443,6.443,,243.467995,0.026667,0.026667,,243.467995,0.026667,0.026667,0.026667,
09/30/1993,133.772995,,-72.191002,,61.581993,,-46.987999,,,,,,14.594,1.927,,0.029,,0.0,,-1.956,16.521,-6.827,9.694,0.0,,,9.694,0.0,9.694,0.0,,9.694,9.694,,242.519989,0.04,0.04,,242.519989,0.04,0.04,0.04,
12/31/1993,114.247002,,-63.470001,,50.777,,-44.167,,,,,,6.61,4.616,,0.007,,0.0,,-4.623,11.226,-4.003,7.223,0.0,,,7.223,0.0,7.223,0.0,,7.223,7.223,,240.912003,0.0275,0.03,,240.912003,0.0275,0.03,0.03,
04/01/1994,111.511002,,-64.191002,,47.32,,-45.542,,,,,,1.778,2.053,,0.024,,0.0,,-2.077,3.831,-1.412,2.419,0.0,,,2.419,0.0,2.419,0.0,,2.419,2.419,,240.85199,0.01,0.01,,240.85199,0.01,0.01,0.01,
07/01/1994,130.656006,,-72.858002,,57.798004,,-49.393002,,,,,,8.405,2.177,,0.244,,0.0,,-2.421,10.582,-4.194,6.388,0.0,,,6.388,0.0,6.388,0.0,,6.388,6.388,,236.076004,0.026667,0.026667,,236.076004,0.026667,0.026667,0.026667,
09/30/1994,132.580994,,-72.458,,60.122993,,-57.422001,,,,,,2.701,-3.479,,0.325,,0.0,,3.154,-0.778,0.519,-0.259,0.0,,,-0.259,0.0,-0.259,0.0,,-0.259,-0.259,,234.431992,-0.000833,-0.000833,,234.431992,-0.000833,-0.000833,-0.000833,
12/31/1994,116.300003,,-71.764,,44.536003,,-49.005001,,,,,,-4.469,0.566,,0.297,,0.0,,-0.863,-3.903,1.472,-2.431,0.0,,,-2.431,0.0,-2.431,0.0,,-2.431,-2.431,,234.515988,-0.01,-0.01,-0.01,234.515988,-0.01,-0.01,-0.01,
03/31/1995,117.962997,,-68.693001,,49.269997,,-49.52,,,,,,-0.25,2.388,,0.438,,0.0,,-2.826,2.138,-0.995,1.143,0.0,,,1.143,0.0,1.143,0.0,,1.143,1.143,,234.396011,0.005,0.005,,234.396011,0.005,0.005,0.005,
06/30/1995,128.979996,,-75.252998,,53.726997,,-47.001999,,,,,,6.725,2.282,,0.387,,0.0,,-2.669,9.007,-3.365,5.642,0.0,,,5.642,0.0,5.642,0.0,,5.642,5.642,,234.708,0.024167,0.024167,,234.708,0.024167,0.024167,0.024167,
09/29/1995,120.509003,,-71.274002,,49.235001,,-43.830002,,,,,,5.405,-2.51,,0.264,,0.0,,2.246,2.895,-1.329,1.566,0.0,,,1.566,0.0,1.566,0.0,,1.566,1.566,,235.116,0.006667,0.006667,,235.116,0.006667,0.006667,0.006667,
12/31/1995,118.306999,,-74.514,,43.792999,,-43.317001,,,,,,0.476,1.776,,0.166,,0.0,,-1.942,2.252,-0.451,1.801,0.0,,,1.801,0.0,1.801,0.0,,1.801,1.801,,234.984009,0.0075,0.0075,,234.984009,0.0075,0.0075,0.0075,
03/29/1996,121.547997,,-69.786003,,51.761993,,-47.032001,,,,,,4.73,1.436,,0.135,,0.0,,-1.571,6.166,-2.318,3.848,0.0,,,3.848,0.0,3.848,0.0,,3.848,3.848,,234.311989,0.016667,0.016667,0.016667,236.400009,0.016667,0.016667,0.016667,
06/28/1996,134.626999,,-76.896004,,57.730995,,-49.247002,,,,,,8.484,1.224,,0.108,,0.0,,-1.332,9.708,-3.577,6.131,0.0,,,6.131,0.0,6.131,0.0,,6.131,6.131,,234.480011,0.025833,0.025833,0.025833,236.400009,0.025833,0.025833,0.025833,
09/27/1996,137.089996,,-78.204002,,58.885994,,-51.855999,,,,,,7.03,1.338,,0.074,,0.0,,-1.412,8.368,-3.17,5.198,0.0,,,5.198,0.0,5.198,0.0,,5.198,5.198,,234.792,0.0225,0.0225,0.0225,236.400009,0.021667,0.021667,0.021667,
12/31/1996,134.505997,,-81.161003,,53.344994,,-46.326,,,,,,7.019,1.91,,0.035,,0.0,,-1.945,8.929,-2.878,6.051,0.0,,,6.051,0.0,6.051,0.0,,6.051,6.051,,234.02401,0.025833,0.025833,0.025833,236.568008,0.025833,0.025833,0.025833,
