Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,981.125977,28.954,28.954,0.0,167.960007,,,96.158997,,,,,41.240002,,,,,,,334.312988,274.046997,531.34198,-257.295013,0.0,372.765991,,,,,372.765991,646.812988,,73.712997,73.712997,,,,90.891998,,,,,,141.151016,,,141.151016,305.756012,224.285004,,,,,44.368999,,,,44.368999,268.654003,574.410015,110.0,100.914001,,,-126.374001,,322.176003,406.716003,0.0,406.716003,981.126019,
06/30/1990,1001.051025,35.176998,35.176998,0.0,184.589996,,,91.522003,,,,,39.319,,,,,,,350.608002,276.321014,546.409973,-270.088989,0.0,374.122009,,,,,374.122009,650.443024,,80.971001,80.971001,,,,88.166,,,,,,159.564995,,,159.564995,328.701996,213.487,,,,,41.75,,,,41.75,255.237,583.938995,110.0,100.924004,,,-125.799004,,331.987007,417.112007,0.0,417.112007,1001.051003,
09/30/1990,1010.289978,42.493999,42.493999,0.0,201.740005,,,89.223999,,,,,24.351,,,,,,,357.80899,278.334991,565.026978,-286.691986,0.0,374.145996,,,,,374.145996,652.480988,,76.067001,76.067001,,,,84.634003,,,,,,162.210983,,,162.210983,322.911987,213.373993,,,,,34.978001,,,,34.978001,248.351994,571.263981,110.0,100.905998,,,-124.605003,,352.724998,439.025993,0.0,439.025993,1010.289974,
12/31/1990,870.20697,21.226999,21.226999,0.0,120.885002,,,62.844002,,,,,4.474,,,,,,,209.429993,180.182999,398.144012,-217.960999,0.0,480.593994,,,,,480.593994,660.776993,,52.019001,52.019001,,,,35.594002,,,,,,87.823002,,,87.823002,175.436005,204.649994,,,,,37.534,,,,37.534,242.183994,417.619999,110.0,101.353996,,,-124.771004,,366.004006,452.586998,0.0,452.586998,870.206997,
03/31/1991,862.570984,38.533001,38.533001,0.0,123.197998,,,62.952,,,,,6.263,,,,,,,230.945999,180.182007,405.783997,-225.602005,0.0,451.442993,,,,,451.442993,631.625,,49.898998,49.898998,,,,71.231003,,,,,,65.597004,,,65.597004,186.727005,204.207993,,,,,54.512001,,,,54.512001,258.719994,445.446999,110.0,101.897003,,,-127.82,,333.047005,417.124008,0.0,417.124008,862.571007,
06/30/1991,885.85498,53.000999,53.000999,0.0,120.740997,,,62.578999,,,,,6.321,,,,,,,242.641998,181.942001,415.854004,-233.912003,0.0,461.270996,,,,,461.270996,643.212997,,50.57,50.57,,,,81.339996,,,,,,75.334999,,,75.334999,207.244995,200.658997,,,,,55.962002,,,,55.962002,256.620998,463.865993,110.0,102.995003,,,-124.818001,,333.812004,421.989006,0.0,421.989006,885.855,
09/30/1991,1151.349976,64.012001,64.012001,0.0,132.063995,,,72.75,,,,,7.115,,,,,,,275.94101,184.326996,428.796997,-244.470001,0.0,691.08197,,,,,691.08197,875.408966,,60.146,60.146,,,,52.264,,,,,,95.84,,,95.84,208.25,343.25,,,,,57.592999,,,,57.592999,400.842999,609.092999,0.0,213.468002,,,-16.035999,,344.825001,542.257004,0.0,542.257004,1151.350002,
12/31/1991,921.932007,77.619003,77.619003,0.0,130.768005,,,71.277,,,,,4.687,,,,,,,284.351013,188.794998,429.147003,-240.352005,0.0,448.786011,,,,,448.786011,637.581009,,59.791,59.791,,,,81.471001,,,,,,96.327004,,,96.327004,237.589005,318.752014,,,,,67.429001,,,,67.429001,386.181015,623.77002,0.0,214.544998,,,-18.704,,102.320997,298.161995,0.0,298.161995,921.932015,
03/31/1992,895.468018,46.617001,46.617001,0.0,124.007004,,,72.073997,,,,,7.235,,,,,,,249.932999,187.953003,433.882996,-245.929993,0.0,457.582001,,,,,457.582001,645.535004,,54.452,54.452,,,,78.137001,,,,,,80.769001,,,80.769001,213.358002,312.010986,,,,,68.777,,,,68.777,380.787987,594.145988,0.0,215.399002,,,-17.877001,,103.799997,301.321999,0.0,301.321999,895.467987,
06/30/1992,896.046997,99.748001,99.748001,0.0,129.350006,,,72.347,,,,,7.116,,,,,,,308.561005,190.328003,447.248993,-256.92099,0.0,397.15799,,,,,397.15799,587.485992,,55.341,55.341,,,,74.805,,,,,,104.626995,,,104.626995,234.772995,268.230011,,,,,76.638,,,,76.638,344.868011,579.641006,0.0,216.690994,,,-18.365,,118.079996,316.405991,0.0,316.405991,896.046997,
