Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Long-Term Investments,Loans & Mortgages,Real Estate Investments,Other Long-Term Investments,Net Fixed Assets,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Customer Deposits,ST Borrowings & Repos,Long-Term Borrowings,Short and Long Term Debt,Other Short-Term Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,1919,34001,0,44489,25804,0,18685,1737,8625,90771,,41236,33710,4855,38565,5088,1055,85944,494,0,1311,3022,4827,90771,
06/30/1990,,2772,34153,0,45546,26290,0,19256,1824,8808,93103,,41786,34073,4856,38929,5716,1711,88142,494,0,1335,3132,4961,93103,
09/30/1990,,2016,33071,0,47505,28069,0,19436,1916,11073,95581,,42113,35957,4809,40766,6740,887,90506,494,0,1345,3236,5075,95581,
12/31/1990,,2200,32740,0,44253,25712,0,18541,2010,11900,93103,,37557,38423,3966,42389,7592,376,87914,494,0,1371,3324,5189,93103,
03/31/1991,,1210,32585,0,46319,26028,0,20291,1978,11743,93835,,36690,38706,4794,43500,6862,1382,88434,494,0,1406,3501,5401,93835,
06/30/1991,,1977,34595,0,47847,27330,0,20517,1947,10492,96858,,38752,37752,5241,42993,7673,1864,91282,494,0,1460,3622,5576,96858,
09/30/1991,,2072,37662,0,47718,26673,0,21045,2078,13025,102555,,37626,44127,5497,49624,8494,933,96677,494,0,1489,3895,5878,102555,
12/31/1991,,1555,35939,0,48558,26378,0,22180,2139,15277,103468,,36976,44056,4380,48436,9959,2029,97400,494,0,1542,4032,6068,103468,
03/31/1992,,1357,42578,0,50368,28677,0,21691,2060,7015,103378,,35276,50822,5266,56088,3997,1721,97082,494,0,1593,4209,6296,103378,
06/30/1992,,1811,67528,0,28762,28762,0,0,2119,7308,107528,,36288,53499,5400,58899,4494,1265,100946,494,0,1610,4478,6582,107528,
09/30/1992,,1454,76561,0,27164,27164,0,0,2072,10432,117683,,38418,58350,5600,63950,6834,1599,110801,494,0,1645,4743,6882,117683,
12/31/1992,,1149,66338,0,25180,25180,0,0,1939,8591,103197,,32519,53907,4265,58172,4063,1135,95889,494,0,1726,5088,7308,103197,
03/31/1993,,1742,85626,0,25590,25590,0,0,1930,13933,128821,,35528,72408,5287,77695,6285,1799,121307,494,0,1760,5260,7514,128821,
06/30/1993,,1772,90426,0,26430,26430,0,0,1928,11976,132532,,38605,73713,5486,79199,4853,1844,124501,494,0,1792,5745,8031,132532,
09/30/1993,,2285,86468,0,23315,23315,0,0,1911,15306,129285,,38987,69890,5317,75207,6028,639,120861,494,0,1854,6076,8424,129285,
12/31/1993,,1008,95641,0,23223,23223,0,0,1853,12163,133888,,40402,71285,4319,75604,6829,1194,124029,494,0,1892,7473,9859,133888,
03/31/1994,,1760,122894,0,24245,24245,0,0,1837,18004,168740,,43558,82797,5496,88293,24494,2544,158889,494,0,1940,7417,9851,168740,
06/30/1994,,1861,114240,0,24797,24797,0,0,1936,14983,157817,,43755,69691,5831,75522,25377,3476,148130,494,0,1952,7241,9687,157817,
09/30/1994,,1524,116841,0,21449,21449,0,0,1959,12895,154668,,45557,68001,6287,74288,23662,1428,144935,494,0,1958,7281,9733,154668,
12/31/1994,,2210,114561,0,20949,20949,0,0,2016,15181,154917,,43085,70057,6272,76329,23872,2063,145349,494,0,1954,7120,9568,154917,
03/31/1995,,1153,102803,0,23302,23302,0,0,2034,37785,167077,,46824,69280,8292,77572,30023,3018,157437,494,0,1950,7196,9640,167077,
06/30/1995,,1812,104827,0,22911,22911,0,0,2018,34992,166560,,45316,73185,9092,82277,26756,2340,156689,494,0,1943,7434,9871,166560,
09/30/1995,,1519,114596,0,24133,24133,0,0,2000,36083,178331,,46678,81028,9450,90478,29241,1821,168218,494,0,1935,7684,10113,178331,
12/31/1995,,1535,125220,0,22323,22323,0,0,1927,33874,184879,,46438,85943,8163,94106,29419,4465,174428,494,0,1932,8025,10451,184879,
03/31/1996,,732,139230,0,27528,27528,0,0,1909,35348,204747,,50204,103065,9401,112466,29958,1272,193900,694,0,1934,8219,10847,204747,
