Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.772011,,,,365.772011,,,,
06/29/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.694008,,,,362.694008,,,,
09/28/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.864006,,,,354.864006,,,,
12/28/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.466994,,,,346.466994,,,,
03/29/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.717995,,,,344.717995,,,,
06/28/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.084,,,,345.084,,,,
09/27/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.246002,,,,345.246002,,,,
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.345994,,,,365.345994,,,,
03/28/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.5,,,,385.5,,,,
06/27/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.5,,,,385.5,,,,
09/26/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,385.800018,,,,385.800018,,,,
12/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,388.02301,,,,388.02301,,,,
04/02/1993,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,387.0,,,,387.0,,,,
06/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,390.0,,,,390.0,,,,
09/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,387.0,,,,387.0,,,,
12/31/1993,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,,,,,387.0,,,,387.0,,,,
03/31/1994,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,387.0,,,,387.0,,,,
06/30/1994,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,390.0,,,,390.0,,,,
09/30/1994,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,390.0,,,,390.0,,,,
12/31/1994,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,390.0,,,,390.0,,,,
03/31/1995,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,387.0,,,,387.0,,,,
06/30/1995,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,390.0,,,,390.0,,,,
09/30/1995,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,387.0,,,,387.0,,,,
12/31/1995,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,,387.0,,,,387.0,,,,
03/29/1996,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,378.0,,,,378.0,,,,
06/30/1996,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,,,,369.0,,,,380.000999,,,,
09/30/1996,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,372.0,,,,382.757996,,,,
12/31/1996,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,375.0,,,,383.001,,,,
03/28/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.001,,,,377.001,,,,
06/27/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,384.0,,,,384.0,,,,
09/26/1997,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,386.0,,,,400.0,,,,
12/31/1997,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,386.0,,,,386.0,,,,
04/03/1998,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,387.0,,,,387.0,,,,
07/03/1998,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,,,394.0,,,,407.0,,,,
