Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2001,103.971001,62.022999,61.397999,0.625,8.153,,,0.0,0.0,0.0,0.0,0.0,3.595,,,,73.771004,3.092,7.134,-4.042,24.143,,2.965,2.478,2.478,0.0,,0.487,30.2,,16.549,16.549,,0.0,0.0,0.0,0.0,,,63.979,,,63.979,80.528,4.0,4.0,0.0,0.0,,0.0,,,,,,0.0,4.0,84.528,19.591,0.003,,,0.0,,-0.151,19.443,0.0,19.443,103.970999,
12/31/2001,131.366,90.036,88.867,1.169,7.032,,,0.0,0.0,0.0,0.0,0.0,4.979,,,,102.047,3.796,7.66,-3.864,22.339,,3.184,2.396,2.396,0.0,,0.788,29.319,,6.712,6.712,,0.0,0.0,0.0,0.0,,,60.565,,,60.565,67.277,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,67.277,0.0,60.867,,,0.0,,3.222,64.089,0.0,64.089,131.366,
03/31/2002,143.121994,92.444999,91.737999,0.707,9.672,,,0.0,0.0,0.0,0.0,0.0,8.074,,,,110.191002,4.724,,,19.705999,,8.501,2.804,2.804,0.0,,5.697001,32.931,,4.895,4.895,,0.0,0.0,0.0,0.0,,,64.927998,,,64.927998,69.822998,0.0,0.0,0.0,0.0,,5.214,,,,,,5.214,5.214,75.036998,0.0,60.886002,,,0.0,,7.199,68.085001,0.0,68.085001,143.122,
06/30/2002,157.735992,50.467999,44.335999,6.132,7.524,,,0.0,0.0,0.0,0.0,0.0,7.639,,,,65.630997,5.395,,,78.751999,,7.958,2.732,2.732,0.0,,5.226,92.104999,,5.141,5.141,,0.0,0.0,0.0,0.0,,,63.556998,,,63.556998,68.697998,0.0,0.0,0.0,0.0,,4.738,,,,,,4.738,4.738,73.435998,0.0,71.454002,,,0.0,,12.846,84.300002,0.0,84.300002,157.736,
09/30/2002,170.766006,65.900002,56.066002,9.834,8.25,,,0.0,0.0,0.0,0.0,0.0,5.791,,,,79.941002,5.6,,,76.973999,,8.251,3.217,3.217,0.0,,5.034,90.824999,,5.235,5.235,,0.0,0.0,0.0,0.0,,,66.090996,,,66.090996,71.325996,0.0,0.0,0.0,0.0,,4.546,,,,,,4.546,4.546,75.871996,0.0,72.069,,,0.0,,22.825001,94.894001,0.0,94.894001,170.765997,
12/31/2002,210.326996,69.226998,59.655998,9.571,16.773001,,,0.0,0.0,0.0,0.0,0.0,7.089,,,,93.088997,6.295,,,79.666,,31.277,10.695,5.673,5.022,,20.582,117.238,,10.748,10.748,,0.0,0.0,0.0,0.0,,,91.181001,,,91.181001,101.929001,0.0,0.0,0.0,0.0,,5.334,,,,,,5.334,5.334,107.263001,0.0,72.388,,,0.0,28.708,1.087,102.183,0.881,103.064,210.327001,
03/31/2003,224.746994,68.689001,59.970001,8.719,19.924999,,,0.0,0.0,0.0,0.0,0.0,7.188,,,,95.802002,6.998,,,87.186996,,34.759998,13.308,1.795,11.513,,21.451999,128.944995,,13.041,13.041,,0.0,0.0,0.0,0.0,,,95.137001,,,95.137001,108.178001,0.0,0.0,0.0,0.0,,6.319,,,,,,6.319,6.319,114.497001,0.0,72.651001,,,0.0,,37.009998,109.660999,0.589,110.249999,224.747,
06/30/2003,220.414001,52.827001,43.422001,9.405,16.739,,,0.0,0.0,0.0,0.0,0.0,8.262,,,,77.828003,8.202,,,96.488998,,37.895,13.039,1.775,11.264,,24.856,142.585998,,9.81,9.81,,0.0,0.0,0.0,0.0,,,87.131002,,,87.131002,96.941002,0.0,0.0,0.0,0.0,,5.641,,,,,,5.641,5.641,102.582002,0.0,73.042999,,,0.0,43.577999,1.204002,117.825,0.007,117.832,220.414002,
09/30/2003,328.451996,73.564999,62.905998,10.659,22.076,,,0.0,0.0,0.0,0.0,0.0,7.332,,,,102.973,20.952999,,,164.684998,,39.841,15.232,3.786,11.446,,24.608999,225.478996,,13.471,13.471,,0.869,0.869,0.0,0.0,,,92.369999,,,92.369999,106.709999,7.688,7.688,0.0,0.0,,5.504,,,,,,5.504,13.192,119.901999,0.0,154.794998,,,0.0,52.278,1.477001,208.549999,0.0,208.549999,328.451999,
12/31/2003,362.691986,79.506001,64.346001,15.16,20.308001,,,0.0,0.0,0.0,0.0,0.0,10.487,,,,110.301003,23.106001,,,184.811005,,44.473999,19.360001,13.066,6.294001,,25.113998,252.391005,,17.965,17.965,,0.579,0.579,0.0,0.0,,,110.241995,,,110.241995,128.785995,7.616,7.616,0.0,0.0,,6.175,,,,,,6.175,13.791,142.576995,0.0,157.399994,,,0.0,61.974998,0.740002,220.114994,0.0,220.114994,362.691989,
