Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,20.560999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.428,,,2.428,2.428,,153.983994,0.015625,0.015625,,153.983994,0.015625,0.015625,0.015625,
06/30/1990,25.728001,,,-5.435,,,20.293001,,,,,,,,,-19.169001,,,,0.0,,19.169001,,,,,1.124,0.0,,,,0.0,1.124,0.0,,1.124,1.124,,155.343994,0.00625,0.00625,,155.343994,0.00625,0.00625,0.00625,
09/30/1990,30.785999,,,-6.569,,,24.217,,,,,,,,,-25.625999,,,,0.0,,25.625999,,,,,-1.409,0.0,,,,0.0,-1.409,0.0,,-1.409,-1.409,,155.488007,-0.00875,-0.00875,,155.488007,-0.00875,-0.00875,-0.00875,
12/31/1990,35.731998,,,-7.135,,,28.596998,,,,,,,,,-24.962999,,,,0.0,,24.962999,,,,,3.634,0.0,,,,0.0,3.634,0.0,,3.634,3.634,,174.160004,0.02,0.02,,174.160004,0.02,0.02,0.02,
03/31/1991,41.515003,,,-9.377001,,,32.138002,,,,,,,,32.138002,65.123001,,,,0.0,,-65.123001,97.261003,,,,5.657,0.0,,,,0.0,5.657,0.0,0.0,5.657,5.657,,188.016,0.03,0.03,0.03,188.016,0.03,0.03,0.03,
06/30/1991,43.474998,,,-9.919,,,33.555999,,,,,,,,,-30.327,,,,0.0,,30.327,,,,,3.229,0.0,,,,0.0,3.229,0.0,,3.229,3.229,,189.792007,0.01625,0.01625,,189.792007,0.01625,0.01625,0.01625,
09/30/1991,54.683998,,,-15.631,,,39.052999,,,,,,,,,-46.771999,,,,0.0,,46.771999,,,,,2.281,0.0,,,,0.0,2.281,0.0,,2.281,2.281,,192.496002,0.01125,0.01125,,192.496002,0.01125,0.01125,0.01125,
12/31/1991,57.922001,,,-15.094,,,42.828001,,-33.210999,,,,,,9.617,0.124,,,,0.0,,-0.124,9.741,-3.162,,,6.579,0.0,,,6.579,0.0,6.579,0.0,,6.579,6.579,,198.776001,0.03375,0.03375,,198.776001,0.03375,0.03375,0.03375,
04/01/1992,63.157001,,,-13.561,,,49.596001,,-38.347,,,,,,11.249,-2.188,,,,0.0,,2.188,9.061,-3.518,,,5.543,0.0,,,5.543,0.0,5.543,0.0,0.0,5.543,5.543,,204.168,0.0275,0.0275,0.0275,204.168,0.0275,0.0275,0.0275,
07/04/1992,74.011002,,,-18.066999,,,55.944002,,,,,,,,,-51.049,,,,0.0,,51.049,,,,,4.895,0.0,,,,0.0,4.895,0.0,,4.895,4.895,,223.712006,0.02,0.02,,223.712006,0.02,0.02,0.02,
10/03/1992,57.952,,,-18.667999,,,39.284,,,,,,,,,-53.375999,,,,0.0,,53.375999,,,,,-14.092,0.0,,,,0.0,-14.092,0.0,,-14.092,-14.092,,204.391998,-0.0625,-0.0625,,204.391998,-0.0625,-0.0625,-0.0625,
01/01/1993,61.645,,,-23.698,,,37.947001,,-51.898998,,,,,,-13.952,-3.008,,,,0.0,,3.008,-16.96,5.479,,,-11.481,0.0,,,-11.480999,0.0,-11.481,0.0,,-11.481,-11.481,,227.671997,-0.05,-0.05,,227.671997,-0.05,-0.05,-0.05,
04/02/1993,63.932999,,,-17.667999,,,46.265,,-55.924999,,,,,,-9.66,-1.724,,,,0.0,,1.724,-11.384,3.459,,,-7.925,0.0,,,-7.925,0.0,-7.925,0.0,0.0,-7.925,-7.925,,190.544008,-0.04125,-0.04125,-0.04125,190.544008,-0.04125,-0.04125,-0.04125,
07/02/1993,88.82,,,-23.436001,,,65.383999,,-79.242996,,,,,,-13.859,-0.471,,0.0,,0.0,,0.471,-14.33,4.215,,,-10.115,0.0,,,-10.115,0.0,-10.115,0.0,,-10.115,-10.115,,264.664001,-0.03875,-0.03875,,264.664001,-0.03875,-0.03875,-0.03875,
10/01/1993,79.688004,,,-20.037001,,,59.651003,,-74.491997,,,,,,-14.841,-0.264,,0.63,,0.0,,-0.366,-15.105,0.429,,,-14.676,0.0,,,-14.676,0.0,-14.676,0.0,,-14.676,-14.676,,267.144012,-0.055,-0.055,,267.144012,-0.055,-0.055,-0.055,
12/30/1993,82.661003,,,-18.612,,,64.049004,,-79.039001,,,,,,-14.99,-0.425,,0.566,,0.0,,-0.141,-15.415,4.342,,,-11.073,0.0,,,-11.073,0.0,-11.073,0.0,,-11.073,-11.073,,271.679993,-0.04125,-0.04125,,271.679993,-0.04125,-0.04125,-0.04125,
03/31/1994,77.129997,,,-18.302999,,,58.826998,,-21.562,,,,,,37.264999,-56.391999,,1.321,,0.0,,55.070999,-19.127,-1.976,,,-21.103001,0.0,,,-21.103,0.0,-21.103001,0.0,0.0,-21.103001,-21.103001,,254.136,-0.07625,-0.07625,-0.07625,254.136,-0.07625,-0.07625,-0.07625,
06/30/1994,83.112999,,,-16.653,,,66.459999,,-55.310001,,,,,,11.15,-9.675,,0.0,,0.0,,9.675,1.474999,-0.428,,,1.047,0.0,,,1.046999,0.0,1.047,0.0,,1.047,1.047,,287.528015,0.00375,0.00375,,287.528015,0.00375,0.00375,0.00375,
09/30/1994,79.078003,,,-14.559,,,64.519003,,-53.573002,,,,,,10.946,-0.019,,0.645,,0.0,,-0.626,10.927,-2.951,,,7.976,0.0,,,7.976,0.0,7.976,0.0,,7.976,7.976,,291.64801,0.0275,0.0275,,291.64801,0.0275,0.0275,0.0275,
12/30/1994,84.127998,,,-14.935,,,69.192998,,-57.428001,,,,,,11.765,0.313,,0.639,,0.0,,-0.952,12.078,-3.02,,,9.058,0.0,,,9.058,0.0,9.058,0.0,,9.058,9.058,,294.920013,0.03125,0.03125,,294.920013,0.03125,0.03125,0.03125,
03/31/1995,108.304001,,,-21.986,,,86.318001,,-80.620003,,,,,,5.698,0.287,,0.577,,0.0,,-0.864,5.985,-0.4,,,5.585,0.0,,,5.585,0.0,5.585,0.0,0.0,5.585,5.585,,430.896,0.0125,0.0125,0.0125,452.272,0.0125,0.0125,0.0125,
06/30/1995,109.864998,,,-22.218,,,87.646997,,-81.361,,,,,,6.286,0.43,,0.439,,0.0,,-0.869,6.716,0.15,,,6.866,0.0,,,6.866,0.0,6.866,0.0,,6.866,6.866,,435.895996,0.01625,0.01625,,435.895996,0.01625,0.01625,0.01625,
09/30/1995,108.510002,,,-35.09,,,73.420002,,-96.054001,,,,,,-22.634001,0.389,,0.344,,0.0,,-0.733,-22.245001,4.459,,,-17.785999,0.0,,,-17.786001,0.0,-17.785999,0.0,,-17.785999,-17.785999,,419.984009,-0.0425,-0.0425,,419.984009,-0.0425,-0.0425,-0.0425,
12/31/1995,111.097,,,-31.07,,,80.027,,-118.456001,,,,,,-38.429001,1.623,,0.338,,0.0,,-1.961,-36.806001,0.0,,,-36.806,0.0,,,-36.806001,0.0,-36.806,0.0,,-36.806,-36.806,,424.855988,-0.08625,-0.08625,-0.08625,424.855988,-0.08625,-0.08625,-0.08625,
03/31/1996,141.378998,,,-46.978001,,,94.400997,,-104.660995,,,,,,-10.259999,-28.027999,,0.374,,0.0,,27.653999,-38.287999,10.738,,,-27.550001,0.0,,,-27.549999,0.0,-27.550001,0.0,,-27.550001,-27.550001,,433.415985,0.01875,0.01875,,433.415985,0.01875,0.01875,0.01875,
06/30/1996,109.218002,,,-21.483999,,,87.734003,,-84.052002,,,,,,3.682,-0.31,,0.331,,0.0,,-0.021,3.372,-0.337,,,3.035,0.0,,,3.035,0.0,3.035,0.0,,3.035,3.035,,441.056,0.0075,0.0075,0.01,441.056,0.0075,0.0075,0.01,
09/27/1996,109.178001,,,-20.73,,,88.448002,,-81.627998,,,,,,6.82,-5.84,,0.337,,0.0,,5.503,0.98,-0.098,,,0.882,0.0,,,0.882,0.0,0.882,0.0,,0.882,0.882,,439.608002,0.0025,0.0025,0.02,439.608002,0.0025,0.0025,0.02,
12/27/1996,124.081001,,,-21.976,,,102.105001,,-87.355003,,,,,,14.75,1.547,,0.352,,0.0,,-1.899,16.297,-2.445,,,13.852,0.0,,,13.852,0.0,13.852,0.0,,13.852,13.852,,438.511993,0.03125,0.03125,0.03125,453.272003,0.03125,0.03125,0.03125,
03/31/1997,129.705994,,,-29.354,,,100.351994,,-90.730003,,,,,,9.622,0.107,,0.382,,0.0,,-0.489,9.729,-1.46,,,8.269,0.0,,,8.269,0.0,8.269,0.0,0.0,8.269,8.269,,452.888,0.01875,0.01875,0.01875,452.888,0.01875,0.01875,0.01875,
06/30/1997,135.016006,,,-20.92,,,114.096006,,-92.269997,,,,,,21.826,2.246,,0.257,,0.0,,-2.503,24.072,-5.537,,,18.535,0.0,,,18.535,0.0,18.535,0.0,,18.535,18.535,,443.664001,0.04125,0.04125,0.04125,467.0,0.04,0.04,0.04,
09/30/1997,139.013,,,-22.389,,,116.624001,,-93.893997,,,,,,22.73,3.997,,0.322,,0.0,,-4.319,26.726999,-6.147,,,20.58,0.0,,,20.579999,0.0,20.58,0.0,,20.58,20.58,,447.503998,0.04625,0.04625,0.04625,480.063995,0.04375,0.04375,0.04375,
12/31/1997,148.24,,,-22.591,,,125.649,,-99.573,,,,,,26.076,3.039,,0.318,-3.29,,,-0.067,29.115,-7.279,,,21.836,,,,21.836,,21.836,,,21.836,21.836,,450.216,0.04875,0.04875,0.04875,480.8,0.04625,0.04625,0.04625,
03/31/1998,156.091995,,,-21.531,,,134.560995,,-104.848,,,,,,29.712999,2.47,,0.321,,0.0,,-2.791,32.182999,-8.046,,,24.136999,0.0,,,24.136999,0.0,24.136999,0.0,,24.136999,24.136999,,453.712008,0.05375,0.05375,0.05375,487.976016,0.05,0.05,0.05,
