Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/28/1995,2280.0,532.0,2617.0,2617.0,0.0,-2085.0,1748.0,342.0,,,,1376.0,30.0,-118.0,2162.0,-1729.0,67.0,1662.0,433,0.0,,0.0,433.0,-164.0,269.0,0.0,,,269.0,0.0,269.0,-16.0,,253.0,253.0,,1202.859985,0.21,0.21,0.21,1202.859985,0.21,0.21,0.21,
05/31/1995,2574.0,515.0,2555.0,2555.0,0.0,-2040.0,2059.0,553.0,,,,1479.0,27.0,-136.0,2438.0,-1802.0,76.0,1726.0,636,0.0,,0.0,636.0,-233.0,403.0,0.0,,,403.0,0.0,403.0,-16.0,,387.0,387.0,,1221.491943,0.315,0.315,0.315,1221.491943,0.315,0.315,0.315,
08/31/1995,2795.0,617.0,2743.0,2743.0,0.0,-2126.0,2178.0,543.0,,,,1618.0,17.0,-190.0,2605.0,-1951.0,75.0,1876.0,654,0.0,,0.0,654.0,-226.0,428.0,0.0,,,428.0,0.0,428.0,-17.0,,411.0,411.0,,1224.911987,0.335,0.335,0.335,1224.911987,0.335,0.335,0.335,
11/30/1995,2893.0,676.0,2615.0,2615.0,0.0,-1939.0,2217.0,368.0,,,,1825.0,24.0,-287.0,2606.0,-2037.0,71.0,1966.0,569,0.0,,0.0,569.0,-204.0,365.0,0.0,,,365.0,0.0,365.0,-16.0,,349.0,349.0,,1226.264038,0.285,0.285,0.285,1226.264038,0.285,0.285,0.285,
02/29/1996,3223.0,544.0,2794.0,2794.0,0.0,-2250.0,2679.0,816.0,,,,1833.0,30.0,-224.0,2999.0,-2159.0,77.0,2082.0,840,0.0,,0.0,840.0,-322.0,518.0,0.0,,,518.0,0.0,518.0,-16.0,,502.0,502.0,,1213.171996,0.415,0.415,0.415,1241.615968,0.405,0.405,0.405,
05/31/1996,3344.0,564.0,2809.0,2809.0,0.0,-2245.0,2780.0,717.0,,,,2026.0,37.0,-270.0,3074.0,-2230.0,79.0,2151.0,844,0.0,,0.0,844.0,-304.0,540.0,0.0,,,540.0,0.0,540.0,-17.0,,523.0,523.0,,1200.439941,0.435,0.435,0.435,1225.235962,0.43,0.43,0.43,
08/31/1996,3120.0,619.0,3038.0,3038.0,0.0,-2419.0,2501.0,563.0,,,,1915.0,23.0,-302.0,2818.0,-2110.0,76.0,2034.0,708,0.0,,0.0,708.0,-250.0,458.0,0.0,,,458.0,0.0,458.0,-15.0,,443.0,443.0,,1183.764038,0.375,0.375,0.375,1209.76001,0.365,0.365,0.365,
11/30/1996,3551.0,627.0,2647.0,2647.0,0.0,-2020.0,2924.0,649.0,,,,2249.0,26.0,-425.0,3126.0,-2401.0,85.0,2316.0,725,0.0,,0.0,725.0,-261.0,464.0,0.0,,,464.0,0.0,464.0,-18.0,,446.0,446.0,,1174.23596,0.38,0.38,0.38,1202.878052,0.37,0.37,0.37,
02/28/1997,3851.0,660.0,3369.0,3369.0,0.0,-2709.0,3191.0,925.0,,,,2235.0,31.0,-377.0,3474.0,-2546.0,95.0,2451.0,928,0.0,,0.0,928.0,-357.0,571.0,0.0,,,571.0,0.0,571.0,-19.0,,552.0,552.0,,1146.822021,0.48,0.48,0.48,1211.381958,0.455,0.455,0.455,
05/31/1997,3898.0,719.0,3197.0,3197.0,0.0,-2478.0,3179.0,858.0,,,,2285.0,36.0,-378.0,3520.0,-2563.0,113.0,2450.0,957,-74.0,,74.0,883.0,-356.0,527.0,0.0,,,527.0,0.0,527.0,-18.0,,509.0,509.0,,1155.969971,0.44,0.44,0.495,1220.862061,0.42,0.42,0.475,
08/31/1997,4492.0,805.0,3570.0,3570.0,0.0,-2765.0,3687.0,984.0,,,,2662.0,41.0,-385.0,4107.0,-3001.0,130.0,2871.0,1106,0.0,,0.0,1106.0,-428.0,678.0,0.0,,,678.0,0.0,678.0,-15.0,,663.0,663.0,,1156.166016,0.575,0.575,0.575,1220.037964,0.545,0.545,0.545,
11/30/1997,4085.0,593.0,3447.0,3447.0,0.0,-2854.0,3492.0,887.0,,,,2569.0,36.0,-353.0,3732.0,-2375.0,122.0,2253.0,1357,0.0,,0.0,1357.0,-547.0,810.0,0.0,,,810.0,0.0,810.0,-14.0,,796.0,796.0,,1161.972046,0.685,0.685,0.685,1224.18396,0.65,0.65,0.65,
02/28/1998,4440.0,788.0,3933.0,3933.0,0.0,-3145.0,3652.0,975.0,,,,2622.0,55.0,-405.0,4035.0,-2903.0,121.0,2782.0,1132,0.0,,0.0,1132.0,-441.0,691.0,117.0,,,574.0,0.0,574.0,-15.0,,559.0,559.0,,1173.502686,0.475,0.575,0.575,1232.755127,0.455,0.55,0.55,
05/31/1998,4874.0,659.0,4213.0,4213.0,0.0,-3554.0,4215.0,1192.0,,,,2976.0,47.0,-275.0,4599.0,-3202.0,135.0,3067.0,1397,0.0,,0.0,1397.0,-545.0,852.0,0.0,,,852.0,0.0,852.0,-14.0,,838.0,838.0,,1162.653198,0.72,0.72,0.72,1225.250732,0.685,0.685,0.685,
08/31/1998,4121.0,906.0,4283.0,4283.0,0.0,-3377.0,3215.0,325.0,,,,2838.0,52.0,-280.0,3841.0,-2931.0,160.0,2771.0,910,0.0,,0.0,910.0,-284.0,626.0,0.0,,,626.0,0.0,626.0,-14.0,,612.0,612.0,,1146.341064,0.535,0.535,0.535,1209.559204,0.505,0.505,0.505,
11/30/1998,4182.0,569.0,4007.0,4007.0,0.0,-3438.0,3613.0,888.0,,,,2681.0,44.0,-213.0,3969.0,-2708.0,136.0,2572.0,1261,685.0,,-685.0,1946.0,-722.0,1224.0,0.0,,,1224.0,0.0,1224.0,-12.0,,1212.0,1212.0,,1120.218018,1.08,1.08,0.79,1171.06604,1.0355,1.0355,0.745,
02/28/1999,5516.0,603.0,3745.0,3745.0,0.0,-3142.0,4913.0,1924.0,,,,2933.0,56.0,-177.0,5339.0,-3667.0,114.0,3553.0,1672,0.0,,0.0,1672.0,-635.0,1037.0,0.0,,,1037.0,0.0,1037.0,-11.0,,1026.0,1026.0,,1107.872,0.93,0.93,0.93,1169.186,0.88,0.88,0.88,
05/31/1999,5764.0,411.0,3426.0,3426.0,0.0,-3015.0,5353.0,2040.0,,,,3246.0,67.0,-119.0,5645.0,-3787.0,127.0,3660.0,1858,0.0,,0.0,1858.0,-707.0,1151.0,0.0,,,1151.0,0.0,1151.0,-10.0,0.0,1141.0,1141.0,,2216.586328,0.515,0.515,0.515,2346.62274,0.485,0.485,0.485,
08/31/1999,5442.0,715.0,3899.0,3899.0,0.0,-3184.0,4727.0,1221.0,,,,3450.0,56.0,-113.0,5329.0,-3766.0,128.0,3638.0,1563,0.0,,0.0,1563.0,-593.0,970.0,0.0,,,970.0,0.0,970.0,-11.0,,959.0,959.0,,1100.114,0.87,0.87,0.87,1161.402,0.83,0.83,0.83,
