Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,889.429993,859.312012,,,,30.118,0.0,0.0,-236.820999,217.067001,177.774002,39.292999,19.754,,652.608994,-380.854004,57.966,102.672997,45.464001,174.751007,271.755005,-113.330997,,,1.223,,157.563995,152.309006,-1.391,6.646,-43.009998,158.424008,-53.624001,104.800003,0.0,,,104.800007,0.0,104.800003,-16.124001,,88.676003,88.676003,,202.595001,0.44,0.44,0.44,202.595001,0.44,0.44,0.44,
06/30/1990,939.281006,921.572021,,,,17.709,0.0,0.0,-237.712006,225.660999,200.723999,24.937,12.051,,701.569,-392.880005,60.134998,105.383003,46.719002,180.643005,308.688995,-119.179006,,,0.963,,157.658005,152.134003,-1.134,6.658,-37.515999,189.509989,-64.325996,125.183998,0.0,,,125.183993,0.0,125.183998,-15.813,,109.370998,109.370998,,200.214005,0.55,0.55,0.55,200.214005,0.55,0.55,0.55,
09/30/1990,1227.248047,1212.817017,,,,14.431,0.0,0.0,-308.169006,298.930996,252.731995,46.199001,9.238,,919.079041,-445.589996,67.252998,108.369003,45.341,224.626999,473.489014,-103.557997,,,1.273,,158.003998,154.436996,-1.451,5.018,-53.173,369.931016,-144.764008,225.167007,0.0,,,225.167009,0.0,225.167007,-15.574,,209.593007,209.593007,,194.972,1.07,1.07,1.07,194.972,1.07,1.07,1.07,
12/31/1990,926.103027,900.41803,,,,25.684999,0.0,0.0,-242.800003,222.124992,176.983994,45.140999,20.674999,,683.303024,-424.731995,92.377998,76.470001,41.285999,214.598007,258.571014,-120.058004,,,1.74,,156.563004,153.184006,-1.45,4.829,-34.764999,138.51301,-52.560001,85.953003,0.0,,,85.953009,0.0,85.953003,-15.275,,70.678003,70.678003,,185.727005,0.381,0.38,0.38,185.727005,0.381,0.38,0.38,
03/31/1991,892.986023,865.049988,,,,27.936001,0.0,0.0,-223.923996,206.449001,158.397003,48.051998,17.475,,669.062027,-408.332001,64.595001,104.832001,44.991001,193.914001,260.730011,-117.292992,,,1.861,,156.136993,151.787003,-1.871,6.221,-36.983002,143.437019,-43.153999,100.282997,0.0,,,100.28302,0.0,100.282997,-14.827,,85.455997,85.455997,,184.613998,0.46,0.46,0.46,184.613998,0.46,0.46,0.46,
06/30/1991,981.356018,966.570007,,,,14.786,0.0,0.0,-246.013,236.680004,173.940002,62.740002,9.333,,735.343018,-460.631989,68.825996,94.555,48.77,248.481003,274.710999,-131.363001,,,2.426,,157.498001,151.248001,-2.325,8.575,-23.709,143.347997,-46.509998,96.837997,0.0,,,96.837999,0.0,96.837997,-14.909,,81.928997,81.928997,,183.979996,0.45,0.45,0.45,183.979996,0.45,0.45,0.45,
09/30/1991,1255.114014,1242.000977,,,,13.113,0.0,0.0,-309.803986,301.188,247.057999,54.130001,8.616,,945.310028,-480.537994,61.296001,102.797997,51.512001,264.932007,464.772003,-119.549005,,,1.977,,152.962006,148.158005,-1.832,6.636,-31.436001,345.222998,-125.367996,219.854996,0.0,,,219.855002,0.0,219.854996,-16.5,,203.354996,203.354996,,181.977005,1.12,1.12,1.12,181.977005,1.12,1.12,1.12,
12/31/1991,921.973022,900.856995,,,,21.115999,0.0,0.0,-211.362,196.800003,156.591003,40.209,14.562,,710.611023,-400.033997,88.103996,96.679001,38.973999,176.276993,310.576996,-120.826994,,,1.657,,153.052994,148.604004,-1.364,5.813,-30.569,189.750002,-62.118999,127.630997,0.0,,,127.631003,0.0,127.630997,-16.339001,,111.291996,111.291996,,180.089005,0.61,0.61,0.61,180.089005,0.61,0.61,0.61,
03/31/1992,916.46698,893.598022,,,,22.868999,0.0,0.0,-226.604004,214.290997,164.380997,49.91,12.313,,689.862976,-439.170013,69.134003,105.282997,50.57,214.182999,250.692993,-77.818,,,2.419,,140.972,135.972,-1.695,6.695,-60.735001,172.874994,-61.648998,111.225998,0.0,,,111.225995,0.0,111.225998,-15.949,,95.276998,95.276998,,177.981995,0.54,0.54,0.54,177.981995,0.54,0.54,0.54,
06/30/1992,958.120972,944.083984,,,,14.037,0.0,0.0,-231.179001,223.014004,164.701004,58.313,8.165,,726.941971,-462.039001,83.223999,105.403999,47.028,226.382996,264.903015,-114.732995,,,1.884,,139.257996,134.003006,-1.293,6.548,-22.641001,150.17002,-51.911999,98.258003,0.0,,,98.258021,0.0,98.258003,-16.156,,82.102003,82.102003,,177.044006,0.46,0.46,0.46,177.044006,0.46,0.46,0.46,
