Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,72.455002,3.962,3.962,0.0,14.446,,,,1.471,,,,,6.169,,,,,26.048,40.887001,,,3.324,,,2.196,,,,,2.196,46.407001,,12.333,12.333,,,,3.92,,,,,,0.0,,,0.0,16.253,8.597,,,,,1.135,,,,1.135,9.732,25.985,0.0,39.188,,,0.0,,7.282,46.47,0.0,46.47,72.455,
03/31/1990,189.565002,21.990999,21.990999,0.0,30.886,,,,5.776,,,,,15.996,,,,,74.649002,83.135002,,,9.214,,,22.566999,,,,,22.566999,114.916001,,24.188999,24.188999,,,,2.451,,,,,,11.070999,,,11.070999,37.710999,37.823002,,,,,19.091,,,,19.091,56.914001,94.625,0.0,85.084999,,,0.0,,9.855,94.939999,0.0,94.939999,189.564999,
06/30/1990,186.320999,26.962999,26.962999,0.0,30.823999,,,,5.848,,,,,8.94,,,,,72.574997,85.954002,,,9.307,,,18.485001,,,,,18.485001,113.746003,,23.903,23.903,,,,1.829,,,,,,11.148001,,,11.148001,36.880001,37.460999,,,,,12.974,,,,12.974,50.434999,87.315,0.0,85.175003,,,0.0,,13.831,99.006003,0.0,99.006003,186.321003,
09/30/1990,209.098007,26.2,20.841,5.359,39.127998,,,,5.874,,,,,11.842,,,,,83.043999,99.277,206.337997,-107.060997,9.741,,,17.035999,,,,,17.035999,126.053999,,8.506,8.506,,,,5.908,,,,,,37.522001,,,37.522001,51.936001,37.755001,,,,,16.172001,,,,16.172001,53.927002,105.863003,0.0,88.634003,,,0.0,,14.601,103.235003,0.0,103.235003,209.098006,
12/31/1990,222.707993,21.998001,17.537001,4.461,39.638,,,,6.773,,,,,11.179,,,,,79.587997,117.128998,,,10.085,,,15.906,,,,,15.906,143.119998,,37.910999,37.910999,,,,2.861,,,,,,11.395,,,11.395,52.167,40.576,,,,,12.346,,,,12.346,52.922,105.089,0.0,98.931999,,,0.0,,18.687,117.618999,0.0,117.618999,222.707999,
03/31/1991,237.108994,19.462001,16.099001,3.363,51.227001,,,,7.908,,,,,8.227,,,,,86.823997,125.208,,,10.711,,,14.366,,,,,14.366,150.285001,,31.83,31.83,,,,5.711,,,,,,19.146,,,19.146,56.687,45.506001,,,,,10.586,,,,10.586,56.092001,112.779001,0.0,100.544998,,,0.0,,23.785,124.329998,0.0,124.329998,237.108999,
06/30/1991,246.054993,10.65,10.65,0.0,55.581001,,,,8.831,,,,,15.335,,,,,90.397003,145.108994,,,0.0,,,10.549,,,,,10.549,155.657993,,30.681999,30.681999,,,,5.056,,,,,,18.712001,,,18.712001,54.450001,43.966,,,,,16.212,,,,16.212,60.177999,114.628,0.0,102.750999,,,0.0,,28.676001,131.427,0.0,131.427,246.055,
09/30/1991,262.523987,15.048,15.048,0.0,45.480999,,,,11.763,,,,,10.812,,,,,83.103996,168.363007,282.972992,-114.610001,1.287,,,9.77,,,,,9.77,179.420007,,17.537001,17.537001,,,,8.746,,,,,,41.493999,,,41.493999,67.777,37.345001,,,,,16.884001,,,,16.884001,54.229002,122.006002,0.0,105.778999,,,0.0,,34.738998,140.517997,0.0,140.517997,262.523999,
12/31/1991,269.739014,11.302,11.302,0.0,52.387001,,,,14.516,,,,,9.188,,,,,87.392998,173.485001,,,1.276,,,7.585,,,,,7.585,182.346001,,13.713,13.713,,,,11.675,,,,,,38.655998,,,38.655998,64.043999,40.483002,,,,,15.993,,,,15.993,56.476002,120.52,0.0,107.723999,,,0.0,,41.494999,149.218998,0.0,149.218998,269.738998,
03/31/1992,285.194,8.167,8.167,0.0,57.083,,,,18.114,,,,,8.728,,,,,92.092003,185.125,,,1.265,,,6.712,,,,,6.712,193.102,,13.386,13.386,,,,22.537001,,,,,,37.350002,,,37.350002,73.273003,37.525002,,,,,13.439,,,,13.439,50.964002,124.237004,0.0,113.949997,,,0.0,,47.007,160.956997,0.0,160.956997,285.194001,
