Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/30/2015,747.8,747.8,-606.5,606.5,141.3,0.0,-56.7,56.7,0.0,84.6,-1.3,1.3,1.4,-0.1,,0.0,83.3,-32.3,12.5,63.5,0.0,0.0,0.0,63.5,-1.5,62.0,0.0,0.0,62.0,62.065,0.065,,,,,,,,,
11/29/2015,740.3,740.3,-578.5,578.5,161.8,0.0,-52.3,52.3,0.0,109.5,-1.5,1.5,,,,0.0,108.0,-38.7,7.7,77.0,0.0,0.0,0.0,77.0,-3.7,73.3,0.0,0.0,73.3,73.3,0.0,146.0,0.5,0.5,0.5,146.0,0.5,0.5,0.5,
02/28/2016,728.7,728.7,-546.8,546.8,181.9,0.0,-54.6,54.6,0.0,127.3,-1.5,1.5,,,,0.0,125.8,-53.2,36.1,108.7,0.0,0.0,0.0,108.7,-1.3,107.4,0.0,-3.5,103.9,104.3,0.4,146.0,0.71,0.71,0.714384,146.0,0.71,0.71,0.71274,
05/29/2016,777.0,777.0,-594.6,594.6,182.4,0.0,-130.5,130.5,0.0,51.9,-1.6,1.6,,,,0.0,50.3,-20.3,15.4,45.4,0.0,0.0,0.0,45.4,-2.8,42.6,0.0,0.0,42.6,125.815,83.215,146.0,0.29,0.29,0.861747,146.0,0.29,0.29,0.859966,
08/28/2016,776.3,776.3,-595.7,595.7,180.6,0.0,-55.6,55.6,0.0,125.0,-1.5,1.5,1.6,-0.1,,0.0,123.5,-51.0,10.6,83.1,0.0,0.0,0.0,83.1,-3.5,79.6,0.0,0.0,79.6,85.905,6.305,144.8,0.549724,0.549724,0.593267,144.9,0.549344,0.549344,0.592857,
11/27/2016,790.7,790.7,-591.8,591.8,198.9,0.0,-73.4,73.4,0.0,125.5,-6.8,6.8,,,,0.0,118.7,-33.9,6.2,91.0,0.0,0.0,0.0,91.0,-3.8,87.2,0.0,0.0,87.2,92.9,5.7,146.0,0.59,0.59,0.636301,146.3,0.59,0.59,0.628961,
02/26/2017,768.5,768.5,-561.5,561.5,207.0,0.0,-61.8,61.8,0.0,145.2,-26.3,26.3,,,,0.0,118.9,-44.0,12.7,87.6,0.0,0.0,0.0,87.6,-3.4,84.2,0.0,-0.7,83.5,86.7,3.2,146.1,0.57,0.57,0.593429,146.5,0.57,0.57,0.591843,
05/28/2017,832.5,832.5,-634.8,634.8,197.7,0.0,-75.2,75.2,0.0,122.5,-26.6,26.6,,,,0.0,95.9,-41.2,23.8,78.5,0.0,0.0,0.0,78.5,-2.6,75.9,0.0,0.0,75.9,75.7,-0.2,146.7,0.52,0.52,0.516019,146.7,0.51,0.51,0.508637,
08/27/2017,817.5,817.5,-620.8,620.8,196.7,0.0,-59.1,59.1,0.0,137.6,-25.2,25.2,,,,0.0,112.4,-44.1,20.0,88.3,0.0,0.0,0.0,88.3,-4.9,83.4,0.0,0.0,83.4,84.83,1.43,146.2,0.56,0.56,0.580233,146.8,0.56,0.56,0.569741,
11/26/2017,824.6,824.6,-616.4,616.4,208.2,0.0,-68.4,68.4,0.0,139.8,-27.4,27.4,,,,0.0,112.4,-41.5,12.1,83.0,0.0,0.0,0.0,83.0,-6.4,76.6,0.0,0.0,76.6,79.1,2.5,146.3,0.52,0.52,0.54067,146.9,0.52,0.52,0.537018,
