Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1240.599976,,-343.799988,,896.799988,,-466.700012,,,,,430.100006,53.299999,,,,,,-53.299999,483.400005,-142.600006,340.799988,0.0,,,340.799999,0.0,340.799988,0.0,,340.799988,340.799988,,1172.800049,0.29,0.29,,1172.800049,0.29,0.29,0.29,
06/30/1990,1225.400024,,-366.700012,,858.700012,,-501.100006,,,,,357.600006,31.6,,,,,,-31.6,389.200006,-114.800003,274.399994,0.0,,,274.400003,0.0,274.399994,0.0,,274.399994,274.399994,,1184.0,0.2325,0.2325,,1184.0,0.2325,0.2325,0.2325,
09/30/1990,1281.800049,,-378.399994,,903.400055,,-537.0,,,,,366.399994,-2.1,,,,,,2.1,364.299994,-107.5,256.799988,0.0,,,256.799994,0.0,256.799988,0.0,,256.799988,256.799988,,1149.599976,0.225,0.225,,1149.599976,0.225,0.225,0.225,
12/31/1990,1443.800049,,-434.399994,,1009.400055,,-624.099976,,,,,385.299988,-23.200001,,,,,,23.200001,362.099987,-106.800003,255.300003,0.0,,,255.299984,0.0,255.300003,0.0,,255.300003,255.300003,,1067.800048,0.2275,0.2275,0.2275,1067.800048,0.2275,0.2275,0.2275,
03/31/1991,1435.5,,-389.5,,1046.0,,-550.200012,,,,,495.799988,59.400003,,16.9,,,,-76.300003,555.199991,-166.600006,388.600006,0.0,,,388.599985,0.0,388.600006,0.0,,388.600006,388.600006,,1157.199951,0.3375,0.3375,,1157.199951,0.3375,0.3375,0.3375,
06/30/1991,1376.300049,,-388.200012,,988.100037,,-557.799988,,,,,430.299988,23.2,,7.3,,,,-30.5,453.499988,-136.0,317.5,0.0,,,317.499988,0.0,317.5,0.0,,317.5,317.5,,1182.800049,0.27,0.27,,1182.800049,0.27,0.27,0.27,
09/30/1991,1341.300049,,-392.299988,,949.000061,,-540.0,,,,,409.0,16.0,,9.0,,,,-25.0,425.0,-127.5,297.5,0.0,,,297.5,0.0,297.5,0.0,,297.5,297.5,,1182.400024,0.2525,0.2525,,1182.400024,0.2525,0.2525,0.2525,
12/31/1991,1572.599976,,-484.200012,,1088.399964,,-655.200012,,,,,433.200012,12.3,,6.6,,,,-18.9,445.500012,-134.399994,311.100006,0.0,,,311.100018,0.0,311.100006,0.0,,311.100006,311.100006,,1169.800048,0.265,0.265,0.265,1169.800048,0.265,0.265,0.265,
03/31/1992,1557.099976,,-435.100006,,1121.999969,,-541.900024,,,,,580.099976,56.800003,,9.0,,,,-65.800003,636.899979,-192.199997,444.700012,118.900002,,,325.79998,0.0,325.799988,0.0,,325.799988,325.799988,,1179.199951,0.275,0.3775,,1179.199951,0.275,0.3775,0.3775,
06/30/1992,1478.300049,,-445.600006,,1032.700043,,-595.200012,,,,,437.5,49.000004,,18.299999,,,,-67.300003,486.500004,-146.300003,340.200012,0.0,,,340.200001,0.0,340.200012,0.0,,340.200012,340.200012,,1177.776001,0.29,0.29,,1177.776001,0.29,0.29,0.29,
09/30/1992,1476.5,,-532.5,,944.0,,-731.799988,,,,,212.199997,-597.800024,,21.4,,,,576.400024,-385.600027,117.099998,-268.5,0.0,,,-268.500029,0.0,-268.5,0.0,,-268.5,-268.5,,1177.83606,-0.2275,-0.2275,,1177.83606,-0.2275,-0.2275,-0.2275,
12/31/1992,1655.400024,,-483.799988,,1171.600036,,-680.200012,,,,,491.399994,-46.9,,23.0,,,,23.9,444.499994,-133.300003,311.200012,0.0,,,311.199991,0.0,311.200012,0.0,,311.200012,311.200012,,1170.63196,0.265,0.265,0.265,1170.63196,0.265,0.265,0.265,
03/31/1993,1560.0,,-446.600006,,1113.399994,,-605.099976,,,,,508.299988,21.5,,,,0.0,,-21.5,529.799988,-156.300003,373.5,10.9,,,362.599985,,362.600006,0.0,,362.600006,362.600006,,1174.504028,0.3075,0.3175,,1174.504028,0.3075,0.3175,0.3175,
06/30/1993,1561.0,,-469.5,,1091.5,,-634.799988,,,,,456.700012,35.200001,,,,0.0,,-35.200001,491.900013,-145.100006,346.799988,0.0,,,346.800007,0.0,346.799988,0.0,,346.799988,346.799988,,1174.156006,0.295,0.295,,1174.156006,0.295,0.295,0.295,
09/30/1993,1530.599976,,-467.399994,,1063.199982,,-650.099976,,,,,413.100006,4.5,,,,0.0,,-4.5,417.600006,-123.199997,294.399994,0.0,,,294.400009,0.0,294.399994,0.0,,294.399994,294.399994,,1174.0,0.25,0.25,,1174.0,0.25,0.25,0.25,
12/31/1993,1457.099976,,-436.399994,,1020.699982,,-619.700012,,,,,401.0,-1048.5,,,,0.0,,1048.5,-647.5,184.5,-463.0,60.599998,,,-523.599998,0.0,-523.599976,0.0,,-523.599976,-523.599976,,1181.599976,-0.4425,-0.3925,-0.3925,1181.599976,-0.4425,-0.3925,-0.3925,
03/31/1994,1309.099976,,-382.100006,,926.999969,,-457.299988,,,,,469.700012,-36.900002,,16.700001,,0.0,,20.200001,432.800011,-132.097656,300.700012,-30.0,,,330.702354,0.0,330.700012,0.0,,330.700012,330.700012,,1157.651978,0.285,0.26,0.26,1157.651978,0.285,0.26,0.26,
06/30/1994,1346.800049,,-385.799988,,961.000061,,-532.799988,,,,,428.200012,32.299999,,18.700001,,0.0,,-51.0,460.500011,-141.300003,319.200012,-27.4,,,346.600008,0.0,346.600006,0.0,,346.600006,346.600006,,1157.036011,0.3,0.275,0.275,1157.036011,0.3,0.275,0.275,
09/30/1994,1507.300049,,-451.399994,,1055.900055,,-638.299988,,,,,417.600006,9.2,,15.3,,0.0,,-24.5,426.800006,-131.199997,295.600006,-23.1,,,318.700009,0.0,318.700012,0.0,,318.700012,318.700012,,1164.624023,0.275,0.255,0.255,1164.624023,0.275,0.255,0.255,
12/31/1994,1548.400024,,-460.399994,,1088.00003,,-667.0,,,,,421.0,-42.499998,,53.099998,,,,-10.6,378.500002,-108.900002,269.600006,-20.5,,,290.1,0.0,290.100006,0.0,,290.100006,290.100006,,1156.056032,0.25,0.2325,0.2325,1156.056032,0.25,0.2325,0.2325,
03/31/1995,1717.300049,,-512.5,,1204.800049,,-643.900024,,,,,560.900024,-32.999996,,66.199997,,0.0,,-33.200001,527.900028,-153.100006,374.799988,-18.4,,,393.200022,0.0,393.200012,0.0,,393.200012,393.200012,,1156.248047,0.34,0.325,,1156.248047,0.34,0.325,0.325,
06/30/1995,1614.800049,,-459.399994,,1155.400055,,-696.799988,,,,,458.600006,-22.000004,,72.300003,,0.0,,-50.299999,436.600002,-126.599998,310.0,-17.1,,,327.100004,0.0,327.100006,0.0,,327.100006,327.100006,,1157.135986,0.2825,0.2675,,1157.135986,0.2825,0.2675,0.2675,
09/30/1995,1631.900024,,-419.700012,,1212.200012,,-704.700012,,,,,507.5,-70.199998,,75.599998,,0.0,,-5.4,437.300002,-126.800003,310.5,-917.5,,,1227.999999,0.0,1228.0,0.0,,1228.0,1228.0,,1146.147949,1.0715,0.27,,1146.147949,1.0715,0.27,0.27,
12/31/1995,1799.800049,,-494.100006,,1305.700043,,-850.900024,,,,,454.799988,-90.999996,,72.199997,,,,18.799999,363.799992,-52.5,311.299988,-31.299999,,,342.599991,0.0,342.600006,0.0,,342.600006,342.600006,,1092.67395,0.315,0.285,0.285,1092.67395,0.315,0.285,0.285,
03/31/1996,1783.300049,,-518.0,,1265.300049,,-736.0,,,,,529.299988,-5.5,,69.900002,,0.0,,-64.400002,523.799988,-134.600006,389.200012,0.0,,,389.199982,0.0,389.200012,0.0,,389.200012,389.200012,,1092.628052,0.355,0.355,0.355,1112.0,0.35,0.35,0.35,
