Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1989,2.432,-0.599,1.833,-1.609,0.224,0.0,0.091,0.315,0.0,0.315,0.0,0.0,0.315,0,,0.315,,,0.315,,0.0225,0.0225,16.238665,0.0225,0.0225,0.0225,16.238665,
09/30/1989,2.358,-0.687,1.671,-1.507,0.164,0.0,0.068,0.232,0.0,0.232,0.0,0.0,0.232,0,,0.232,,,0.232,,0.015,0.015,16.385331,0.015,0.015,0.015,16.385331,
12/31/1989,2.987,-0.87,2.117,-1.499,0.618,0.0,0.1,0.718,-0.049,0.669,0.0,0.0,0.669,0,,0.669,,,0.669,,0.045,0.045,16.003999,0.045,0.045,0.045,16.003999,
03/31/1990,3.666,-1.221,2.445,-1.91,0.535,0.0,0.082,0.617,-0.032,0.585,0.0,0.0,0.585,0,,0.585,,,0.585,0.03,0.03,0.03,15.837332,0.03,0.03,0.03,15.837332,
06/30/1990,3.021,-0.883,2.138,-1.687,0.451,0.0,0.102,0.553,-0.061,0.492,0.0,0.0,0.492,0,,0.492,,,0.492,,0.03,0.03,16.219998,0.03,0.03,0.03,16.219998,
09/30/1990,3.194,-1.008,2.186,-2.072,0.114,0.0,0.071,0.185,-0.038,0.147,0.0,0.0,0.147,0,,0.147,,,0.147,,0.0075,0.0075,16.453332,0.0075,0.0075,0.0075,16.453332,
12/31/1990,3.544,-1.26,2.284,-2.06,0.224,0.0,0.088,0.312,-0.038,0.274,0.0,0.0,0.274,0,,0.274,,,0.274,,0.015,0.015,16.278665,0.015,0.015,0.015,16.278665,
03/31/1991,3.549,-1.384,2.165,-2.151,0.014,0.0,0.072,0.086,0.006,0.092,0.0,0.0,0.092,0,,0.092,,,0.092,0.0075,0.0075,0.0075,16.129998,0.0075,0.0075,0.0075,16.129998,
06/30/1991,3.711,-1.164,2.547,-2.316,0.231,0.0,0.067,0.298,-0.081,0.217,0.0,0.0,0.217,0,,0.217,,,0.217,,0.015,0.015,16.633332,0.015,0.015,0.015,16.633332,
09/30/1991,4.192,-1.293,2.899,-2.413,0.486,0.0,0.058,0.544,-0.21,0.334,0.0,0.0,0.334,0,,0.334,,,0.334,,0.0225,0.0225,16.931999,0.0225,0.0225,0.0225,16.931999,
12/31/1991,5.776223,-1.531407,4.244816,-3.332085,0.912731,0.0,0.040588,0.953319,-0.33485,0.618469,0.0,0.0,0.618469,0,,0.618469,,,0.618469,,0.03,0.03,20.599998,0.03,0.03,0.03,20.599998,
04/01/1992,6.63524,-2.233368,4.401872,-4.281819,0.120053,0.0,0.124785,0.244838,0.175512,0.42035,0.303908,0.0,0.724258,0,,0.724258,,,0.42035,,0.015,0.03,17.98902,0.015,0.015,0.03,17.98902,
06/30/1992,5.222,-1.594,3.628,-2.965,0.663,0.0,0.072,0.735,-0.248,0.487,-0.068,0.0,0.419,0,,0.419,,,0.487,,0.0225,0.0225,19.507997,0.0225,0.0225,0.0225,19.507997,
09/30/1992,5.889,-1.769,4.12,-3.349,0.771,0.0,0.098,0.869,-0.286,0.583,0.001,0.0,0.584,0,,0.584,,,0.583,,0.03,0.03,19.886665,0.03,0.03,0.03,19.886665,
12/31/1992,6.605,-1.61,4.995,-3.477,1.518,0.0,0.058183,1.576183,-0.546,1.03,-0.307,0.0,0.72259,0,,0.72259,,,1.030183,,0.045,0.03,22.906665,0.045,0.045,0.03,22.906665,
03/31/1993,5.576,-1.872,3.704,-3.775,-0.071,0.0,0.068,-0.003,-0.08,-0.083,-1.437,0.0,-1.52,0,,-1.52,,,-0.083,,-0.0075,-0.075,20.266664,-0.0075,-0.0075,-0.075,20.266664,
06/30/1993,16.343,-5.554,10.789001,-10.842,-0.053,0.0,0.103,0.05,-0.013,0.037,0.0,0.0,0.037,0,,0.037,,,0.037,,0.0,0.0,49.238663,0.0,0.0,0.0,49.238663,
09/30/1993,19.146,-6.457,12.689,-11.326,1.363,0.0,0.033,1.396,-0.457,0.939,-0.112,0.0,0.827,0,,0.827,,,0.939,,0.0225,0.0225,48.837326,0.0225,0.0225,0.0225,48.837326,
12/31/1993,17.025,-5.488,11.537,-11.481,0.056,0.0,-0.907,-0.851,0.289,-0.562,-0.063,0.0,-0.625,0,,-0.625,,,-0.562,,-0.015,-0.015,48.563996,-0.015,-0.015,-0.015,48.563996,
03/31/1994,17.829,-7.857,9.972,-15.104,-5.132,0.0,-8.866,-13.998,-0.223,-14.221,0.0,0.0,-14.221,0,,-14.221,,,-14.221,-0.2925,-0.2925,-0.2925,48.61733,-0.2925,-0.2925,-0.2925,48.61733,
06/30/1994,16.983,-5.772,11.211,-10.783,0.428,0.0,0.018,0.446,-0.031,0.415,0.0,0.0,0.415,0,,0.415,,,0.415,,0.0075,0.0075,49.627996,0.0075,0.0075,0.0075,49.627996,
09/30/1994,17.728001,-5.901,11.827001,-10.576,1.251,0.0,0.076,1.327,-0.106,1.221,0.0,0.0,1.221,0,,1.221,,,1.221,,0.0225,0.0225,49.707993,0.0225,0.0225,0.0225,49.707993,
12/31/1994,18.605,-6.247,12.357999,-11.262,1.096,0.0,0.609,1.705,-0.141,1.564,0.0,0.0,1.564,0,,1.564,,,1.564,,0.03,0.03,50.674662,0.03,0.03,0.03,50.674662,
03/31/1995,19.583,-7.13,12.453,-11.661,0.792,0.0,0.814,1.606,-0.128,1.478,0.0,0.0,1.478,0,,1.478,,,1.478,0.03,0.03,0.03,51.767995,0.03,0.03,0.03,51.767995,
06/30/1995,22.065001,-6.438,15.627,-14.965,0.662,0.0,0.088,0.75,,0.75,0.0,0.0,0.75,0,,0.75,,,,0.01,0.01,0.01,57.071999,0.01,0.01,0.01,57.071999,
09/30/1995,24.579,-6.504,18.075,-16.235001,1.84,0.0,0.331,2.171,,2.171,0.0,0.0,2.171,0,,2.171,,,,0.03,0.03,0.03,66.412003,0.03,0.03,0.03,66.412003,
12/31/1995,27.445,-7.372,20.072999,-31.094999,-11.022,0.0,0.148,-10.874,,-10.874,0.0,0.0,-10.874,0,,-10.874,,,,-0.12,-0.12,-0.12,64.931999,-0.12,-0.12,-0.12,64.931999,
03/31/1996,29.863001,-8.335,21.528001,-8.7,12.828,0.0,-8.465,4.363,,4.363,0.0,0.0,4.363,0,,4.363,8.7,,,0.05,0.05,0.05,72.084,0.05,0.05,0.05,72.084,
06/30/1996,60.632,-10.762,49.87,-39.845001,10.025,,,,,,,,8.944,0,,8.944,,,,0.06,0.06,0.06,149.067993,0.055,0.055,0.055,162.619995,
09/30/1996,66.017998,-11.466,54.551998,-42.605999,11.946,0.0,1.931,13.877,-3.367,10.51,0.0,0.0,10.51,0,,10.51,,,10.51,0.07,0.07,0.07,150.141998,0.06,0.06,0.06,168.425995,
12/31/1996,73.149002,-13.072,60.077003,-49.207001,10.87,0.0,-49.150002,-38.280002,4.713,-33.567001,0.0,0.0,-33.567001,0,,-33.567001,52.912998,0.0,19.345996,0.12,-0.205,-0.205,163.501999,0.12,-0.205,-0.205,163.501999,
03/31/1997,78.069,-14.782,63.287,-51.250999,12.036,0.0,-42.157001,-30.121001,-5.377,-35.498001,0.0,0.0,-35.498001,0,,-35.498001,46.341,0.0,10.842999,0.065,-0.21,-0.21,167.472,0.065,-0.21,-0.21,167.472,
06/30/1997,66.148003,-15.283,50.865003,-48.945999,1.919,,,,,,,,5.128,0,,5.128,,,,0.03,0.03,0.03,170.934006,0.03,0.03,0.03,170.934006,
09/30/1997,74.968002,-13.916,61.052002,-66.679001,-5.627,0.0,-59.042999,-64.669999,0.051,-64.619003,0.0,0.0,-64.619003,0,,-64.619003,63.758999,,-0.86,-0.005,-0.37,-0.37,174.479996,-0.005,-0.37,-0.37,174.479996,
12/31/1997,82.306,-16.694,65.612,-55.792,9.82,0.0,4.004,13.824,-3.456,10.368,0.0,0.0,10.368,0,,10.368,,,10.368,0.06,0.06,0.06,176.016006,0.055,0.055,0.055,181.264008,
03/31/1998,87.248001,-17.172001,70.076,-57.944,12.132,0.0,3.384,15.516,-4.666,10.85,0.0,0.0,10.85,0,,10.85,,,10.85,0.06,0.06,0.06,176.990005,0.06,0.06,0.06,184.643997,
06/30/1998,82.971001,-15.763,67.208001,-58.887001,8.321,0.0,3.115,11.436,-3.431,8.005,0.0,0.0,8.005,0,,8.005,,,8.005,0.045,0.045,0.045,175.733994,0.045,0.045,0.045,185.718002,
09/30/1998,94.655998,-14.897,79.758998,-65.565002,14.194,0.0,3.234,17.428,-5.228,12.2,0.0,0.0,12.2,0,,12.2,,,12.2,0.07,0.07,0.07,170.091995,0.07,0.07,0.07,179.619995,
12/31/1998,109.133003,-15.459,93.674004,-72.348999,21.325001,0.0,4.324,25.649001,-7.695,17.954,0.0,0.0,17.954,0,,17.954,-1.2,0.36,17.114,0.1,0.105,0.105,168.537994,0.095,0.1,0.1,182.507996,
03/31/1999,125.056,-16.749001,108.306999,-81.426003,26.881001,0.0,3.248,30.129,-9.039,21.09,0.0,0.0,21.09,0,,21.09,,,21.090001,0.125,0.125,0.125,171.210007,0.115,0.11,0.11,186.945999,
06/30/1999,117.422997,-17.622999,99.799997,-81.976997,17.823,0.0,2.584,20.407,-5.714,14.693,0.0,0.0,14.693,0,,14.693,,,14.693,0.085,0.085,0.085,173.054001,0.08,0.08,0.08,188.207993,
09/30/1999,128.160995,-18.996,109.164995,-84.768997,24.396,0.0,2.445,26.841,-7.516,19.325001,0.0,0.0,19.325001,0,,19.325001,,,19.325,0.11,0.11,0.11,173.779999,0.105,0.105,0.105,187.895996,
