Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,872.299988,872.299988,,,0.0,,,,0.0,,-368.899994,368.899994,368.899994,,0.0,,,,503.399994,-230.0,49.400002,133.100006,47.5,,273.399994,-56.1,,0.9,106.5,106.5,,,-49.5,217.299994,-75.5,141.800003,0.0,,,141.799994,0.0,141.800003,-14.8,,127.000003,127.000003,,302.400009,0.42,0.42,0.42,302.400009,0.42,0.42,0.42,
06/30/1990,846.299988,846.299988,,,0.0,,,,0.0,,-352.399994,352.399994,352.399994,,0.0,,,,493.899994,-243.800003,69.300003,131.300003,43.200001,,250.100006,-107.199997,,1.0,108.199997,108.199997,,,0.0,142.900009,-42.700001,100.199997,0.0,,,100.200008,0.0,100.199997,-14.5,,85.699997,85.699997,,303.599991,0.283333,0.283333,0.283333,303.599991,0.283333,0.283333,0.283333,
09/30/1990,997.5,997.5,,,0.0,,,,0.0,,-402.299988,402.299988,402.299988,,0.0,,,,595.200012,-249.800003,77.099998,128.5,44.200001,,345.399994,-112.400003,,0.4,112.800003,112.800003,,,0.0,232.999991,-58.799999,174.199997,0.0,,,174.199992,0.0,174.199997,-14.2,,159.999997,159.999997,,306.0,0.523333,0.523333,0.523333,306.0,0.523333,0.523333,0.523333,
12/31/1990,745.400024,745.400024,,,0.0,,,,0.0,,-446.0,446.0,446.0,,0.0,,,,299.400024,-189.199997,85.400002,30.5,73.300003,,110.199997,-3.879,,1.0,28.778999,28.778999,,,-23.9,106.320997,-19.1,87.221001,0.0,,,87.220997,0.0,87.221001,-14.7,,72.521001,72.521001,,308.400009,0.233333,0.233333,0.233333,308.400009,0.233333,0.233333,0.233333,
03/31/1991,904.200012,884.200012,,,0.0,,,,0.0,20.0,-268.899994,268.899994,139.699997,129.199997,0.0,,,,635.300018,-382.0,74.800003,112.199997,57.299999,137.699997,253.300003,-92.700003,,4.3,105.800003,105.800003,,,-8.8,160.6,-42.900002,117.699997,0.0,,,117.699999,0.0,117.699997,-13.6,,104.099997,104.099997,,309.900009,0.336667,0.336667,0.336667,309.900009,0.336667,0.336667,0.336667,
06/30/1991,901.200012,875.599976,,,0.0,,,,0.0,25.6,-271.0,271.0,146.800003,124.199997,0.0,,,,630.200012,-388.700012,80.199997,116.300003,56.700001,135.5,241.5,-94.399999,,1.5,105.099998,105.099998,,,-9.2,147.100001,-44.900002,102.199997,0.0,,,102.2,0.0,102.199997,-12.8,,89.399997,89.399997,,311.700005,0.286667,0.286667,0.286667,2.568,0.286667,0.286667,0.286667,
09/30/1991,1063.800049,1042.599976,,,0.0,,,,0.0,21.200001,-319.200012,319.199997,171.699997,147.5,0.0,,,,744.600037,-366.700012,60.700001,112.5,59.599998,133.899994,377.899994,-94.000003,,1.5,103.300003,103.300003,,,-7.8,283.899991,-89.699997,194.199997,0.0,,,194.199994,0.0,194.199997,-12.7,,181.499997,181.499997,,314.099991,0.576667,0.576667,0.576667,314.099991,0.576667,0.576667,0.576667,
12/31/1991,916.5,885.700012,,,0.0,,,,0.0,30.799999,-272.899994,272.900002,126.599998,146.300003,0.0,,,,643.600006,-421.299988,88.900002,109.199997,59.099998,164.100006,222.300003,-91.799998,,0.9,100.099998,100.099998,,,-7.4,130.500005,-33.200001,97.300003,12.4,,,84.900004,0.0,84.900002,-12.4,,72.500002,72.500002,,316.295998,0.27,0.31,0.31,316.295998,0.27,0.31,0.31,
03/31/1992,944.299988,934.599976,,,0.0,,,,0.0,9.7,-322.700012,322.699997,163.699997,159.0,0.0,,,,621.599976,-376.700012,84.400002,114.900002,61.200001,116.199997,244.899994,-93.2,,1.3,102.0,102.0,,,-7.5,151.699994,-45.5,106.199997,-15.6,,,121.799994,0.0,121.800003,-11.8,,110.000003,110.000003,,318.399994,0.345,0.295,0.295,318.399994,0.345,0.295,0.295,
06/30/1992,874.599976,851.799988,,,0.0,,,,0.0,22.799999,-293.299988,293.300003,123.0,170.300003,0.0,,,,581.299988,-394.700012,89.800003,101.900002,54.700001,148.300003,186.600006,-86.1,,1.2,95.5,95.5,,,-8.2,100.500006,-27.799999,72.699997,0.0,,,72.700007,0.0,72.699997,-11.5,,61.199997,61.199997,,320.600006,0.19,0.19,0.19,320.600006,0.19,0.19,0.19,
