Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBIT,EV/Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/31/1989,4891.250134,-314.399994,0.0,0.0,308.599991,4885.45013,957.0,32.246603,0.063167,,,,,,21.849061,,
01/31/1990,5567.025076,-456.599991,0.0,0.0,434.5,5544.925085,1119.5,38.81197,0.07836,,,,,,24.776251,,
04/30/1990,5586.0,-504.0,0.0,0.0,450.899994,5532.899994,1180.100021,38.208625,0.081494,,,,,,24.700446,,
07/31/1990,6922.174877,-558.099976,0.0,0.0,484.799988,6848.874889,1256.5,38.583366,0.070785,4.502876,17.476078,16.783404,6919.087685,6845.787697,30.54806,,
10/31/1990,5946.599838,-573.5,0.0,0.0,495.400009,5868.499847,1362.000015,36.372981,0.084417,3.702757,14.233568,13.514524,,,26.151961,,
01/31/1991,7271.425198,-532.300018,0.0,0.0,390.600006,7129.725185,1314.400024,29.716981,0.054785,4.228029,15.560291,15.242781,,,31.744101,,
04/30/1991,9249.012249,-709.199982,0.0,0.0,450.900002,8990.712269,1421.599983,31.717783,0.050152,5.088986,18.746273,16.965754,,,39.97649,,
07/31/1991,9623.025257,-722.700012,0.0,0.0,583.600006,9483.925251,1588.099991,36.748316,0.061536,5.219839,19.478179,16.537423,9618.75,9479.649994,42.132052,,
10/31/1991,10302.89986,-762.399994,0.0,0.0,679.200012,10219.699879,1771.800018,38.333898,0.06646,5.463035,20.903456,18.47457,,,45.380551,,
01/31/1992,10880.375,-786.300018,0.0,0.0,714.0,10808.074982,1885.100021,37.875974,0.066062,5.521366,21.242286,18.977047,,,47.929379,,
04/30/1992,10043.649864,-751.5,0.0,0.0,735.199982,10027.349846,1969.699951,37.325481,0.073319,4.977093,19.707842,,,,44.42778,,
07/31/1992,7589.162399,-701.699982,0.0,0.0,761.499985,7648.962402,2045.199936,37.233523,0.099556,3.668567,14.752097,,7589.162399,7648.962402,33.889953,,
10/31/1992,5607.500076,-666.0,0.0,0.0,824.699982,5766.200058,1988.09996,41.481817,0.143023,2.78722,12.546127,,,,25.707534,,
01/31/1993,4664.400064,-422.099991,0.0,0.0,657.399994,4899.700068,1792.600021,36.672988,0.134171,2.397817,11.150888,,,,22.19067,,
04/30/1993,4224.712383,-480.699997,,,648.5,4392.512386,1775.399994,36.52698,0.147638,2.091872,9.331873,,,,19.88462,,
07/31/1993,3922.75,-609.600006,0.0,0.0,673.199989,3986.349983,1872.599983,35.950016,0.168876,1.877697,7.691202,,,,18.037783,,
10/31/1993,4005.625,-656.299988,0.0,0.0,740.100006,4089.425018,2006.5,36.885124,0.180979,1.908182,7.315608,,,,18.504186,,
01/31/1994,3397.875,-711.600006,0.0,0.0,695.100014,3381.375008,1999.300056,34.767168,0.205567,1.589963,6.274587,,,,15.300339,,
04/30/1994,3373.299953,-703.200012,0.0,0.0,733.800018,3403.89996,2008.700012,36.53109,0.215576,1.750527,8.431756,6.314633,,,15.388336,,
09/13/2020,,-703.200012207031,0.0,0.0,733.800018310547,,2008.70001220703,36.5310904491057,,,,,,,15.3883363766984,,
