Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1996,429.0,,,,,,,,,54.400002,,,,,,,,,,28.6,-35.599998,,,,,64.199997,,,64.199997,64.199997,,,0.19,0.085,,,0.19,0.085,,
06/30/1996,438.200012,,,,,,,,,4.2,,,,,,,,,,-25.1,18.5,,,,,-43.599998,,,-43.599998,-43.599998,,,-0.13,-0.075,,,-0.13,-0.075,,
09/30/1996,442.0,,,,,,,,,73.699997,,,,,,,,,,-12.6,-63.5,,,,,50.900002,,,50.900002,50.900002,,,0.15,-0.035,,,0.15,-0.035,,
12/31/1996,472.5,,,,,,,,,85.5,,,,,,,,,,-107.599998,8.3,,,,,-115.900002,,,-115.900002,-115.900002,,,-0.34,-0.315,,,-0.34,-0.315,,
03/31/1997,436.399994,,,,,,,,,77.900002,,,,,,,,,,36.5,152.199997,,,,,-92.099998,,,-92.099998,-92.099998,,,-0.27,-0.265,0.105,,-0.265,-0.26,0.105,
06/30/1997,440.899994,,,,,,,,,89.099998,,,,,,,,,,47.700001,-6.3,,,,,54.0,,,54.0,54.0,,,0.16,0.14,0.14,,0.155,0.14,0.14,
09/30/1997,447.799988,,,,,,,,,97.800003,,,,,,,,,,54.599998,-30.6,,,,,85.199997,,,85.199997,85.199997,,341.0,0.25,0.16,0.16,345.200012,0.245,0.155,0.155,
12/31/1997,485.899994,,,,,,,,,138.899994,,,,,,,,,,,,,,,,136.899994,,,136.899994,136.899994,,,0.4,0.605,0.605,,0.4,0.6,0.605,
03/31/1998,471.100006,,-145.300003,325.800003,,-233.0,,,,92.800003,-12.9,,7.3,,0.0,,5.6,79.900003,-28.4,51.5,-12.0,,,63.500003,0.0,63.5,0.0,,63.5,63.5,,342.399994,0.185,0.15,0.15,348.200012,0.185,0.15,0.15,
06/30/1998,484.0,,-145.600006,338.399994,,-232.399994,,,,106.0,-35.3,2.4,4.2,-1.8,0.0,,32.9,70.7,-31.0,39.700001,-21.6,,,61.3,0.0,61.299999,0.0,,61.299999,61.299999,22.7,343.0,0.18,0.115,0.185,349.0,0.175,0.115,0.18,
09/30/1998,459.600006,,-130.199997,329.400009,,-226.300003,,,,103.099998,5.5,-2.2,0.2,-2.4,0.0,,-3.3,108.599998,-39.900002,68.699997,0.0,,,68.699996,0.0,68.699997,0.0,,68.699997,68.699997,-5.3,339.200012,0.2,0.2,0.185,342.600006,0.2,0.2,0.185,
12/31/1998,519.799988,,-147.100006,372.699982,,-225.899994,,,,146.800003,-6.2,,0.4,,0.0,,5.8,140.600003,-54.099998,86.5,-0.1,,,86.600004,0.0,86.599998,0.0,,86.599998,86.599998,,331.799988,0.26,0.26,0.26,336.399994,0.26,0.26,0.26,
03/31/1999,490.9,,,,,-386.3,,,,104.6,-0.8,0.3,0.8,-0.5,0.0,,0.5,103.8,-37.8,66.0,0.0,,,66.0,-5.6,60.4,0.0,0.0,60.4,60.4,,330.2,0.185,0.185,0.185,335.8,0.18,0.18,0.18,
06/30/1999,349.8,,,,,-308.5,,,,41.3,-1.9,0.7,1.2,-0.5,0.0,,1.2,39.4,-13.9,25.5,-46.5,,,72.0,-5.6,66.4,0.0,0.0,66.4,66.4,,324.4,0.205,0.06,0.06,329.6,0.2,0.06,0.06,
09/30/1999,139.3,,,,,-72.7,,,,66.6,9.0,,0.0,,0.0,,-9.0,75.6,-33.4,42.2,0.0,,,42.2,0.0,42.2,0.0,,42.2,42.2,,321.8,0.13,0.13,0.13,325.4,0.13,0.13,0.13,
12/31/1999,140.4,,,,,-71.5,,,,68.9,-1.9,0.1,1.6,-1.5,0.0,,1.8,67.0,-30.4,38.2,0.0,,,36.6,0.0,38.2,0.0,,38.2,38.2,,321.8,0.12,0.12,0.12,325.0,0.12,0.12,0.12,
03/31/2000,139.3,,,,,-75.5,,,,63.8,0.5,,,,,,-0.5,64.3,-28.4,35.9,,,,35.9,,35.9,,,35.9,35.9,,322.4,0.11,0.11,0.11,325.0,0.11,0.11,0.11,
06/30/2000,149.4,,,,,-74.6,,,,74.8,,,,,,,,,-33.1,41.7,,,,,,41.7,,,41.7,41.7,,323.8,0.13,0.13,0.13,326.6,0.13,0.13,0.13,
