Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Operating Lease Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,7035.791992,361.5,190.417999,,1146.400024,,,,,2454.490967,,,2289.407959,,,,,,423.263,5167.162109,-80.524002,5086.638184,103.875999,,,,,,,,0.0,146.959785,,790.958008,4932.994873,2148.990967,2784.003906,0.0,5723.953125,418.035004,,,,,,12.476,,,,,,,,,,164.130001,6318.59413,0.0,267.691986,,,0.0,,449.506012,717.197998,0.0,717.197998,7035.792128,
06/30/1990,7344.102051,434.442993,248.960999,,1175.33606,,,,,2465.667969,,,2383.913086,,,,,,430.545013,5280.125977,-81.635002,5198.491211,107.899002,,,,,,,,0.0,178.971786,,867.130005,5124.310791,2121.035889,3003.274902,0.0,5991.440918,443.239014,,,,,,14.039,,,,,,,,,,157.264004,6605.982935,0.0,268.126007,,,0.0,,469.993011,738.119019,0.0,738.119019,7344.101954,
09/30/1990,7658.919922,430.826996,348.425995,,1266.853027,,,,,2502.116943,,,2493.735107,,,,,,418.501007,5414.353027,-83.708,5330.64502,104.806,,,,,,,,0.0,177.362885,,864.155029,5322.193848,2141.856934,3180.336914,0.0,6186.349121,535.835999,,,,,,13.928,,,,,,,,,,162.766003,6898.879123,0.0,268.630005,,,0.0,,491.411011,760.041016,0.0,760.041016,7658.920138,
12/31/1990,7955.808105,564.247009,336.450989,,1354.965942,,,,,3035.0,,,2461.965088,,,,,,0.0,5496.964844,-85.0,5411.964844,108.128998,,,,,,,,0.0,180.050323,,989.424011,5395.796875,2240.930908,3154.865967,0.0,6385.221191,607.046997,,,,,,13.517,,,,,,,,,,167.324997,7173.110185,0.0,269.911987,,,0.0,,512.786011,782.697998,0.0,782.697998,7955.808183,
03/31/1991,8044.001953,340.721008,255.397003,,1730.156006,,,,,2527.158936,,,2993.331055,,,,,,0.0,5520.490234,-86.644997,5433.845215,108.567001,,,,,,,,0.0,175.31572,,828.5,5452.284912,2283.24292,3169.041992,0.0,6280.785156,759.526978,,,,,,13.465,,,,,,,,,,186.601997,7240.379131,0.0,271.074005,,,-0.404,,532.953011,803.623016,0.0,803.623016,8044.002148,
06/30/1991,8293.761719,388.778015,300.522003,,1770.699951,,,,,2518.530029,,,3100.10791,,,,,,0.0,5618.638184,-88.690002,5529.948242,109.25,,,,,,,,0.0,194.563507,,916.322021,5470.059082,2263.829102,3206.22998,0.0,6386.380859,881.872009,,,,,,13.376,,,,,,,,,,185.045998,7466.674867,0.0,272.031006,,,-0.404,,555.46003,827.087036,0.0,827.087036,8293.761903,
09/30/1991,8807.529297,462.303009,488.371002,,1838.468018,,,,,2475.0979,,,3260.434082,,,,,,0.0,5735.532227,-90.377998,5645.153809,112.456001,,,,,,,,0.0,260.777458,,1119.105957,5836.732178,2427.819092,3408.913086,0.0,6955.837891,729.994019,,,,,,13.263,,,,,,,,,,255.91301,7955.007918,0.0,273.161011,,,-0.404,,579.763985,852.520996,0.0,852.520996,8807.528914,
12/31/1991,8826.129883,501.187988,192.210999,,2063.766113,,,,,3112.612061,,,2694.0,,,,,,0.0,5806.611816,-90.323997,5716.287819,111.810997,,,,,,,,0.0,240.865967,,1151.364014,5535.897949,2524.0979,3011.800049,0.0,6687.262207,1042.56604,,,,,,12.848,,,,,,,,,,204.003998,7946.680245,0.0,275.134003,,,-0.404,,604.719979,879.449982,0.0,879.449982,8826.130227,
03/31/1992,9104.261719,502.862,86.571999,,1995.031982,,,,,2596.104004,,,3631.855957,,,,,,0.0,6227.959961,-96.957001,6131.00293,116.602997,,,,,,,,0.0,272.189812,,1117.212036,5835.219971,2766.706055,3068.513916,0.0,6952.432129,988.83197,,,,,,12.821,,,,,,,,,,237.414001,8191.499101,0.0,329.619995,,,-0.404,,583.547005,912.763,0.0,912.763,9104.262101,
06/30/1992,9486.239258,486.265015,304.329987,,1781.061035,,,,,2632.190918,,,4001.318115,,,,,,0.0,6633.508789,-102.488998,6531.02002,117.667999,,,,,,,,0.0,265.895203,,1138.983032,6020.387939,2789.395996,3230.991943,0.0,7159.371094,1150.197998,,,,,,12.762,,,,,,,,,,222.820999,8545.152091,0.0,330.631989,,,-0.404,,610.859017,941.087006,0.0,941.087006,9486.239097,
