Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,137.853653,0.629975,0.629975,0.0,25.612991,,,57.281929,,,,,3.036791,,,,86.561684,46.887897,,,0,4.404073,,,,,,,4.404073,51.291971,,12.932975,12.932975,,,,2.956,,,,,,7.33218,,,7.33218,23.221155,62.741501,,,,,7.989003,,,,,,7.989003,70.730504,93.951659,0.0,0.238423,,,-4.945,,48.60851,43.901932,0.0,43.901932,137.853592,
02/28/1990,131.608521,1.710886,0.632626,1.07826,21.483639,,,53.531582,,,,,3.672549,,,,80.398659,46.208248,,,0,5.001622,,,,,,,5.001622,51.20987,,9.881983,9.881983,,,,0.856,,,,,,5.417069,,,5.417069,16.155052,62.741501,,,,,7.901956,,,,,,7.901956,70.643457,86.798509,0.0,0.225452,,,-4.908,,49.492957,44.810409,0.0,44.810409,131.608918,
05/31/1990,135.552429,17.038066,1.233633,15.804433,21.901196,,,43.713791,,,,,2.349668,,,,85.002716,45.648453,,,0,4.901263,,,,,,,4.901263,50.549716,,11.489155,11.489155,,,,0.856,,,,,,6.516448,,,6.516448,18.861603,62.460251,,,,,8.141956,,,,,,8.141956,70.602207,89.46381,0.0,0.255119,,,-4.908,,50.741504,46.088623,0.0,46.088623,135.552433,
08/31/1990,142.868332,26.319556,1.165124,25.154432,21.561163,,,40.68771,,,,,2.892066,,,,91.460495,45.662006,79.523476,-33.861465,0,5.745835,,,,,,,5.745835,51.407841,,16.841787,16.841787,,,,0.856,,,,,,6.115558,,,6.115558,23.813345,63.105827,,,,,8.746595,,,,,,8.746595,71.852423,95.665768,0.0,0.255802,,,-4.908041,,51.854811,47.202572,0.0,47.202572,142.868339,
11/30/1990,142.671326,7.50077,0.080344,7.420426,25.175795,,,57.704723,,,,,1.795162,,,,92.176445,44.834854,,,0,5.660022,,,,,,,5.660022,50.494876,,14.561818,14.561818,,,,0.856,,,,,,6.732183,,,6.732183,22.150002,62.824577,,,,,8.746595,,,,,,8.746595,71.571173,93.721174,0.0,0.276047,,,-4.865212,,53.539345,48.95018,0.0,48.95018,142.671355,
02/28/1991,137.672073,9.486885,0.2096,9.277285,22.038723,,,54.719555,,,,,1.723809,,,,87.968971,43.945095,,,0,5.758001,,,,,,,5.758001,49.703096,,11.019427,11.019427,,,,0.856,,,,,,7.090105,,,7.090105,18.965532,62.825001,,,,,8.43244,,,,,,8.43244,71.257441,90.222973,0.0,0.276047,,,-7.97177,,55.144999,47.449276,0.0,47.449276,137.672249,
05/31/1991,142.69458,19.220091,1.314201,17.90589,26.546911,,,46.129974,,,,,1.883335,,,,93.780312,43.254265,,,0,5.660004,,,,,,,5.660004,48.914269,,12.799499,12.799499,,,,0.856,,,,,,8.135624,,,8.135624,21.791122,62.729637,,,,,8.43244,,,,,,8.43244,71.162077,92.953199,0.0,0.297193,,,-7.9405,,57.384706,49.741399,0.0,49.741399,142.694599,
08/31/1991,147.20723,28.645829,6.856559,21.78927,22.966949,,,43.599293,,,,,3.159162,,,,98.371231,42.992249,81.466911,-38.474667,0,5.843755,,,,,,,5.843755,48.836003,,16.608461,16.608461,,,,0.856,,,,,,7.143491,,,7.143491,24.607952,62.277721,,,,,8.346901,,,,,,8.346901,70.624622,95.232574,0.0,0.319544,,,-5.273,,56.928117,51.974661,0.0,51.974661,147.207235,
11/30/1991,217.388763,0.06089,0.06089,0.0,41.707527,,,87.963387,,,,,5.272551,,,,135.004349,73.075844,,,0,9.30856,,,,,,,9.30856,82.384404,,27.180204,27.180204,,,,18.294909,,,,,,11.027149,,,11.027149,56.502262,98.129593,,,,,8.346901,,,,,,8.346901,106.476494,162.978756,0.0,0.33748,,,-7.901933,,61.975,54.410547,0.0,54.410547,217.389303,
02/29/1992,209.503479,10.557717,0.113814,10.443903,29.908041,,,80.636078,,,,,6.707436,,,,127.809273,72.150742,,,0,9.543468,,,,,,,9.543468,81.69421,,16.964249,16.964249,,,,4.294909,,,,,,9.188159,,,9.188159,30.447317,82.115463,,,,,8.346901,,,,,,8.346901,90.462364,120.909681,0.0,32.357975,,,-7.867,,64.102359,88.593334,0.0,88.593334,209.503016,
