Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,61.675999,26.336,24.24,2.096,6.744,,,9.013,,,,,1.098,,,,,,43.191002,16.613001,,,0.0,,1.872,,,,,,1.872,18.485001,,8.752,8.752,,,,0.392,,,,,,1.405,,,,1.405,10.549,2.641,,,,,0.34,,,,,0.34,2.981,13.53,0.0,38.077999,,,0.0,,10.068,48.145999,0.0,48.145999,61.675999,
06/30/1993,63.932999,23.229,19.597,3.632,7.073,,,9.871,,,,,2.201,,,,,,42.374001,20.325001,,,0.0,,1.234,,,,,,1.234,21.559001,,8.39,8.39,,,,0.392,,,,,,0.0,,,,0.0,8.782,2.604,,,,,0.648,,,,,0.648,3.252,12.034,0.0,38.811001,,,0.0,,13.088,51.899001,0.0,51.899001,63.933001,
09/30/1993,68.045998,25.128,20.191,4.937,7.869,,,9.82,,,,,2.307,,,,,,45.124001,21.812,,,0.0,,1.11,,,,,,1.11,22.922,,9.309,9.309,,,,0.565,,,,,,0.0,,,,0.0,9.874,2.293,,,,,0.687,,,,,0.687,2.98,12.854,0.0,38.848999,,,0.0,,16.343,55.191999,0.0,55.191999,68.045999,
12/31/1993,104.780998,56.370998,42.676998,13.694,8.346,,,10.824,,,,,3.173,,,,,,78.713997,24.646,32.408001,-7.762,0.0,,1.421,,,,,,1.421,26.067,,8.637,8.637,,,,0.572,,,,,,0.861,,,,0.861,10.07,2.143,,,,,1.318,,,,,1.318,3.461,13.531,0.0,71.299004,,,0.0,,19.950001,91.249004,0.0,91.249004,104.780004,
03/31/1994,109.848999,54.546,36.667999,17.878,10.993,,,13.626,,,,,2.316,,,,,,81.481003,26.524,,,0.0,,1.844,,,,,,1.844,28.368,,8.708,8.708,,,,0.572,,,,,,0.873,,,,0.873,10.153,2.001,,,,,1.634,,,,,1.634,3.635,13.788,0.0,71.999001,,,0.0,,24.062,96.061001,0.0,96.061001,109.849001,
06/30/1994,116.353996,55.344,33.659,21.684999,8.614,,,15.608,,,,,2.922,,,,,,82.487999,32.009998,,,0.0,,1.856,,,,,,1.856,33.865998,,11.615,11.615,,,,0.572,,,,,,0.0,,,,0.0,12.187,1.752,,,,,1.812,,,,,1.812,3.564,15.751,0.0,72.067001,,,0.0,,28.535999,100.603001,0.0,100.603001,116.354001,
09/30/1994,123.056999,58.985001,47.637001,11.348,9.394,,,15.008,,,,,4.673,,,,,,88.059998,33.084999,,,0.0,,1.912,,,,,,1.912,34.996999,,9.66,9.66,,,,0.708,,,,,,0.0,,,,0.0,10.368,5.27,,,,,1.875,,,,,1.875,7.145,17.513,0.0,72.195,,,0.0,,33.348999,105.543999,0.0,105.543999,123.056999,
12/31/1994,262.31601,106.695999,71.165001,35.530998,16.128,,,16.361,,,,,33.727001,,,,,,172.912003,54.115002,82.421997,-28.306999,0.0,,35.289001,,,,,,35.289001,89.404003,,17.610001,17.610001,,,,0.641,,,,,,-2e-06,,,,-2e-06,18.250999,5.058,,,,,15.637,,,,,15.637,20.695,38.945999,0.0,132.233002,,,0.0,,91.137001,223.370003,0.0,223.370003,262.316002,
03/31/1995,143.973007,65.24,60.174,5.066,13.577,,,16.916,,,,,3.132,,,,,,98.864998,43.220001,,,0.0,,1.888,,,,,,1.888,45.108001,,13.983,13.983,,,,0.701,,,,,,1.827999,,,,1.827999,16.511999,4.902,,,,,2.358,,,,,2.358,7.26,23.771999,0.0,75.622002,,,0.0,,44.578999,120.201,0.0,120.201,143.972999,
06/30/1995,152.582001,64.452,59.368,5.084,13.929,,,18.103001,,,,,3.394,,,,,,99.877998,48.477001,,,0.0,,4.227,,,,,,4.227,52.704001,,16.591999,16.591999,,,,0.682,,,,,,0.263002,,,,0.263002,17.537001,4.744,,,,,3.245,,,,,3.245,7.989,25.526,0.0,76.083,,,0.0,,50.973,127.056,0.0,127.056,152.582,
