Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,60.346,,,-34.724,,,25.622,,-4.733,,,,,,20.889,-12.891,10.675,10.675,,0.0,2.216,7.998,-3.375,,,4.623,0.0,,,4.623,0.0,4.623,-0.034,,4.589,4.589,,57.747,0.08,0.08,0.08,,,0.08,0.08,
06/30/2007,66.103,,,-30.73,,,35.373,,-13.493,,,,,,21.88,-11.967,10.074,10.074,,0.0,1.893,9.913,-3.988,,,5.925,0.0,,,5.925,0.0,5.925,-0.011,0.0,5.914,5.914,1.256,57.747,0.1,0.1,0.12,59.625,0.1,0.1,0.12,
09/30/2007,69.098,,,-31.776,,,37.322,,-16.451,,,,,,20.871,-6.945,9.054,9.054,,0.0,-2.109,13.926,-5.972,,,7.954,0.0,,,7.954,0.0,7.954,0.0,0.0,7.954,7.954,-0.928,69.067,0.12,0.12,0.11,69.913,0.11,0.11,0.1,
12/31/2007,98.786,,,-38.085,,,60.701,,-19.598,,,,,,41.103,-31.561,6.239,6.239,,0.0,25.322,9.542,-2.684,,,6.858,0.0,,,6.858,0.0,6.858,0.0,0.0,6.858,6.858,,75.199,0.09,0.09,0.34,76.542,0.09,0.09,0.33,
03/31/2008,106.711,,,-38.179,,,68.532,,-10.421,,,,,,58.111,-21.378,5.615,5.615,,0.0,15.763,36.733,-14.368,,,22.365,0.0,,,22.365,0.0,22.365,0.0,0.0,22.365,22.365,10.218,75.473,0.3,0.3,0.44,76.886,0.29,0.29,0.42,
06/30/2008,137.383,,,-43.989,,,93.394,,-11.108,,,,1.799,,82.286,-105.875,3.885,3.885,,0.0,101.99,-23.589,9.169,,,-14.42,0.0,,,-14.42,0.0,-14.42,0.0,0.0,-14.42,-14.42,62.537,75.665,-0.19,-0.19,0.64,75.665,-0.19,-0.19,0.64,
09/30/2008,170.457,,,-59.569,,,110.888,,-28.708,,,,1.106,,82.18,150.779,10.255,10.255,,0.0,-161.034,232.959,-91.031,,,141.928,0.0,,,141.928,0.0,141.928,0.0,0.0,141.928,141.928,-97.905,81.288,1.75,1.75,0.55,82.724,1.72,1.72,0.54,
12/31/2008,119.238,,,-73.409,,,45.829,,-31.912,,,,,,13.917,180.767,9.284,9.284,,0.0,-190.051,194.684,-65.855,,,128.829,0.0,,,128.829,0.0,128.829,0.0,0.0,128.829,128.829,,84.318,1.53,1.53,0.04,85.478,1.51,1.51,0.04,
03/31/2009,123.126,86.002,37.124,-75.792,25.044,50.748,47.334,0.0,-21.797,11.746,11.746,,,10.051,25.537,-46.868,,4.37,,,42.498,-21.331,8.106,2.765,-10.871,-13.225,0.0,0.0,0.0,-13.225,0.0,-13.225,0.0,0.0,-13.225,15.43488,28.65988,84.529,-0.16,-0.16,0.182599,84.529,-0.16,-0.16,0.179054,
06/30/2009,151.673,127.332,24.341,-78.52,26.118,52.402,73.153,0.0,-20.095,14.172,14.172,,,5.923,53.058,-111.967,,6.2,,,105.767,-58.909,25.691,3.237,-28.928,-33.218,0.0,0.0,0.0,-33.218,0.0,-33.218,0.0,0.0,-33.218,29.060578,62.278578,84.799,-0.39,-0.39,0.3427,84.799,-0.39,-0.39,0.3427,
