Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2007,31777,1501,1501,0,3099,3099,,,9371,5223,0,4148,0,815,,,,14786,6435,11685,-5250,0.0,10556,9831,7925,1906,,725,16991,,819,819,,,,491,491,0.0,0.0,,,6781,,,,6781,8091,5578,5578,0.0,0.0,,2513,,,,,2513,8091,16182,0.0,1265,,,,12642,1688,15595,0.0,15595,31777,
03/31/2008,31532,1231,1231,0,2786,2786,,,9020,5209,0,3811,0,596,,,,13633,6877,12441,-5564,0.0,11022,10169,8250,1919,,853,17899,,733,733,,,,897,897,0.0,0.0,,,5763,,,,5763,7393,6643,6643,0.0,0.0,,2718,,,,,2718,9361,16754,0.0,1638,,,0.0,11296,1844,14778,0.0,14778,31532,
06/30/2008,34318,3028,3028,0,3093,3093,,,9003,5478,0,3525,0,626,,,,15750,7044,12857,-5813,0.0,11524,10700,8399,2301,,824,18568,,1167,1167,,,,2052,2052,0.0,0.0,,,8219,,,,8219,11438,6271,6271,0.0,0.0,,2742,,,,,2742,9013,20451,0.0,1606,,,-2000.0,12032,2229,13867,0.0,13867,34318,
09/30/2008,35305,2803,2803,0,2975,2975,,,8855,5277,0,3578,0,673,,,,15306,6696,12200,-5504,0.0,13303,12408,9318,3090,,895,19999,,1237,1237,,,,1949,1949,0.0,0.0,,,8210,,,,8210,11396,9198,9198,0.0,0.0,,3079,,,,,3079,12277,23673,0.0,1595,,,-4326.0,13007,1356,11632,,11632,35305,
12/31/2008,32972,1531,1531,0,2848,2848,,,9664,5061,0,4603,0,896,,,,14939,6348,11700,-5352,0.0,11685,11099,8015,3084,,586,18033,,1013,1013,,,,584,584,0.0,0.0,,,8547,,,,8547,10144,11377,11377,0.0,0.0,,3547,,,,,3547,14924,25068,0.0,1581,,,-5154.0,13354,-2281,7500,404.0,7904,32972,
03/31/2009,30744,2361,2361,0,2602,2602,0.0,,7824,4490,0,3334,0,853,,,376.0,13640,5752,10746,-4994,0.0,11352,10815,7646,3169,,537,17104,,6959,765,298.0,1073.0,4823.0,913,722,,,,191.0,263,,,1458.0,0,8135,13144,13144,,,,3313,1385.0,,,,470,16457,24592,0.0,1514,,,-6397.0,13758,-2969,5906,246.0,6152,30744,
06/30/2009,33127,2602,2602,0,3171,3171,,,8229,4926,0,3303,0,729,,,337.0,14731,6121,11562,-5441,,12275,11735,8414,3321,,540,18396,,8801,774,263.0,1054.0,6710.0,594,399,,,,195.0,271,,,1449.0,0,9666,13480,13480,,,,3294,1273.0,,,,572,16774,26440,,1457,,,-7612.0,14251,-1719,6377,310.0,6687,33127,
09/30/2009,33705,1602,1602,0,3048,3048,,,8877,5614,0,3263,0,750,,,411.0,14277,6358,12151,-5793,,13070,12486,8992,3494,,584,19428,,8989,1040,528.0,1116.0,6305.0,510,313,,,,197.0,339,,,1513.0,0,9838,13741,13741,,,,3412,1301.0,,,,598,17153,26991,,1448,,,-9025.0,14936,-1019,6340,374.0,6714,33705,
12/31/2009,34552,1540,1540,0,3098,3098,,,9207,5458,0,3749,0,837,,,321.0,14682,6390,12258,-5868,,13480,12658,9112,3546,,822,19870,,9109,670,500.0,1101.0,6838.0,1744,1662,,,,82.0,325,,,1688.0,0,11178,13672,13672,,,,3557,1260.0,440.0,440.0,0.0,169,17229,28407,,1403,,,-10228.0,15358,-817,5716,429.0,6145,34552,
03/31/2010,34173,850,850,0,3186,3186,,,8279,5396,0,2883,0,763,,,362.0,13078,6530,12261,-5731,,14565,13851,9974,3877,,714,21095,,8022,956,354.0,1087.0,5625.0,1201,1050,,,,151.0,357,,,1701.0,0,9580,14809,14809,,,,3419,1101.0,,,,617,18228,27808,,1240,,,-11788.0,15977,618,6047,318.0,6365,34173,
