Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/31/1991,236.958984,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.444,,,-3.444,-3.444,,223.287979,-0.015,-0.015,,223.287979,-0.015,-0.015,-0.015,
02/01/1992,247.012985,,,,,,,,,,,,,,,,,,,,,,,,,,,3.432,,,3.432,3.432,,280.47998,0.0125,0.0125,,280.47998,0.0125,0.0125,0.0125,
04/30/1992,211.634003,,,,,,,,,,,,,,,,,,,,,2.798,,,,,,2.798,,,2.798,2.798,,280.863983,0.01375,0.01375,,280.863983,0.01375,0.01375,0.01375,
07/31/1992,217.639999,,,,,,,,,,,,,,,,,,,,,-6.728,,,,,,-8.849,,,-8.849,-8.849,,281.327972,-0.0325,-0.0325,,281.327972,-0.0325,-0.0325,-0.0325,
10/31/1992,285.184998,,,,,,,,,,,,,,,,,,,,,10.096,,,,,,10.096,,,10.096,10.096,,280.864014,0.03625,0.03625,,280.864014,0.03625,0.03625,0.03625,
01/31/1993,382.396973,,,,,,,,,,,,,,,,,,,,,22.525999,,,,,,22.525999,,,22.525999,22.525999,,280.799988,0.08,0.08,,280.799988,0.08,0.08,0.08,
05/01/1993,250.248993,,,-164.197998,,86.050995,,-70.390999,,,,,15.66,-2.978,,1.448,0.0,,1.53,12.682,-5.41,7.272,0.0,,,7.272,0.0,7.272,0.0,,7.272,7.272,,292.888,0.025,0.025,,292.888,0.025,0.025,0.025,
07/31/1993,257.429993,,,-169.343002,,88.08699,,-73.579002,,,,,14.508,-2.703,,1.43,0.0,,1.273,11.805,-4.913,6.892,0.0,,,6.892,0.0,6.892,0.0,,6.892,6.892,,293.015991,0.02375,0.02375,,293.015991,0.02375,0.02375,0.02375,
10/30/1993,340.981995,,,-228.104996,,112.876999,,-88.110001,,,,,24.767,-1.585,,1.585,0.0,,0.0,23.182,-10.034,13.148,0.0,,,13.148,0.0,13.148,0.0,,13.148,13.148,,293.088013,0.045,0.045,,293.088013,0.045,0.045,0.045,
01/29/1994,457.084991,,,-307.589996,,149.494995,,-102.028,,,,,47.466999,1.555,,1.414,0.0,,-2.969,49.021999,-20.672001,28.35,1.769,,,26.580998,0.0,26.580999,0.0,,26.580999,26.580999,,293.200016,0.09,0.09625,0.09625,293.200016,0.09,0.09625,0.09625,
04/30/1994,307.850006,,,-202.408997,,105.44101,,-84.894997,,,,,20.546,-0.968,,0.968,0.0,,0.0,19.578,-8.25,11.328,0.0,,,11.328,0.0,11.328,0.0,,11.328,11.328,,293.343994,0.03875,0.03875,,293.343994,0.03875,0.03875,0.03875,
07/30/1994,292.440002,,,-192.550003,,99.889999,,-82.238998,,,,,17.650999,-1.278,,1.278,0.0,,0.0,16.372999,-6.896,9.477,0.0,,,9.476999,0.0,9.477,0.0,,9.477,9.477,,293.424011,0.0325,0.0325,,293.424011,0.0325,0.0325,0.0325,
10/29/1994,389.493988,,,-260.38501,,129.108978,,-103.463997,,,,,25.645,-2.041,,2.041,0.0,,0.0,23.604001,-9.766,13.838,0.0,,,13.838001,0.0,13.838,0.0,,13.838,13.838,,293.752014,0.0475,0.0475,,293.752014,0.0475,0.0475,0.0475,
01/28/1995,564.315979,,,-382.395996,,181.919983,,-121.887001,,,,,60.033001,-2.137,,3.021,0.0,,-0.884,57.896001,-32.277,25.618999,0.0,,,25.619001,0.0,25.618999,0.0,,25.618999,25.618999,,294.032016,0.0875,0.0875,0.0875,294.032016,0.0875,0.0875,0.0875,
04/30/1995,368.36499,,,-243.987,,124.377991,,-101.999001,,,,,22.379,-2.453,,2.453,0.0,,0.0,19.926,-8.13,11.796,0.0,,,11.796,0.0,11.796,0.0,,11.796,11.796,,294.056,0.04,0.04,,294.056,0.04,0.04,0.04,
07/29/1995,363.536011,,,-242.279007,,121.257004,,-99.195999,,,,,22.061001,-3.237,,3.237,0.0,,0.0,18.824001,-7.681,11.143,0.0,,,11.143001,0.0,11.143,0.0,,11.143,11.143,,294.152008,0.0375,0.0375,,294.152008,0.0375,0.0375,0.0375,
