Date,P/Book,Average,High,Low,P/Sales,P/Cash Flow,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1987,,,26.0,22.25,,,,,23.75,,
12/31/1987,,,24.375,11.0,,,,,16.125,,
03/31/1988,,,23.25,16.25,,,,,23.125,,
06/30/1988,,,25.625,18.25,,,,,24.75,,
09/30/1988,,,24.875,19.25,,,,,23.875,,
12/31/1988,,,28.125,21.0,,,,,27.0,,
03/31/1989,,,39.75,25.75,,,,,38.75,,
06/30/1989,,,47.25,37.25,,,,,38.5,,
09/30/1989,,,41.25,34.75,,,,,38.0,,
12/31/1989,,,45.0,34.5,,,,,38.25,,
03/31/1990,2.869857,,38.5,28.0,,,,,29.75,8528.40044,
06/30/1990,1.918369,,33.0,22.0,,,,,24.25,7778.004704,
09/30/1990,1.169146,,27.75,13.5,2.900709,,9.561655,,14.25,8175.367773,
12/31/1990,1.509044,,18.625,11.0,2.946841,,8.548957,183.322462,17.25,8869.141151,
03/31/1991,2.293436,,26.5,15.0,3.766471,,8.982815,148.898528,24.25,10338.025093,
06/30/1991,2.159293,,29.0,20.0,3.054271,,7.870785,100.973028,21.25,9844.769386,
09/30/1991,2.827611,446.245068,30.25,20.0,4.006658,446.245068,8.386762,99.378579,29.0,11078.425858,
12/31/1991,3.107305,425.959215,30.25,25.25,3.994685,57.751874,8.313103,97.83706,29.75,11352.131753,
03/31/1992,3.255898,62.802736,36.0,28.75,3.685766,40.121738,7.904807,76.979068,29.0,11437.780846,
06/30/1992,2.936387,37.376185,29.75,22.75,2.973638,43.895034,7.08382,60.88966,24.75,10845.179066,
09/30/1992,2.966159,44.548455,28.25,23.125,2.661011,29.404219,6.604354,49.799748,23.75,10753.658165,
12/31/1992,,36.052083,34.25,20.25,3.510783,37.9466,7.278893,48.901532,33.5,12689.556293,
03/31/1993,83.881143,40.051387,41.25,31.5,3.755207,10.426945,7.426542,44.98013,37.5,13728.385429,
06/30/1993,73.739926,11.415363,46.25,35.0,4.47528,29.216923,7.9141,44.214557,46.0,15532.529907,
09/30/1993,110.064222,32.872137,57.75,44.75,5.070309,29.494617,8.183543,44.544803,53.5,16999.632965,
12/31/1993,,28.971986,57.625,50.0,4.675281,31.742994,7.649535,64.554774,50.5,16789.276325,
03/31/1994,,32.363965,54.25,48.75,4.371035,,7.123165,64.051251,49.5,16708.409245,
06/30/1994,19.14737,31.860258,54.125,46.375,4.327363,31.860258,6.712812,64.29247,51.75,16700.482868,
