Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,2137.924072,38.106998,38.106998,,589.304016,,,646.041016,,,,,2.839,,,,,1276.291016,818.072998,,,,43.560001,,,,43.560001,861.632999,,331.321991,331.321991,,,,254.104004,,,,,,50.293976,,,,50.293976,635.719971,644.882996,,,,,86.847,,,86.847,731.729996,1367.449966,0.44,260.19101,,,-0.303,,510.145987,770.473997,,770.473997,2137.923963,
07/29/1989,2238.329102,22.403999,22.403999,,622.174011,,,655.460022,,,,,3.889,,,,,1303.927002,884.835022,,,,49.567001,,,,49.567001,934.402023,,316.902008,316.902008,,,,292.994995,,,,,,30.238983,,,,30.238983,640.135986,676.179993,,,,,88.634003,,,88.634003,764.813995,1404.949982,0.44,305.674988,,,-0.303,,527.566977,833.378965,,833.378965,2238.328947,
10/28/1989,2578.625,30.643999,30.643999,,648.070007,,,933.281982,,,,,6.533,,,,,1618.529053,903.684021,,,,56.411999,,,,56.411999,960.09602,,503.984985,503.984985,,,,200.945999,,,,,,34.655014,,,,34.655014,739.585999,774.322998,,,,,88.634003,,,88.634003,862.957001,1602.542999,0.44,425.889008,,,-0.303,,550.055991,976.081998,,976.081998,2578.624998,
02/03/1990,2496.2771,54.081001,54.081001,,749.489014,,,716.054016,,,,,6.723,,,,,1526.347046,921.820007,1301.734009,-379.914001,,48.110001,,,,48.110001,969.930008,,202.194,202.194,,,,171.475006,,,,,,159.533997,,,,159.533997,533.203003,772.497009,,,,,95.856003,,,95.856003,868.353012,1401.556015,0.44,460.773987,,,-0.303,,633.810019,1094.721006,,1094.721006,2496.277021,
05/05/1990,2569.781006,43.958,43.958,,712.655029,,,820.242004,,,,,0.487,,,,,1577.342041,933.849976,,,,58.589001,,,,58.589001,992.438976,,367.203003,367.203003,,,,180.479004,,,,,,30.557007,,,,30.557007,578.239014,770.291016,,,,,95.856003,,,95.856003,866.147018,1444.386032,0.44,463.820007,,,-0.276,,661.41101,1125.395017,,1125.395017,2569.781049,
08/04/1990,2724.447,42.87,42.87,,761.069,761.069,,842.508,,,,,12.38,,,,,1658.827,1007.069,,,,58.551,,,,58.551,1065.62,,376.058,376.058,,,,296.015,,,,,,9.462,,,,9.462,681.535,792.477,,,,,95.856,,,95.856,888.333,1569.868,0.44,466.098,,,-0.289,,688.33,1154.579,,1154.579,2724.447,
11/03/1990,3152.894043,46.792,46.792,,795.070984,,,1183.500977,,,,,14.972,,,,,2040.33606,1051.047974,,,,61.509998,,,,61.509998,1112.557972,,614.228027,614.228027,,,,315.787994,,,,,,16.520966,,,,16.520966,946.536987,841.072021,,,,,95.856003,,,95.856003,936.928024,1883.465012,0.44,550.302979,,,-0.156,,718.841974,1269.428953,,1269.428953,3152.893964,
02/02/1991,3007.979004,38.215,38.215,,920.507996,,,889.333008,,,,,6.646,,,,,1854.702026,1088.753052,1545.229004,-456.476013,,64.524002,,,,64.524002,1153.277054,,269.940002,269.940002,,,,250.501007,,,,,,142.585969,,,,142.585969,663.026978,870.773987,,,,,109.292999,,,109.292999,980.066986,1643.093964,0.44,555.197998,,,-0.048,,809.295009,1364.885007,,1364.885007,3007.978971,
05/04/1991,3100.02002,48.347,48.347,,869.44397,,,983.547974,,,,,2.231,,,,,1903.569946,1129.406982,,,,67.042999,,,,67.042999,1196.449982,,435.274994,435.274994,,,,257.269012,,,,,,30.632019,,,,30.632019,723.176025,862.862976,,,,,109.292999,,,109.292999,972.155975,1695.332001,0.44,558.684998,,,0.0,,845.562988,1404.687986,,1404.687986,3100.019987,
08/03/1991,3084.279053,34.743999,34.743999,,854.14801,,,918.799011,,,,,9.219,,,,,1816.910034,1195.537964,,,,71.831001,,,,71.831001,1267.368965,,421.588989,421.588989,,,,145.479004,,,,,,12.367981,,,,12.367981,579.435974,951.22699,,,,,109.292999,,,109.292999,1060.519989,1639.955963,0.44,564.505981,,,0.0,,879.377014,1444.322996,,1444.322996,3084.278959,
