Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,1478.0,,-1106.0,,,372.0,,-182.0,,,,190.0,-177.0,161.0,176.0,-15.0,,-3.0,,19.0,13.0,-8.0,5.0,-10.0,,,15.0,-25.0,-10.0,-2.0,,-12.0,-12.0,,141.742432,-0.08,-0.15,0.91,141.742432,-0.08,-0.15,0.91,
06/30/2005,1506.0,,-1165.0,,,341.0,,-158.0,,,,183.0,-60.0,59.0,68.0,-9.0,,1.0,,0.0,123.0,-43.0,80.0,,,,80.0,-13.0,67.0,-2.0,,65.0,65.0,,158.530397,0.41,0.41,0.46,170.530397,0.39,0.39,0.44,
09/30/2005,1526.0,,-1240.0,,,286.0,,-166.0,,,,120.0,-43.0,65.0,72.0,-7.0,,2.0,,-24.0,77.0,-27.0,50.0,2.0,,,48.0,-3.0,45.0,-3.0,,42.0,42.0,,158.546594,0.26,0.27,0.42,171.93027,0.26,0.27,0.41,
12/31/2005,1523.0,,-1271.0,,,252.0,,-96.0,,,,156.0,5.0,,71.0,-7.0,,0.0,,-69.0,161.0,17.0,178.0,7.0,,,171.0,4.0,175.0,-3.0,0.0,172.0,172.0,,158.56,1.08,1.02,0.98,171.53,1.02,0.96,0.92,
03/31/2006,1498.0,,-1174.0,,,324.0,,-155.0,,,,169.0,-39.0,63.0,71.0,-8.0,,0.0,,-24.0,130.0,-34.0,96.0,-21.0,,,117.0,0.0,117.0,-3.0,0.0,114.0,114.0,,158.562161,0.72,0.59,0.59,171.487669,0.68,0.57,0.57,
06/30/2006,1457.0,,-1139.0,,,318.0,,-152.0,,,,166.0,-32.0,65.0,73.0,-8.0,,1.0,,-34.0,134.0,-38.0,96.0,-8.0,,,104.0,-1.0,103.0,-2.0,0.0,101.0,101.0,,158.562161,0.64,0.59,0.7,172.066546,0.6,0.55,0.65,
09/30/2006,1471.0,,-1150.0,,,321.0,,-144.0,,,,177.0,-27.0,63.0,73.0,-10.0,,2.0,,-38.0,150.0,-60.0,90.0,-21.0,,,111.0,-2.0,109.0,-3.0,0.0,106.0,106.0,,158.609246,0.67,0.54,0.73,171.176126,0.64,0.52,0.7,
12/31/2006,1656.0,,-1298.0,,,358.0,0.0,-170.0,135.0,,35.0,188.0,-14.0,65.0,76.0,-11.0,,-1.0,-27.0,-23.0,174.0,-94.0,80.0,2.0,,,78.0,-1.0,77.0,0.0,0.0,77.0,77.0,,158.7,0.47,0.48,0.48,172.5,0.45,0.46,0.46,
03/31/2007,1555.0,,-1214.0,,,341.0,,-133.0,,,,208.0,-37.0,58.0,72.0,-14.0,,0.0,,-21.0,171.0,-49.0,122.0,-79.0,,,201.0,0.0,201.0,-2.0,,199.0,199.0,,159.284888,1.25,0.75,0.83,174.442332,1.15,0.7,0.77,
06/30/2007,1556.0,,-1236.0,,,320.0,,-141.0,,,,179.0,-347.0,50.0,61.0,-11.0,,0.0,,297.0,-168.0,44.0,-124.0,-7.0,,,-117.0,0.0,-117.0,-3.0,0.0,-120.0,-120.0,,156.932929,-0.76,-0.81,0.73,156.932929,-0.76,-0.81,0.73,
