Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1996,84.005997,7.096,7.096,0.0,1.488,,,0.0,,,,,4.576,,,,,13.16,64.352997,81.182999,-16.83,0.0,6.493,,,,,6.493,70.845997,,7.145,7.145,,,,0.18,,,,,,0.0,,,,0.0,7.325,3.368,,,,,2.634,,,,,2.634,6.002,13.327,15.375,50.487,,,0.0,,4.817,70.678999,0.0,70.678999,84.005999,
06/30/1996,132.899994,3.085,3.085,0.0,2.837,,,0.0,,,,,6.307,,,,,12.229,112.302002,133.442001,-21.139999,0.0,8.369,,,,,8.369,120.671002,,13.288,13.288,,,,0.125,,,,,,0.0,,,,0.0,13.413,42.964001,,,,,3.506,,,,,3.506,46.470001,59.883001,15.759,51.226002,,,0.0,,6.032,73.017002,0.0,73.017002,132.900002,
09/30/1996,145.660995,6.611,6.611,0.0,2.793,,,0.0,,,,,7.6,,,,,17.004,119.161003,145.341003,-26.18,0.0,9.496,,,,,9.496,128.657003,,16.899,16.899,,,,0.087,,,,,,0.0,,,,0.0,16.986,46.867001,,,,,4.665,,,,,4.665,51.532001,68.518001,16.153,53.213001,,,0.0,,7.777,77.143001,0.0,77.143001,145.661002,
12/31/1996,166.505005,13.453,13.453,0.0,3.643,,,0.0,,,,,11.906,,,,,29.002001,134.996002,166.136993,-31.141001,0.0,2.507,,,,,2.507,137.503002,,10.903,10.903,,,,0.067,,,,,,5.55,,,,5.55,16.52,0.125,,,,,7.356,,,,,7.356,7.481,24.001,0.0,130.322998,,,0.0,,12.181,142.503998,0.0,142.503998,166.504998,
03/31/1997,175.255997,17.066,17.066,0.0,4.676,,,0.0,,,,,6.941,,,,,28.683001,143.802994,181.279007,-37.476002,0.0,2.77,,,,,2.77,146.572994,,12.902,12.902,,,,0.047,,,,,,3.446,,,,3.446,16.395,0.121,,,,,10.548,,,,,10.548,10.669,27.064001,0.0,130.796005,,,0.0,,17.396,148.192005,0.0,148.192005,175.256006,
09/30/1997,210.423996,2.236,2.236,0.0,14.507,,,0.0,,,,,7.097,,,,,23.84,183.382996,236.910004,-53.527,0.0,3.201,,,,,3.201,186.583996,,16.858,16.858,,,,0.023,,,,,,4.06,,,,4.06,20.941,20.004999,,,,,13.92,,,,,13.92,33.924999,54.865999,0.0,132.744003,,,0.0,,22.813999,155.558002,0.0,155.558002,210.424002,
12/31/1997,447.548004,9.326,9.326,0.0,15.362,,,0.0,,,,,8.692,,,,,33.380001,408.832001,471.563995,-62.731998,0.0,5.336,,,,,5.336,414.168001,,24.615999,24.615999,,,,0.02,,,,,,6.052001,,,,6.052001,30.688,240.0,,,,,16.636999,,,,,16.636999,256.636999,287.324999,0.0,133.139008,,,0.0,,27.084,160.223008,0.0,160.223008,447.548007,
06/30/1998,364.806,9.079,9.079,0.0,11.494,,,0.0,,,,,8.409,,,,,28.982,292.276001,547.8125,-255.541,0.0,43.548,,,,,43.548,335.824001,,30.183001,30.183001,,,,0.0,,,,,,6.657,,,,6.657,36.84,195.0,,,,,1.205,,,,,1.205,196.205,233.045,0.0,227.296005,,,0.0,,-95.535004,131.761002,0.0,131.761002,364.806002,
09/30/1998,369.352,4.25,4.25,,13.375,13.375,,,,,,,7.276,,,,,24.901,300.999,565.246,-264.247,,43.452,,,,,43.452,344.451,,23.222,23.222,,,,0.0,,,,,,0.0,,,,0.0,23.222,215.0,,,,,1.292,,,,,1.292,216.292,239.514,,227.796,,,0.0,-97.958,0.0,129.838,,129.838,369.352,
12/31/1998,212.858994,2.049,2.049,0.0,16.389999,,,0.0,,,,,5.495,,,,,23.934,180.664001,574.216003,-393.552002,0.0,8.261,0.0,,,,8.261,188.925001,,13.57,13.57,,,,0.0,,,,,,5.118,,,,5.118,18.688,225.0,,,,,1.436,,,,,1.436,226.436,245.124,0.0,227.796005,,,0.0,,-260.061005,-32.265,0.0,-32.265,212.859,
