Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Other Investments,Total Commercial Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,53462,1334,193,,0,1307.0,,50996.0,,,10.0,52313,-2274,50039,1191,936,,,0,50744,,,,,0.0,18804,,0.0,0.0,0.0,27815,0.0,0.0,27815,0.0,0.0,0.0,,2261,48880,0,4580,,,0.0,,,4580,0,4580,53460,
09/30/2013,55505,2670,233,233.0,0,,,,,,,53265,-2792,50473,1247,957,290.0,,0,882,,,,,,22162,,,,,15395,,,15395,,,,,12365,49922,0,5592,,5592.0,0.0,,-9.0,5583,0,5583,55505,
12/31/2013,59085,2319,236,236.0,0,1317.0,1317.0,55923.0,54958.0,965.0,14.0,57254,-2892,54362,1249,949,300.0,408.0,0,511,,,,,0.0,25719,0.0,0.0,0.0,0.0,15362,0.0,0.0,15362,0.0,0.0,0.0,748.0,11296,53125,0,0,0.0,0.0,0.0,0.0,5960.0,5960,0,5960,59085,
03/31/2014,59245,5331,265,265.0,0,1299.0,1299.0,52971.0,52008.0,963.0,15.0,54285,-2998,51287,1413,949,464.0,,0,949,,,,,,27358,,,,,14642,,,14642,,,,,11203,53203,0,6052,,,0.0,,-10.0,6042,0,6042,59245,
06/30/2014,63175,6782,298,298.0,0,1405.0,1405.0,53453.0,52406.0,1047.0,1473.0,56331,-3006,53325,1412,949,463.0,,0,1358,,,,,,30462,,,,,22973,,,22973,,,,,3347,56782,0,6400,1.0,6399.0,0.0,,-7.0,6393,0,6393,63175,
09/30/2014,73469,14808,325,325.0,0,1404.0,1404.0,55344.0,54263.0,1081.0,1512.0,58260,-3102,55158,1398,949,449.0,,0,1780,,,,,,32689,,,,,26179,,,26179,,,,,4660,63528,0,9402,1.0,9401.0,0.0,548.0,-9.0,9941,0,9941,73469,
12/31/2014,75707,11828,1598,1598.0,0,1320.0,1320.0,59943.0,58880.0,1063.0,355.0,61618,-3236,58382,1468,949,519.0,1373.0,0,1058,,34955.0,4625.0,30330.0,0.0,34955,0.0,,,,27460,,,27460,0.0,0.0,0.0,770.0,2044,65229,0,9409,1.0,9408.0,0.0,1079.0,-10.0,10478,0,10478,75707,
03/31/2015,72721,11218,3121,3121.0,0,1295.0,1295.0,56928.0,55866.0,1062.0,384.0,58607,-3255,55352,1506,949,557.0,,0,1524,,,,,0.0,34950,,,,,24060,,,24060,,,,,2675,61685,0,9419,1.0,9418.0,0.0,1631.0,-14.0,11036,0,11036,72721,
06/30/2015,75750,10621,3682,3682.0,0,1410.0,1410.0,59965.0,58827.0,1138.0,56.0,61431,-3302,58129,1524,949,575.0,,0,1794,,37772.0,6580.0,31192.0,0.0,37772,,,,,23692,,,23692,,,,,2708,64172,0,9423,1.0,9422.0,,2172.0,-17.0,11578,0,11578,75750,
09/30/2015,79442,12271,3596,3596.0,0,1380.0,1380.0,62091.0,60920.0,1171.0,49.0,63520,-3371,60149,1595,949,646.0,,0,1831,,40548.0,8269.0,32279.0,0.0,40548,,,,,23881,,,23881,,,,,2855,67284,0,9432,1.0,9431.0,0.0,2746.0,-20.0,12158,0,12158,79442,
12/31/2015,83990,12325,3142,3142.0,0,1323.0,1323.0,66927.0,65773.0,1154.0,40.0,68290,-3497,64793,1650,949,701.0,1611.0,0,469,,,,,0.0,43367,0.0,0.0,0.0,0.0,24279,0.0,0.0,24279,0.0,0.0,0.0,596.0,3144,71386,0,9352,1.0,9351.0,0.0,3293.0,-41.0,12604,0,12604,83990,
03/31/2016,81656,12500,2949,2949.0,0,1318.0,1318.0,64493.0,63309.0,1184.0,38.0,65849,-3620,62229,1651,949,702.0,,0,2327,,44977.0,10331.0,34646.0,0.0,44977,,,,,20476,,,20476,,,,,2999,68452,0,9360,1.0,9359.0,0.0,3875.0,-31.0,13204,0,13204,81656,
06/30/2016,82384,11787,2723,2723.0,0,1389.0,1389.0,66804.0,65511.0,1293.0,89.0,68282,-3894,64388,1653,949,704.0,,0,1833,,46427.0,11014.0,35413.0,0.0,46427,,,,,19295,,,19295,,,,,2947,68669,0,9371,1.0,9370.0,0.0,4364.0,-20.0,13715,0,13715,82384,
09/30/2016,87159,13588,3356,3356.0,0,1385.0,1385.0,69219.0,67858.0,1361.0,40.0,70644,-4115,66529,1682,949,733.0,,0,2004,,49815.0,12026.0,37789.0,0.0,49815,,,,,20167,,,20167,,,,,3196,73178,0,9382,1.0,9381.0,-238.0,4861.0,-24.0,13981,0,13981,87159,
12/31/2016,90207,9321,5110,5110.0,0,1333.0,1333.0,74964.0,73580.0,1384.0,40.0,76337,-4344,71993,1661,949,712.0,1976.0,0,146,,52055.0,13163.0,38892.0,0.0,52055,0.0,0.0,0.0,0.0,20147,0.0,0.0,20147,0.0,0.0,0.0,1343.0,2466,76011,0,9394,1.0,9393.0,-475.0,5330.0,-53.0,14196,0,14196,90207,
03/31/2017,89050,11392,5328,5328.0,0,1311.0,1311.0,71998.0,70587.0,1411.0,41.0,73350,-4676,68674,1818,992,826.0,,0,1838,,51605.0,14227.0,37378.0,0.0,51605,,,,,20194,,,20194,,,,,2888,74687,0,9406,1.0,9405.0,-712.0,5724.0,-55.0,14363,0,14363,89050,
06/30/2017,91140,12020,3997,3997.0,0,1386.0,1386.0,74006.0,72492.0,1514.0,66.0,75458,-5001,70457,1778,991,787.0,,0,2888,,52885.0,13669.0,39216.0,0.0,52885,,,,,20709,,,20709,,,,,3214,76808,0,9416,1.0,9415.0,-1144.0,6109.0,-49.0,14332,0,14332,91140,
09/30/2017,92548,13915,3317,3317.0,0,1384.0,1384.0,75507.0,73946.0,1561.0,37.0,76928,-5361,71567,1763,991,772.0,,0,1986,,54454.0,13665.0,40789.0,0.0,54454,,,,,19899,,,19899,,,,,3793,78146,0,9430,1.0,9429.0,-1531.0,6543.0,-40.0,14402,0,14402,92548,
12/31/2017,95808,11602,4488,4488.0,0,1303.0,1303.0,80604.0,79026.0,1578.0,40.0,81947,-5574,76373,1740,991,749.0,1566.0,0,39,,56488.0,13729.0,42759.0,0.0,56488,0.0,0.0,0.0,0.0,20799,0.0,0.0,20799,0.0,0.0,0.0,1314.0,2973,81574,0,9446,1.0,9445.0,-1957.0,6809.0,-64.0,14234,0,14234,95808,
03/31/2018,95559,13044,6259,6259.0,0,1275.0,1275.0,76542.0,74952.0,1590.0,36.0,77853,-5738,72115,1771,991,780.0,,0,2370,,56570.0,14033.0,42537.0,0.0,56570,,,,,21015,,,21015,,,,,3618,81203,0,9471,1.0,9470.0,-2363.0,7334.0,-86.0,14356,0,14356,95559,
06/30/2018,99122,15675,6779,6779.0,0,1356.0,1356.0,77461.0,75753.0,1708.0,62.0,78879,-5859,73020,1887,1024,863.0,,0,1761,,59011.0,13582.0,45429.0,0.0,59011,,,,,21721,,,21721,,,,,3932,84664,0,9487,1.0,9486.0,-2842.0,7906.0,-93.0,14458,0,14458,99122,
09/30/2018,104545,12068,7281,7281.0,0,1353.0,1353.0,86108.0,84319.0,1789.0,60.0,87521,-6223,81298,2129,1024,1105.0,,0,1769,,62317.0,13253.0,49064.0,0.0,62317,,,,,23741,,,23741,,,,,4491,90549,0,9471,1.0,9470.0,-3731.0,8355.0,-99.0,13996,0,13996,104545,
12/31/2018,106792,9396,6062,6062.0,0,1260.0,1260.0,91839.0,89994.0,1845.0,40.0,93139,-6427,86712,2161,1024,1137.0,1811.0,0,650,,64019.0,13085.0,50934.0,0.0,64019,0.0,0.0,0.0,0.0,23996,0.0,0.0,23996,0.0,0.0,0.0,1518.0,2581,92114,0,9483,1.0,9482.0,-3729.0,8986.0,-62.0,14678,0,14678,106792,
03/31/2019,105384,12963,5506,5506.0,0,1256.0,1256.0,79111.0,77251.0,1860.0,38.0,80405,-5942,74463,2335,1076,1259.0,,0,10117,,64060.0,13410.0,50650.0,0.0,64060,,,,,21891,,,21891,,,,,4724,90675,0,9490,1.0,9489.0,-4664.0,9939.0,-56.0,14709,0,14709,105384,
06/30/2019,106388,11755,6147,6147.0,0,1328.0,1328.0,80429.0,78446.0,1983.0,8135.0,89892,-5809,84083,2293,1078,1215.0,,0,2110,,65645.0,13301.0,52344.0,0.0,65645,,,,,21244,,,21244,,,,,4765,91654,0,9501,1.0,9500.0,-5351.0,10627.0,-43.0,14734,0,14734,106388,
09/30/2019,105943,11461,4584,4584.0,0,1317.0,1317.0,81838.0,79788.0,2050.0,8234.0,91389,-5607,85782,2255,1078,1177.0,,0,1861,,65972.0,13520.0,52452.0,0.0,65972,,,,,20363,,,20363,,,,,4488,90823,0,9521,1.0,9520.0,-5890.0,11533.0,-44.0,15120,0,15120,105943,
12/31/2019,104826,12147,5911,5911.0,0,1223.0,1223.0,85953.0,84606.0,1347.0,764.0,87940,-5602,82338,2343,1078,1265.0,1656.0,0,431,,65154.0,4938.0,60216.0,0.0,65154,0.0,0.0,0.0,0.0,19866,0.0,0.0,19866,0.0,0.0,0.0,1390.0,3328,89738,750,9522,1.0,9521.0,-7243.0,12117.0,-58.0,15088,0,15088,104826,
03/31/2020,98038,13704,6146,6146.0,0,1203.0,1203.0,81222.0,79832.0,1390.0,49.0,82474,-9175,73299,2286,1078,1208.0,,0,2603,,64615.0,4679.0,59936.0,0.0,64615,,,,,17248,,,17248,,,,,4205,86068,750,9508,1.0,9507.0,-8199.0,9960.0,-49.0,11970,0,11970,98038,
06/30/2020,96544,16344,6623,6623.0,0,1140.0,1140.0,77132.0,75353.0,1779.0,45.0,78317,-9802,68515,2244,1078,1166.0,,0,2818,,64148.0,5336.0,58812.0,0.0,64148,,,,,16069,,,16069,,,,,4428,84645,750,9517,1.0,9516.0,-8183.0,9852.0,-37.0,11899,0,11899,96544,
