Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5458.661133,1015.171021,1015.171021,0.0,1220.470947,,,915.601013,,,,,140.707993,,,3291.950928,1497.130005,2508.437988,-1011.307983,23.648001,645.932007,,,,645.932007,2166.710012,,223.761002,223.761002,,,,28.239,,,,728.609007,,728.609007,980.609009,1583.677002,,,,722.296997,,722.296997,2305.973999,3286.583008,0.155,725.11499,,,,,1446.807983,2172.077974,0.0,2172.077974,5458.660981,
06/30/1990,6115.243164,2329.210938,2329.210938,0.0,956.70697,,,838.880981,,,,,261.641998,,,4386.440918,1371.151978,2413.427002,-1042.275024,16.854,340.79599,,,,340.79599,1728.801968,,202.778,202.778,,,,22.177,,,,835.180986,,835.180986,1060.135986,1629.05603,,,,1138.47998,,1138.47998,2767.536011,3827.671997,0.152,749.023987,,,,,1538.39502,2287.571006,0.0,2287.571006,6115.243003,
09/30/1990,5990.907227,2024.233032,2024.233032,0.0,1148.534058,,,801.814026,,,,,240.776001,,,4215.356934,1405.385986,2486.216064,-1080.829956,0.0,370.164001,,,,370.164001,1775.549988,,206.990997,206.990997,,,,14.954,,,,858.592966,,858.592966,1080.537964,1285.047974,,,,1145.426025,,1145.426025,2430.473999,3511.011963,0.142,768.151978,,,,,1711.600952,2479.89493,0.0,2479.89493,5990.906893,
12/31/1990,5637.106934,1788.534058,1788.534058,0.0,1021.406982,,,795.869019,,,,,220.264999,,,3826.074951,1437.390015,2532.822021,-1095.432007,0.0,373.641998,,,,373.641998,1811.032013,,240.039001,240.039001,,,,13.331,,,,775.324945,,775.324945,1028.694946,776.586975,,,,1156.603027,,1156.603027,1933.190002,2961.884948,0.143,788.179993,,,,,1886.899048,2675.222041,0.0,2675.222041,5637.106989,
03/31/1991,5429.567871,1627.366943,1627.366943,0.0,1048.78894,,,777.833008,,,,,179.399002,,,3633.387939,1436.753052,2558.263916,-1121.510986,0.0,359.427002,,,,359.427002,1796.180054,,235.852997,235.852997,,,,13.436,,,,792.022038,,792.022038,1041.311035,350.584991,,,,1163.357056,,1163.357056,1513.942047,2555.253082,0.139,838.643982,,,,,2035.531982,2874.314964,0.0,2874.314964,5429.568047,
06/30/1991,5427.625977,1670.16394,1670.16394,0.0,1006.97998,,,794.963989,,,,,183.076004,,,3655.184082,1432.531982,2564.167969,-1131.635986,0.0,339.910004,,,,339.910004,1772.441986,,235.600006,235.600006,,,,242.572998,,,,815.63205,,815.63205,1293.805054,106.246002,,,,1165.045044,,1165.045044,1271.291046,2565.0961,0.135,862.958984,,,,,1999.436035,2862.53002,0.0,2862.53002,5427.626119,
09/30/1991,5774.879883,1833.369019,1833.369019,0.0,1191.921021,,,777.633972,,,,,183.891006,,,3986.814941,1447.60498,2603.731934,-1156.126953,0.0,340.459991,,,,340.459991,1788.064972,,250.194,250.194,,,,177.119995,,,,941.437958,,941.437958,1368.751953,98.615997,,,,1207.819946,,1207.819946,1306.435944,2675.187897,0.132,897.127991,,,,,2202.431885,3099.691875,0.0,3099.691875,5774.879772,
12/31/1991,5938.796875,2064.603027,2064.603027,0.0,1024.162964,,,842.044006,,,,,188.246994,,,4119.057129,1476.840942,2659.231934,-1182.390991,0.0,342.898987,,,,342.898987,1819.739929,,314.453003,314.453003,,,,5.26,,,,950.422007,,950.422007,1270.13501,104.709999,,,,1263.405029,,1263.405029,1368.115028,2638.250038,0.128,943.307007,,,,,2357.112061,3300.547068,0.0,3300.547068,5938.797106,
03/31/1992,6312.193848,1833.675049,1833.675049,0.0,1068.980957,,,866.075989,,,,,182.233002,,,3950.965088,1532.880005,2760.558105,-1227.677979,0.0,828.348999,,,,828.348999,2361.229004,,316.773987,316.773987,,,,6.225,,,,1011.363074,,1011.363074,1334.362061,104.143997,,,,1465.420044,,1465.420044,1569.564041,2903.926102,0.122,974.119019,,,,,2434.0271,3408.268118,0.0,3408.268118,6312.19422,
06/30/1992,6435.390137,1730.06604,1730.06604,0.0,1124.844971,,,928.361023,,,,,218.395004,,,4001.666992,1585.412964,2849.253906,-1263.840942,0.0,848.309998,,,,848.309998,2433.722961,,332.783997,332.783997,,,,10.672,,,,1020.398007,,1020.398007,1363.854004,355.90799,,,,1228.890991,,1228.890991,1584.798981,2948.652985,0.117,970.754028,,,,,2298.219971,3269.090999,217.645996,3486.736995,6435.38998,
09/30/1992,7009.72998,1693.482056,1693.482056,0.0,1381.702026,,,938.038025,,,,,227.453003,,,4240.674805,1694.436035,3004.858887,-1310.422974,0.0,1074.619019,,,,1074.619019,2769.055054,,353.108002,353.108002,,,,136.533005,,,,1146.556015,,1146.556015,1636.197021,364.039001,,,,1259.639038,,1259.639038,1623.67804,3259.875061,0.114,986.387024,,,,,2541.154053,3527.655077,222.199997,3749.855074,7009.730135,
12/31/1992,7141.404785,1982.363983,1692.760986,289.602997,1250.541016,,,944.567993,,,,,374.604004,,,4552.077148,1777.791016,3056.893066,-1279.102051,0.0,811.536987,,,,811.536987,2589.328003,,366.985992,366.985992,,,,11.162,,,,1114.569049,,1114.569049,1492.717041,601.934021,,,,1259.062988,,1259.062988,1860.997009,3353.71405,0.108,1057.504028,,,,,2504.977051,3562.589079,225.102005,3787.691084,7141.405134,
03/31/1993,7290.23877,1955.162994,1664.828003,290.334991,1345.94104,,,964.85498,,,,,350.559998,,,4616.519043,1824.328003,3139.459961,-1315.131958,0.0,849.392029,,,,849.392029,2673.720032,,372.877014,372.877014,,,,13.67,,,,1103.275007,,1103.275007,1489.822021,850.38501,,,,1488.151978,,1488.151978,2338.536987,3828.359009,0.107,1056.223022,,,0.0,,2405.550049,3461.880071,0.0,3461.880071,7290.23908,
06/30/1993,7301.496094,1895.182007,1589.364014,305.817993,1334.536987,,,1004.388,,,,,316.199005,,,4550.306152,1906.060059,3263.558105,-1357.498047,0.0,845.130005,,,,845.130005,2751.190063,,335.584991,335.584991,,,,7.252,,,,1094.323043,,1094.323043,1437.160034,859.919983,,,,1206.621948,,1206.621948,2066.541931,3503.701965,0.104,1080.848999,,,0.0,,2491.779053,3572.732052,225.061996,3797.794048,7301.496014,
09/30/1993,7485.600098,1933.889984,1644.177979,289.712006,1506.083984,,,964.765015,,,,,273.552002,,,4678.291016,1983.515015,3368.791016,-1385.276001,0.0,823.794006,,,,823.794006,2807.309021,,344.127014,344.127014,,,,3.432,,,,1180.916938,,1180.916938,1528.475952,863.14502,,,,1190.192993,,1190.192993,2053.338013,3581.813965,0.102,1094.269043,,,0.0,,2616.826904,3711.197947,192.587997,3903.785945,7485.59991,
12/31/1993,7687.353027,2220.282989,1936.833984,283.449005,1389.555054,,,958.895996,,,,,238.949997,,,4807.684082,2059.785034,3460.36499,-1400.579956,0.0,819.883972,,,,819.883972,2879.669006,,388.803986,388.803986,,,,4.28,,,,1191.327025,,1191.327025,1584.411011,859.278015,,,,1168.546021,,1168.546021,2027.824036,3612.235047,0.1,1118.353027,,,,,2758.034912,3876.487939,198.630005,4075.117944,7687.352991,
03/31/1994,7684.336914,2041.475983,1760.182983,281.292999,1456.021973,,,1009.604004,,,,,249.837997,,,4756.939941,2090.129883,3534.334961,-1444.204956,0.0,837.267029,,,,837.267029,2927.396912,,400.253998,400.253998,,,,2.222,,,,1203.320999,,1203.320999,1605.796997,860.692017,,,,1118.407959,,1118.407959,1979.099976,3584.896973,0.099,1108.77002,,,,,2793.084961,3901.95398,197.485992,4099.439973,7684.336946,
06/30/1994,7773.986816,1905.624054,1645.493042,260.131012,1609.744995,,,1055.474976,,,,,287.411987,,,4858.255859,2086.834961,3578.030029,-1491.194946,0.0,828.895996,,,,828.895996,2915.730957,,403.48999,403.48999,,,,3.151,,,,1307.409059,,1307.409059,1714.050049,861.284973,,,,1055.60498,,1055.60498,1916.889954,3630.940002,0.097,1110.541992,,,,,2835.577881,3946.216873,196.830002,4143.046875,7773.986877,
09/30/1994,8069.795898,2030.063004,1776.359009,253.703995,1677.850952,,,1059.036987,,,,,287.595001,,,5054.545898,2164.128906,3698.803955,-1534.675049,0.0,851.120972,,,,851.120972,3015.249878,,365.42099,365.42099,,,,3.145,,,,1451.839039,,1451.839039,1820.405029,863.52301,,,,1067.505005,,1067.505005,1931.028015,3751.433044,0.095,1109.449951,,,,,3004.020996,4113.565947,204.796997,4318.362944,8069.795989,
12/31/1994,21674.8125,1944.17398,1696.203979,247.970001,2380.72998,,,2246.149902,,,,,1250.192017,,,7821.246094,3811.930175,5458.075195,-1646.14502,0.0,10041.635742,,,,10041.635742,13853.565917,,1042.468018,1042.468018,,,,113.283997,,,,3462.333923,,3462.333923,4618.085938,9973.240234,,,,2505.967041,,2505.967041,12479.207275,17097.293213,0.091,1122.651978,,,,,3131.35791,4254.100888,323.417999,4577.518887,21674.8121,
