Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/28/2007,1222.022973,396.345994,680.305009,679.122009,1.183,-283.959015,825.676979,0.0,,,,126.071999,699.60498,-195.386002,1026.636971,-655.176025,0.0,655.176025,371.460999,0.0,0.0,371.460999,-137.828995,,,,233.632004,0.0,,,233.632004,0.0,233.632004,0.0,0.0,233.632004,233.632004,,477.235992,0.49,0.49,0.49,477.235992,0.49,0.49,0.49,
05/31/2007,1164.02,334.234,637.656,636.362,1.294,-303.422,829.786,0.0,,,,94.156,735.63,-144.676,1019.344,-623.758,0.0,623.758,395.586,0.0,0.0,395.586,-145.33,,,,250.256,41.014,,,209.242,0.0,209.242,0.0,0.0,209.242,209.242,,477.236,0.44,0.52,0.52,477.236,0.44,0.52,0.52,
08/31/2007,1161.787,357.74,674.864,673.498,1.366,-317.124,804.047,-0.004,,,,109.463,694.588,-145.827,1015.96,-625.884,0.0,625.884,390.076,0.0,0.0,390.076,-145.925,,,,244.151,41.911,,,202.24,0.0,202.24,0.0,0.0,202.24,202.24,,477.272,0.42,0.51,0.51,480.071,0.42,0.51,0.51,
11/30/2007,1261.259,308.759,659.676,659.676,0.0,-350.917,952.5,0.0,,,,0.0,952.5,-296.186,965.073,-636.731,0.0,636.731,328.342,0.0,0.0,328.342,-118.368,,,,209.974,266.458,,,-56.484,0.0,-56.484,0.0,0.0,-56.484,-56.484,,477.567,-0.12,0.44,0.44,477.567,-0.12,0.44,0.44,
02/29/2008,1298.905,323.361,662.802,656.815,5.987,-339.441,975.544,0.0,,,,107.102,868.442,-305.632,993.273,-602.343,0.0,602.343,390.93,0.0,0.0,390.93,-152.101,,,,238.829,157.615,,,81.214,0.0,81.214,0.0,0.0,81.214,81.214,,478.518,0.17,0.5,0.5,481.744,0.17,0.5,0.5,
05/31/2008,1143.707,298.815,612.063,600.437,11.626,-313.248,844.892,-31.28,,,,71.688,804.484,-210.969,932.738,-606.825,0.0,606.825,325.913,0.0,0.0,325.913,-124.37,,,,201.543,-32.605,,,234.148,0.0,234.148,0.0,0.0,234.148,234.148,,479.27,0.49,0.42,0.42,483.753,0.48,0.42,0.42,
08/31/2008,1251.17,376.049,681.692,667.32,14.372,-305.643,875.121,-5.325,,,,72.697,807.749,-364.838,886.332,-612.547,0.0,612.547,273.785,0.0,0.0,273.785,-94.885,,,,178.9,-1.153,,,180.053,0.0,180.053,0.0,0.0,180.053,180.053,,479.618,0.38,0.38,0.38,484.128,0.37,0.37,0.37,
11/30/2008,1975.235,406.334,736.006,736.006,0.0,-329.672,1568.901,0.0,,,,0.0,1568.901,-714.176,1261.059,-594.082,0.0,594.082,666.977,0.0,0.0,666.977,-223.336,,,,443.641,11.306,,,432.335,0.0,432.335,0.0,0.0,432.335,432.335,,479.931,0.9,0.92,0.92,484.558,0.89,0.92,0.92,
02/28/2009,1693.029,503.073,815.793,800.209,15.584,-312.72,1189.956,-0.805,0.0,-0.805,0.0,80.859,1109.902,-937.813,755.216,-559.123,0.0,559.123,196.093,0.0,0.0,196.093,-75.699,272.462,-196.763,,120.394,0.0,0.0,0.0,120.394,0.0,120.394,0.0,-2.014,118.38,118.38,-308.64665,480.497,0.25,0.25,-0.395979,480.497,0.25,0.25,-0.395979,
05/31/2009,1619.099,537.979,857.984,840.024,17.96,-320.005,1081.12,-1.012,0.0,-1.012,0.0,64.029,1018.103,-643.861,975.238,-560.628,0.0,560.628,414.61,0.0,0.0,414.61,-188.81,234.976,-46.166,,225.8,0.0,0.0,0.0,225.8,0.0,225.8,-13.266,-3.288,209.246,209.246,-307.30375,481.636,0.43,0.43,-0.203593,481.636,0.43,,-0.638041,
