Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2008,388.332,,,-110.764,,277.568,0.0,-141.624,,55.898,,85.726,135.944,-4.052,,5.821,,,-3.676,1.907,131.892,-43.12,88.772,0.0,,,88.772,-22.267,66.505,,0.0,66.505,66.505,,163.466,0.41,0.41,0.41,163.466,0.41,0.41,0.41,
06/30/2008,406.46,,,-118.632,,287.828,0.0,-125.182,,47.082,,78.1,162.646,-26.749,,5.273,,,-5.083,26.559,135.897,-58.647,77.25,-0.455,,,77.705,-24.433,53.272,0.0,0.0,53.272,53.272,,163.466,0.33,0.32,0.34,163.466,0.33,0.32,0.34,
09/30/2008,364.187,,,-124.099,,240.088,0.0,-123.052,,39.019,,84.033,117.036,4.332,,2.199,,,-5.418,-1.113,121.368,-43.841,77.527,0.879,,,76.648,-19.321,57.327,0.0,0.0,57.327,57.327,,163.152,0.35,0.36,0.36,164.472,0.35,0.35,0.35,
12/31/2008,405.341,,,-223.06,,182.281,,-17.682,,,,,164.599,-242.437,0.914,0.898,0.0,0.0,,241.539,-80.047,-48.951,-126.789,0.388,,,-129.386,-26.37,-153.547,0.0,0.0,-153.547,-153.547,,163.338,-0.94,-0.94,0.03,163.338,-0.94,-0.94,0.03,
03/31/2009,355.776,225.375,130.401,-119.811,119.811,235.965,0.0,-115.214,,34.604,18.401,62.209,120.751,2.116,,0.337,,,-2.093,-0.36,122.867,-41.401,81.466,1.567,1.567,0.0,79.899,-19.771,60.128,0.0,0.0,60.128,61.74115,0.04615,163.516,0.37,0.38,0.377585,163.907,0.37,0.38,0.377585,
06/30/2009,391.272,263.042,128.23,-128.337,128.337,262.935,0.0,-116.293,,35.231,19.503,61.559,146.642,5.709,,0.399,,,-5.868,-0.24,152.351,-47.504,104.847,0.994,0.994,0.0,103.853,-24.329,79.524,0.0,0.0,79.524,81.8167,1.2987,163.954,0.49,0.49,0.499022,164.396,0.48,0.49,0.4979,
09/30/2009,364.461,238.189,126.272,-127.442,127.442,237.019,0.0,-114.319,,31.08,20.666,62.573,122.7,3.267,,0.285,,,-4.873,1.321,125.967,-41.544,84.423,-0.676,-0.676,0.0,85.099,-19.779,65.32,0.0,0.0,65.32,65.7477,1.1037,165.329,0.4,0.39,0.397678,165.736,0.39,0.39,0.396659,
12/31/2009,429.739,429.739,,-277.721,277.721,152.018,0.0,-24.442,,,22.9,1.542,127.576,-8.504,,1.789,,,-5.792,12.507,119.072,-31.025,88.047,-27.976,-27.976,0.0,116.023,-21.669,94.354,0.0,0.0,94.354,99.4903,33.1123,165.608,0.57,0.4,0.600758,165.608,0.57,0.4,0.599944,
03/31/2010,469.393,289.163,180.23,-166.527,166.527,302.866,0.0,-159.307,,56.422,31.447,71.438,143.559,-2.902,,8.481,,,-6.176,0.597,140.657,-44.875,95.782,0.0,0.0,0.0,95.782,-23.324,72.458,0.0,0.0,72.458,82.6292,10.1712,167.031,0.44,0.44,0.494694,167.031,0.43,0.43,0.490894,
06/30/2010,478.73,332.208,146.522,-168.079,168.079,310.651,0.0,-114.688,,24.417,24.79,65.481,195.963,-0.548,,9.291,,,-8.366,-0.377,195.415,-61.884,133.531,-8.174,-8.174,0.0,141.705,-35.497,106.208,0.0,0.0,106.208,104.38515,6.35115,166.683,0.64,0.59,0.62625,167.802,0.63,0.58,0.617849,
09/30/2010,466.885,317.092,149.793,-162.825,162.825,304.06,0.0,-109.071,,22.633,21.761,64.677,194.989,-2.732,,8.774,,,-6.94,0.898,192.257,-55.803,136.454,0.317,0.317,0.0,136.137,-34.444,101.693,0.0,0.0,101.693,104.26485,2.25485,166.731,0.61,0.61,0.625348,167.791,0.61,0.61,0.623438,
12/31/2010,505.291,505.291,,-279.073,279.073,226.218,0.0,-21.997,,,21.747,0.25,204.221,-0.899,,8.621,,,-8.644,0.922,203.322,-55.388,147.934,-7.451,-7.451,0.0,155.385,-24.772,130.613,0.0,0.0,130.613,130.4095,7.2475,169.22,0.77,0.73,0.770651,169.22,0.77,0.73,0.770651,
03/31/2011,480.831,322.676,158.155,-60.331,60.331,420.5,0.0,-214.827,,30.009,21.561,163.257,205.673,1.09,,8.615,,,-9.658,-0.047,206.763,-62.211,144.552,-0.765,-0.765,0.0,145.317,-44.792,100.525,0.0,0.0,100.525,99.7704,0.0104,168.426,0.6,0.59,0.592369,169.694,0.59,0.59,0.590061,
06/30/2011,533.984,374.049,159.935,-123.297,123.297,410.687,0.0,-158.763,136.586,,22.174,0.003,251.924,4.869,,8.576,,,-13.024,-0.421,256.793,-79.472,177.321,55.465,55.465,0.0,121.856,-44.427,77.429,0.0,0.0,77.429,132.89595,0.00195,168.815,0.46,0.79,0.787228,170.048,0.46,0.78,0.780011,
