Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
10/31/1989,,43.563,51.278999,28.968,131.106995,254.917007,,,,,,,,,,,,,,,,,
01/31/1990,,44.573002,53.41,4.661,-94.944,7.7,,,,,,,,,,,,,,,,,
04/30/1990,,45.16,56.467999,-2.905,75.449997,174.173004,,,,,,,,,,,,,,,,,
07/31/1990,,45.515999,53.696999,35.222,-80.839996,53.595001,,,,,,,,,,,,,,,53.595001,,
10/31/1990,,39.588001,53.063999,22.358,-39.445,75.565002,,,,,,,,,,,,,,,,,
01/31/1991,,40.304001,55.764,6.798,-1.813,101.053001,,,,,,,,,,,,,,,,,
04/30/1991,,41.994999,54.943001,-2.004,2.638,97.571999,,,,,,,,,,,,,,,,,
07/31/1991,,-58.383999,56.063,119.420998,-50.228001,66.872002,,,,,,,,,,,,,,,66.872002,,
10/31/1991,,41.519001,55.014999,14.004,115.940002,226.477997,,,,,,,,,,,,,,,,,
01/31/1992,,43.285,67.128998,34.492001,-174.638,-29.732,,,,,,,,,,,,,,,,,
04/30/1992,,44.681999,67.483002,-53.554001,-7.859,50.751999,,,,,,,,,,,,,,,,,
07/31/1992,,44.499001,,-235.675003,167.186996,-23.989,,,,,,,,,,,,,,,,,
10/31/1992,,-74.357002,27.41,9.328,31.389,-6.23,,,,,,,,,,,,,,,,,
01/31/1993,,44.433998,26.747999,133.608994,-37.599998,167.190994,,,,,,,,,,,,,,,,,
04/30/1993,,49.458,26.549999,-169.261993,-3.309,-96.563004,,,,,,,,,,,,,,,,,
07/31/1993,,45.651001,26.672001,48.48,291.569,412.372009,,,,,,,,,,,,,,,412.372009,,
10/31/1993,,35.016998,25.059999,-4.049,166.792999,222.820999,,,,,,,,,,,,,,,,,
01/31/1994,,-151.300003,24.216999,130.403,-50.443001,-47.123001,,,,,,,,,,,,,,,,,
03/31/1994,,22.788,24.614,1.515,25.188,74.105003,,,,,,,,,,,,,,,,,
07/31/1994,,-59.009998,24.552999,75.942001,-98.802002,-57.317001,,,,,,,,,,,,,,,-57.317001,,
10/31/1994,,32.077999,23.392,4.946,29.767,90.182999,,,-14.37,,,,,,,,,,,,,,
01/31/1995,,28.598,23.597,-15.116,35.598999,72.678001,,,-28.473,,,,,,,,,,,,,,
04/30/1995,,35.638,24.839001,-4.138,1.268,57.606998,,,-29.618,,,,,,,,,,,,,,
07/31/1995,,38.701,23.528,36.341999,-45.832001,52.738998,-25.82,,-25.82,,,,,,,,,,,,26.918998,,
10/31/1995,,36.678001,24.122,-7.036,58.146999,111.911003,,,-12.785,,,,,,,,,,,,,,
01/31/1996,,32.73,25.497999,18.371,-90.487,-13.888,,,-18.645,,,,,,,,,,,,,,
04/30/1996,,38.834,30.961,-2.725,-23.687,43.382999,,,-22.316999,,,,,,,,,,,,,,
07/31/1996,,42.658001,33.251999,-24.91,-122.528,-71.528,-39.271999,,-39.271999,,,,,,,,,,,,-110.799999,,
10/31/1996,,39.806,34.165001,-1.413,21.252001,93.809998,,,-21.909,,,,,,,,,,,,,,
01/31/1997,,36.179001,33.108002,11.329,-151.067001,-70.450996,,,-22.790001,,,,,,,,,,,,,,
04/30/1997,,41.992001,34.692001,-26.158001,62.198002,112.723999,,,-23.851999,,,,,,,,,,,,,,
07/31/1997,,44.008999,35.536999,-36.769001,44.019001,86.795998,-44.502998,,-44.502998,,,,,,,,,,,,42.293,,
10/31/1997,,43.445,34.388,-3.382,-18.051001,56.400002,-16.069,0.0,-19.360001,0.0,0.0,3.291,-3.7,0.0,-2.553,0.0,0.0,0.0,0.0,-1.147,36.631001,,
01/31/1998,,40.619999,35.171001,-8.942,-171.669998,-104.820999,-42.383999,4.566,-23.438999,0.0,0.0,-23.511,114.991997,0.0,115.097,0.0,0.0,0.0,0.0,-0.105,-32.213001,,
04/30/1998,,46.818001,38.264,-13.356,102.452003,174.177994,-465.713989,1.113,-29.952,0.0,0.0,-436.875,327.20401,0.0,37.446999,296.838989,0.0,0.0,0.0,-7.082,35.667999,,
07/31/1998,,50.487,39.733002,-16.212,20.863001,94.871002,-6.888,41.530998,-42.914001,0.0,0.0,-5.505,-116.038002,0.0,-58.543999,0.0,0.0,0.0,-47.448002,-10.046,-28.055,,
10/31/1998,,47.229,39.838001,-11.262,-89.442001,-13.637,24.645,0.0,-20.839001,0.0,0.0,45.484001,13.219,0.0,33.852001,0.0,0.0,0.0,-20.975,0.342,24.226999,,
01/31/1999,,43.976002,40.096001,-13.192,-54.099998,16.780001,-44.365002,0.0,-34.422852,0.0,0.0,-9.942,64.653999,0.0,71.125,0.0,0.0,0.0,-8.51,2.039,37.069,,
04/30/1999,,50.868999,39.703999,-12.892,-26.570999,51.110001,-110.896004,0.0,-31.479,0.0,0.0,-79.417,69.233002,0.0,67.237999,0.0,0.0,15.232,-8.647,-4.59,9.447,,
07/31/1999,,-21.49,40.984001,45.733002,124.303001,189.529999,-31.315001,15.076,-37.986,0.0,0.0,-8.405,-214.440002,0.0,-298.516998,82.740997,0.0,4.214,0.0,-2.878,-56.224998,,
10/31/1999,,55.539001,28.82,-15.844,-64.574997,3.94,-563.370972,0.0,-23.451,0.0,0.0,-539.919983,585.429016,0.0,193.164993,397.127014,0.0,0.0,0.0,-4.863,25.997999,,
01/31/2000,,36.848,66.858002,-34.613998,-89.266998,-20.174999,-11.825,0.0,-35.583,0.0,0.0,23.757999,29.764,0.0,31.598,0.0,-0.235,1.11,0.0,-2.709,-2.236,,
04/30/2000,,61.799999,49.352001,-33.467999,8.959,86.642998,93.070999,0.0,-41.719002,0.0,0.0,134.789993,-189.729004,0.0,-193.822998,0.0,-0.043,5.784,-8.409,6.762,-10.015,,
07/31/2000,,69.765999,44.438999,-34.396,99.950996,179.759995,-93.483002,25.875,-82.421997,0.0,0.0,-36.936001,-113.938004,0.0,-101.375,0.0,0.0,0.0,-9.928,-2.635,-27.660999,,
10/31/2000,,44.862,29.966,18.250999,-65.727997,27.351,-29.294001,0.0,-32.803001,0.0,0.0,3.509,34.646,0.0,37.671001,0.0,0.0,0.0,0.0,-3.025,32.702999,,
01/31/2001,,49.679001,61.708,-80.515999,-37.919998,-7.049,-38.882999,0.0,-48.701,0.0,0.0,9.818,54.733002,0.0,41.893002,0.0,0.0,14.289,0.0,-1.449,8.801,,
