Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
04/29/1989,718.044006,721.515991,721.515991,,1.336931,0.17968,0.123859,0.0625,0.0625,,0.0625,0.0625,0.0625,0.02,0.000524,,,,0.016864,1.363205,,
07/29/1989,718.452026,722.247986,722.247986,,1.371114,0.217391,0.162158,0.08625,0.08625,,0.08625,0.08625,0.08625,0.02,0.143136,,,,0.037396,1.433152,,
10/28/1989,718.856018,723.44397,723.44397,,1.534948,0.26247,0.206703,0.11625,0.11625,,0.11625,0.11625,0.11625,0.02,0.07312,,,,0.023283,1.531099,,
02/03/1990,719.200012,719.028015,719.028015,,2.20098,0.435912,0.374439,0.21125,0.21125,,0.21125,0.21125,0.21125,0.02,0.34433,,,,0.03022,1.724769,,
05/05/1990,719.971985,724.099976,724.099976,,1.529271,0.212895,0.154093,0.085,0.085,,0.085,0.085,0.085,0.03,0.072632,,,,0.027961,1.781453,,
08/04/1990,720.271973,725.432007,725.432007,,1.591551,0.255491,0.194214,0.11,0.11,,0.11,0.11,0.11,0.03,0.072816,,,,0.016097,1.862921,,
11/03/1990,720.469971,723.021973,723.021973,,1.725941,0.274502,0.208949,0.115,0.115,,0.115,0.115,0.115,0.03,-0.038506,,,,0.022365,1.953758,,
02/02/1991,721.200012,723.799988,723.799988,,2.409103,0.475204,0.406181,0.24,0.24,0.24,0.24,0.24,0.24,0.03,0.479271,,,,0.018275,2.163134,,
05/04/1991,722.041992,726.643982,726.643982,,1.767691,0.20128,0.130229,0.07,0.07,,0.07,0.07,0.07,0.035,0.050729,,,,0.019943,2.201132,,
08/03/1991,722.504028,726.869995,726.869995,,1.891927,0.268158,0.193328,0.11,0.11,,0.11,0.11,0.11,0.035,0.07603,,,,0.018116,2.281825,,
11/02/1991,723.19397,727.059998,727.059998,,1.971518,0.261248,0.185241,0.1,0.1,,0.1,0.1,0.1,0.035,0.012937,,,,0.013899,2.349068,,
02/01/1992,723.599976,723.396972,723.396972,,2.842338,0.558859,0.473965,0.275,0.275,0.275,0.275,0.275,0.275,0.035,0.51715,,,,0.046621,2.593687,,
05/02/1992,724.093994,727.809998,727.809998,,1.945047,0.204125,0.118851,0.07,0.07,,0.07,0.07,0.07,0.035,0.070856,,,,0.024312,2.663342,,
08/01/1992,724.583984,726.512024,726.512024,,2.05006,0.268264,0.196423,0.11,0.11,,0.11,0.11,0.11,0.035,0.095005,,,,0.023477,2.740589,,
10/31/1992,724.947998,726.994019,726.994019,,2.216414,0.292163,0.199768,0.11,0.11,,0.11,0.11,0.11,0.035,0.014709,,,,0.031291,2.821924,,
01/30/1993,725.29602,725.12201,725.12201,,3.348344,0.663079,0.571301,0.335,0.335,0.335,0.335,0.335,0.335,0.035,0.858949,,,,0.056853,3.126471,,
05/01/1993,725.719177,728.107971,728.107971,,2.085626,0.211448,0.117413,0.06,0.06,,0.06,0.06,0.06,0.045,-0.045265,,,,0.083408,3.143289,,
07/31/1993,725.909607,727.778015,727.778015,,2.320838,0.270488,0.173534,0.095,0.095,,0.095,0.095,0.095,0.045,0.079134,,,,0.087336,3.192926,,
10/31/1993,726.096008,726.994019,726.994019,,2.223769,0.29624,0.208401,0.115,0.115,,0.115,0.115,0.115,0.045,0.137714,,,,0.236783,3.263278,,
01/29/1994,715.60199,722.302002,722.302002,,3.351514,0.559482,0.464695,0.27,0.27,0.27,0.27,0.27,0.27,0.045,0.447719,,,,0.447956,3.411523,,
04/30/1994,716.05603,717.125977,717.125977,,2.066064,0.221925,0.127132,0.065,0.065,,0.065,0.065,0.065,0.045,-0.091185,,,,0.22221,3.434399,,
07/31/1994,716.291992,717.268005,717.268005,,2.21032,0.226158,0.142577,0.075,0.075,,0.075,0.075,0.075,0.045,0.065175,,,,0.151126,3.467894,,
10/29/1994,715.359985,717.762024,717.762024,,2.389617,0.327376,0.230636,0.125,0.125,,0.125,0.125,0.125,0.045,-0.162544,,,,0.081839,3.545605,,
01/28/1995,715.200012,716.650024,716.650024,,3.542306,0.712388,0.61398,0.36,0.36,0.36,0.36,0.36,0.36,0.045,0.692652,,,,0.339457,3.860397,,
04/29/1995,714.638,715.950012,715.950012,,2.218219,0.208908,0.111768,0.055,0.055,,0.055,0.055,0.055,0.05,-0.166573,-0.262771,,,0.083912,3.862929,,
