Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,,14.116,0,120.498001,88.283997,101.949997,324.847992,163.246002,338.257996,-175.011993,93.294998,256.541,581.388977,,62.813,38.763,93.652,195.227997,510.498993,83.415001,593.913994,789.141991,0.0,,11.741,-219.494003,-207.753003,581.388988,
07/01/1990,,11.802,0,132.932007,89.629997,37.945999,272.309998,165.063004,334.666992,-169.604004,87.511002,252.574005,524.883972,,70.338997,35.134998,101.047997,206.522003,453.085999,83.220001,536.306,742.828003,0.0,,11.741,-229.684998,-217.943997,524.884006,
09/30/1990,,31.705,0,136.005997,88.244003,31.525999,287.480988,165.451004,342.906006,-177.455002,87.144997,252.596001,540.077026,,67.583,41.133999,103.613998,212.330994,464.27301,86.792999,551.06601,763.397003,0.0,,11.741,-235.061005,-223.320004,540.076999,
12/30/1990,,18.473,0,134.940994,84.866997,27.167999,265.449005,166.613007,349.208008,-182.595001,86.934998,253.548005,518.997009,,60.634998,34.615002,100.179001,195.429001,460.0,73.374001,533.374001,728.803002,0.0,17.002001,11.741,-238.548996,-209.805995,518.997007,
03/31/1991,,7.745,0,125.940002,82.462997,26.215,242.363007,160.5,342.450989,-181.951004,82.271004,242.771004,485.134003,,63.217999,37.124001,88.752998,189.095001,442.57901,87.022003,529.601013,718.696014,,,11.741,-245.302994,-233.561994,485.134021,
06/30/1991,,10.416,0,113.129997,77.185997,23.254999,223.987,154.406006,337.072998,-182.667007,81.750999,236.157005,460.144012,,58.352001,31.905001,85.642998,175.899994,435.042999,86.755997,521.798996,697.69899,0.0,,11.741,-249.296005,-237.555005,460.143985,
09/29/1991,,12.51,0,120.112,72.478996,23.337,228.438004,154.240997,344.235992,-189.994995,80.564003,234.805,463.243011,,60.055,28.537001,87.490997,176.082993,434.13501,89.801003,523.936012,700.019005,0.0,,11.741,-248.516998,-236.775998,463.243007,
12/29/1991,,10.541,0,128.005997,75.922997,20.591,235.061005,157.955994,356.166992,-198.210999,85.050003,243.005997,478.066986,,63.411999,21.805,88.497002,173.714005,449.635986,76.889,526.524986,700.238991,0.0,17.292999,11.741,-251.205994,-222.171995,478.066996,
03/29/1992,,13.126,0,121.019997,71.774002,20.625,226.544998,154.393005,353.233002,-198.839996,83.863998,238.257004,464.802002,,56.063,22.018,83.721001,161.802002,451.230988,93.875999,545.106987,706.908989,0.0,,11.741,-253.848007,-242.107007,464.801982,
06/28/1992,,52.627998,0,126.634003,77.356003,23.485001,280.102997,155.666,363.708008,-208.042007,83.459,239.125,519.228027,,63.662998,5.85,91.833,161.345993,439.520996,93.639999,533.160995,694.506989,39.368,,48.077,-262.723999,-175.278999,519.227989,
