Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Associates,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2938.929932,188.934006,541.627991,,,455.694012,,,,,590.156006,,,932.718018,,,,,131.427994,1654.302002,-60.023998,1594.277954,51.43,,,,,,,,0.0,106.965969,,432.786987,1886.397034,1046.088013,840.309021,0.0,2319.184082,274.199005,,,,,,95.564003,,,,,,,,81.474998,2770.422089,0.0,47.291,,,0.0,,121.217003,168.508003,0.0,168.508003,2938.930092,
06/30/1990,3084.570068,218.621002,539.848999,,,488.479012,,,,,656.088013,,,961.552002,,,,,152.160995,1769.801025,-59.319,1710.482056,50.813,,,,,,,,0.0,76.326,,469.716003,2012.557068,1073.243042,939.314026,0.0,2482.272949,285.575989,,,,,,95.397003,,,,,,,,48.362,2911.607941,0.0,47.808998,,,0.0,,125.153,172.961998,0.0,172.961998,3084.569939,
09/30/1990,3111.436035,224.216995,511.911987,,,633.333008,,,,,650.952026,,,872.703979,,,,,153.490997,1677.146973,-58.066002,1619.081055,51.775002,,,,,,,,0.0,71.117989,,461.787994,2013.32605,1104.019043,909.307007,0.0,2475.114014,314.67099,,,,,,95.098,,,,,,,,48.604,2933.487003,0.0,48.130001,,,0.0,,129.819,177.949001,0.0,177.949001,3111.436005,
12/31/1990,3559.070068,288.311005,819.125977,,,712.808006,,,,,668.710999,,,846.169983,,,,,167.018997,1681.900024,-59.014999,1622.88501,51.698002,,,,,,,,0.0,64.242068,,524.096985,2013.23999,1116.531006,896.708984,0.0,2537.336914,698.307007,,,,,,89.915001,,,,,,,,50.004002,3375.562924,0.0,48.131001,,,0.0,,135.376007,183.507008,0.0,183.507008,3559.069932,
03/31/1991,3273.534912,194.115997,662.299011,,,690.11702,,,,,662.458984,,,845.327026,,,,,162.451004,1670.237061,-59.846001,1610.390991,51.925999,,,,,,,,0.0,64.685894,,417.786987,2043.960999,1134.552979,909.40802,0.0,2461.748047,485.906006,,,,,,90.155998,,,,,,,,47.526001,3085.336052,0.0,48.191002,,,0.0,,140.007996,188.198997,0.0,188.198997,3273.535049,
06/30/1991,3273.413086,218.054001,603.721008,,,717.635971,,,,,664.247986,,,856.094971,,,,,156.882996,1677.225952,-57.421001,1619.805054,51.624001,,,,,,,,0.0,62.573051,,445.243011,2065.402954,1170.011963,895.390991,0.0,2510.645996,436.024994,,,,,,85.447998,,,,,,,,47.272999,3079.391987,0.0,48.984001,,,0.0,,145.037003,194.021004,0.0,194.021004,3273.412991,
09/30/1991,3408.090088,225.414001,621.445984,,,820.610001,,,,,692.546997,,,831.525024,,,,,163.626999,1687.698975,-60.474998,1627.223999,51.386002,,,,,,,,0.0,62.010101,,454.390991,2139.269043,1238.717041,900.552002,0.0,2593.659912,482.429993,,,,,,85.120003,,,,,,,,46.867001,3208.076908,0.0,50.016998,,,0.0,,149.996002,200.013,0.0,200.013,3408.089909,
12/31/1991,3645.834961,235.725006,688.263977,,,941.980026,,,,,700.51001,,,869.06897,,,,,162.806,1732.38501,-56.263,1676.121948,50.319,,,,,,,,0.0,53.425004,,520.312988,2138.20105,1295.207031,842.994019,0.0,2658.513916,599.276001,,,,,,128.153,,,,,,,,53.258999,3439.201916,0.0,50.831001,,,0.0,,155.802002,206.633003,0.0,206.633003,3645.834919,
03/31/1992,3493.011963,200.574005,515.671021,,,998.584991,,,,,683.945007,,,895.276001,,,,,151.050003,1730.270996,-55.235001,1675.036011,51.195999,,,,,,,,0.0,51.949936,,468.64801,2203.127991,1385.339966,817.788025,0.0,2671.775879,482.298004,,,,,,75.593002,,,,,,,,50.471001,3280.137886,0.0,51.623001,,,0.0,,161.251007,212.874008,0.0,212.874008,3493.011894,
06/30/1992,3633.191895,203.505005,527.112976,,,1071.327988,,,,,698.700012,,,936.299011,,,,,152.882004,1787.880981,-58.296001,1729.584961,52.346001,,,,,,,,0.0,49.314964,,492.984009,2184.240051,1400.874023,783.366028,0.0,2677.224121,620.586975,,,,,,75.188004,,,,,,,,39.643002,3412.642101,0.0,52.112,,,0.0,,168.438004,220.550003,0.0,220.550003,3633.192104,
09/30/1992,3579.560059,202.281006,421.214996,,,1055.743011,,,,,722.783997,,,973.242981,,,,,161.768997,1857.796021,-58.937,1798.859009,52.287998,,,,,,,,0.0,49.174038,,547.174011,2146.640015,1447.494019,699.145996,0.0,2693.813965,478.955994,,,,,,127.500999,,,,,,,,48.787998,3349.058956,0.0,52.259998,,,0.0,,178.240997,230.500996,0.0,230.500996,3579.559952,
12/31/1992,3779.26709,270.02301,614.184021,,,1135.471039,,,,,561.330017,,,992.54303,,,,,157.231995,1711.10498,-57.085999,1654.019043,54.352001,,,,,,,,0.0,51.217976,,595.505005,2169.319031,1501.286011,668.03302,0.0,2764.823975,578.103027,,,,,,149.238998,,,,,,,,44.554001,3536.720001,0.0,52.526001,,,0.0,,190.020996,242.546997,0.0,242.546997,3779.266998,
