Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2000,337.0,,,,-289.0,,,48.0,2.0,,22.0,-15.0,0.0,,-9.0,50.0,-27.0,23.0,0.0,,,23.0,-6.0,17.0,0.0,0.0,17.0,17.0,,45.677621,0.37086,0.37086,0.58278,45.677621,0.37086,0.37086,0.58278,
06/30/2000,295.0,,,,-284.0,,,11.0,-7.0,,22.0,-16.0,0.0,,1.0,4.0,-4.0,0.0,0.0,,,0.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,,45.677621,-0.10596,-0.10596,0.05298,45.677621,-0.10596,-0.10596,0.05298,
09/30/2000,275.0,,,,-267.0,,,8.0,-14.0,,23.0,-18.0,0.0,,9.0,-6.0,3.0,-3.0,0.0,,,-3.0,-5.0,-8.0,0.0,0.0,-8.0,-8.0,,45.677621,-0.18543,-0.18543,0.13245,45.677621,-0.18543,-0.18543,0.13245,
12/31/2000,330.0,,,,-294.0,,,36.0,-19.0,,22.0,-19.0,0.0,,16.0,17.0,-5.0,12.0,0.0,,,12.0,-7.0,5.0,0.0,0.0,5.0,5.0,,46.432623,0.10596,0.10596,0.39735,46.432623,0.10596,0.10596,0.39735,
03/31/2001,359.0,,,,-286.0,,,73.0,4.0,,21.0,-16.0,0.0,,-9.0,77.0,-31.0,46.0,0.0,,,46.0,-7.0,39.0,0.0,0.0,39.0,39.0,,46.810124,0.82119,0.82119,0.98013,49.830132,0.7947,0.7947,0.95364,
06/30/2001,319.0,,,,-275.0,,,44.0,-4.0,,21.0,-18.0,0.0,,1.0,40.0,-16.0,24.0,0.0,,,24.0,-7.0,17.0,0.0,0.0,17.0,17.0,,48.320128,0.34437,0.34437,0.50331,52.095138,0.31788,0.31788,0.47682,
09/30/2001,309.0,,,,-274.0,,,35.0,-127.0,,21.0,-16.0,0.0,,122.0,-92.0,11.0,-81.0,0.0,,,-81.0,0.0,-81.0,0.0,0.0,-81.0,-81.0,,55.115146,-1.45695,-1.45695,0.42384,55.115146,-1.45695,-1.45695,0.42384,
12/31/2001,370.0,,,,-287.0,,,83.0,-25.0,,19.0,-17.0,0.0,,23.0,58.0,-26.0,32.0,0.0,,,32.0,-5.0,27.0,0.0,0.0,27.0,27.0,,55.115146,0.47682,0.47682,0.90066,62.287665,0.42384,0.42384,0.7947,
03/31/2002,436.0,,,,-305.0,,,131.0,-14.0,2.0,17.0,-15.0,0.0,,12.0,117.0,-43.0,74.0,0.0,,,74.0,-6.0,68.0,0.0,0.0,68.0,68.0,,55.492647,1.21854,1.21854,1.40397,60.022659,1.13907,1.13907,1.3245,
06/30/2002,393.0,,,,-302.0,,,91.0,-77.0,-1.0,17.0,-18.0,0.0,,78.0,14.0,-20.0,-6.0,0.0,,,-6.0,-1.0,-7.0,0.0,0.0,-7.0,-7.0,,55.492647,-0.13245,-0.13245,0.92715,63.042667,-0.13245,-0.13245,0.92715,
