Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2012,,,,,,,,,,,,,,,0.0,,,,,,
06/30/2012,,,,,,,,,,,,,,,0.0,,,,,,
09/30/2012,,,,,,,,,,,,,,,0.0,,,,,,
12/31/2012,705.3,,,,,,,,,,,,,,0.0,,,1.891394,6.493691,4.805047,
03/31/2013,,,,,,,,,,,,,,,0.0,,,,,,
06/30/2013,,705.271,705.271,,3.984284,3.731899,1.50155,1.213718,0.76,0.76,0.76,0.76,0.76,0.76,0.0,1.678787,1.678787,,,,
09/30/2013,705.0,705.0,705.0,,4.255319,3.995745,1.743262,1.448227,0.91,0.91,0.91,0.91,0.91,0.91,0.0,2.502128,2.502128,3.787234,7.919149,6.150355,
12/31/2013,705.3,705.3,705.3,,4.490288,4.223735,1.285978,0.981143,0.63,0.63,0.63,0.63,0.63,0.63,0.0,1.623423,1.623423,3.287963,8.450305,6.679427,
03/31/2014,705.3,705.0,705.0,,4.323404,4.053901,1.575887,1.262411,0.79,0.79,0.79,0.79,0.79,0.79,0.0,2.513475,2.513475,7.558486,8.566567,6.563165,
06/30/2014,705.270833,705.3,705.3,,4.307387,4.015313,1.420672,1.083227,0.67,0.67,0.67,0.67,0.67,0.67,0.0,1.739685,1.739685,9.616164,9.064603,7.062535,
09/30/2014,833.764589,782.0,782.0,,4.116368,3.804348,1.558824,1.124041,0.7,0.7,0.7,0.7,0.7,0.7,0.0,5.491049,5.491049,17.760409,11.92303,10.246297,
12/31/2014,833.764589,834.3,833.8,,4.104102,3.765891,1.403214,1.023027,0.64,0.64,0.64,0.64,0.64,0.64,0.0,1.254497,1.254497,14.186259,12.567096,10.806408,
03/31/2015,833.764589,835.0,834.0,,3.898082,3.568345,1.432854,1.058753,0.66,0.66,0.66,0.66,0.66,0.66,0.0,1.996403,1.996403,13.454637,13.23635,11.430085,
06/30/2015,833.764963,835.0,834.0,,3.953237,3.629496,1.408873,1.032374,0.65,0.65,0.65,0.65,0.65,0.65,0.0,1.574341,1.574341,12.738602,13.886407,12.058554,
09/30/2015,833.824286,835.8,833.8,,4.168865,3.82226,1.503958,1.102183,0.69,0.69,0.69,0.69,0.69,0.69,0.0,1.579515,1.579515,14.71653,14.58101,12.668137,
12/31/2015,833.82834,835.5,833.8,,4.312785,3.951787,1.458383,1.041017,0.66,0.66,0.66,0.65,0.65,0.65,0.0,2.265531,2.265531,14.78122,15.115821,13.136997,
03/31/2016,833.830398,835.5,833.8,,4.331974,3.958983,1.550732,1.112977,0.7,0.7,0.7,0.7,0.7,0.7,0.0,1.798993,1.798993,14.991058,15.835355,13.855336,
06/30/2016,833.920699,836.2,833.9,,4.314666,3.951313,1.35268,0.924571,0.59,0.59,0.59,0.58,0.58,0.58,0.0,1.7652,1.7652,14.134438,16.446408,14.464205,
09/30/2016,825.4644,830.6,828.4,,4.683728,4.303477,1.610333,1.162482,0.73,0.73,0.73,0.73,0.73,0.73,0.13,2.190971,2.190971,16.461037,16.937133,14.899492,
12/31/2016,817.352328,823.8,820.5,,4.914077,4.525289,1.562462,1.106642,0.7,0.7,0.7,0.7,0.7,0.7,0.13,2.101158,2.101158,11.403895,17.368275,15.336104,
03/31/2017,810.804845,817.1,813.1,,4.926823,4.525889,1.435248,0.961751,0.61,0.61,0.61,0.61,0.61,0.61,0.13,1.820194,1.820194,14.050237,17.714497,15.472281,
06/30/2017,795.324028,807.4,804.0,,5.008706,4.594527,1.467662,0.9801,0.62,0.62,0.62,0.61,0.61,0.61,0.13,2.144279,2.144279,15.113337,18.020328,15.784761,
09/30/2017,782.58405,790.9,787.3,,5.473136,5.019688,1.657564,1.116474,0.7,0.7,0.7,0.7,0.7,0.7,0.15,3.287184,3.287184,17.780838,18.403135,16.150342,
12/31/2017,770.531433,783.4,778.0,,5.595116,5.113111,1.692802,1.124679,0.494859,0.494859,0.700514,0.491448,0.491448,0.695685,0.15,3.577121,3.577121,15.05714,18.472965,16.214783,
