Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,268,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,378,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,374,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,447,176,697.0,-354.0,,-354.0,-72.0,,,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.0,,,
03/31/1991,280,133,194.0,34.0,,34.0,-81.0,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,386,153,192.0,-37.0,,-37.0,78.0,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,326,-406,189.0,438.0,,438.0,105.0,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,400,184,173.0,29.0,,29.0,14.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,
03/31/1992,270,145,206.0,-35.0,,-35.0,-46.0,,,,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,349,206,204.0,-54.0,,-54.0,-7.0,,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,527,185,223.0,42.0,,42.0,77.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,514,192,276.0,-34.0,,-34.0,80.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.0,,,
03/31/1993,179,-11,235.0,114.0,,114.0,-159.0,,,,-159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,420,198,231.0,11.0,,11.0,-20.0,,,,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,511,108,245.0,90.0,,90.0,68.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,453,235,238.0,-3.0,,-3.0,-17.0,,,,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,,,
03/31/1994,263,283,248.0,-24.0,,-24.0,-244.0,,,,-244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,638,220,261.0,-11.0,,-11.0,168.0,,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,512,-213,224.0,649.0,,649.0,-148.0,,,,-148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,496,256,272.0,-234.0,,-234.0,202.0,,,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,250,191,138.0,45.0,,45.0,-124.0,,,,-124.0,,,-178.0,,,,-178.0,,,,,,,,,,178.0,,,,,,,,,,,,,,,
