Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2003,276.792999,,,,,,,,,,,,,,,,,,,,,,,,,,20.313,,,20.313,20.313,,,,,,,,,,
06/30/2003,276.138,,,,,,,,,,,,,,,,,,,,,,,,,,13.98,,,13.98,13.98,,,,,,,,,,
09/30/2003,269.565002,,,,,,,,,,,,,,,,,,,,,,,,,,9.919,,,9.919,9.919,,,,,,,,,,
12/31/2003,277.748993,,,,,,,,,,,,,,,,,,,,,,,,,,16.245001,,,16.245001,16.245001,,,,,,,,,,
03/31/2004,270.93399,,,,,,,,,,,,,,,,,,,,,,,,,,13.209,,,13.209,13.209,,,,,,,,,,
06/30/2004,272.023987,,,,,,,,,,,,,,,,,,,,,,,,,,4.963,,,4.963,4.963,,,,,,,,,,
09/30/2004,270.723999,,,,,,,,,,,,,,,,,,,,,,,,,,2.102,,,2.102,2.102,,,,,,,,,,
12/31/2004,271.20401,,,,,,,,,,,,,,,,,,,,,,,,,,9.889,,,9.889,9.889,,,,,,,,,,
03/31/2005,350.470001,,,,-317.100006,,,,,33.369999,10.593,,0.0,,,0.0,,-10.593,43.962999,-18.809,25.153999,0.0,,,25.153999,0.865,26.018999,0.0,0.0,26.018999,26.018999,,,,,,,,,,
06/30/2005,404.811005,,,,-396.105011,,,,,8.706,12.92,,0.0,,,0.0,,-12.92,21.626,-7.415,14.211,0.0,,,14.211,-1.225,12.986,0.0,0.0,12.986,12.986,,,,,,,,,,
09/30/2005,452.403015,,,,-428.869995,,,,,23.533001,13.366,,0.0,,,0.0,,-13.366,36.899001,-14.064,22.834999,0.0,,,22.835001,-0.835,22.0,0.0,0.0,22.0,22.0,,,,,,,,,,
12/31/2005,276.811,,,,-261.508,,,,,15.303,-26.128,,0.0,,,0.0,,26.128,-10.825,-8.655,-19.48,0.0,,,-19.48,-0.777,-20.257,0.0,0.0,-20.257,-20.257,,155.5,-0.13027,-0.13027,-0.13027,155.5,-0.13027,-0.13027,-0.13027,
03/31/2006,454.936,,,,-439.107,,,,,15.829,34.786,,0.0,0.0,,0.0,,-34.786,50.615,-19.723,30.892,0.0,,,30.892,-0.544,30.348,0.0,0.0,30.348,30.348,,125.958,0.24,0.24,0.34,127.194,0.24,0.24,0.34,
06/30/2006,660.0,,,,-566.0,,,,,94.0,7.0,1.0,1.0,0.0,,0.0,,-8.0,101.0,-39.0,62.0,0.0,,,62.0,-1.0,61.0,0.0,0.0,61.0,61.0,6.0,156.0,0.39,0.39,0.43,157.0,0.39,0.39,0.42,
09/30/2006,602.0,,,,-508.0,,,,,94.0,21.0,1.0,1.0,0.0,,0.0,,-22.0,115.0,-46.0,69.0,0.0,,,69.0,-1.0,68.0,0.0,0.0,68.0,68.0,,156.0,0.43,0.43,0.43,157.0,0.43,0.43,0.43,
