Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2004,,81466,69128,7238,0.0,547,0.0,4553,2252,3382,5455,13981,106536,,3458,3438,59549,901,74863,1573.0,,516,12159,89111,0.0,0.0,0.0,8426,8999,17425,106536,
06/30/2004,,60631,48857,6908,0.0,352,0.0,4514,1384,19553,4989,12349,98906,,3180,3329,59935,723,67167,2037.0,,3115,15510,87829,0.0,0.0,0.0,10599,478,11077,98906,
09/30/2004,,64774,52098,7092,0.0,360,0.0,5224,1398,19210,4867,11825,102074,,3251,3306,60716,717,67990,2002.0,,3115,16781,89888,0.0,0.0,0.0,10609,1577,12186,102074,
12/31/2004,,65747,53242,7275,0.0,374,0.0,4856,1392,19268,5020,12451,103878,,3329,3597,61698,9522,78146,559.0,849.0,4042,16300,99896,,,,10612,2254,12866,112762,
03/31/2005,,65210,52706,7511,,355,,4638,1461,19369,5212,12440,103692,,3376,3580,62098,9285,78339,2857.0,,2440,7436,91072,100.0,,,10625,1895,12620,103692,
06/30/2005,,66347,53446,8092,0.0,359,0.0,4450,1518,19285,5165,12173,104488,,3343,3417,62519,9413,78692,2383.0,,3016,6791,90882,100.0,0.0,0.0,10651,2855,13606,104488,
09/30/2005,,66537,53595,8625,0.0,366,0.0,3951,1834,19080,5391,12847,105689,,3315,3567,63786,9441,80109,167.0,,5571,6514,92361,0.0,0.0,0.0,10651,2677,13328,105689,
12/31/2005,,66910,53937,8908,0.0,206,0.0,3859,1875,18978,5586,12305,105654,,3364,3647,63749,9613,80373,2212.0,,3436,6323,92344,0.0,0.0,0.0,10671,2639,13310,105654,
03/31/2006,,65706,53559,9216,0.0,193,0.0,2738,1909,18791,5817,12684,104907,,3279,3706,63632,10143,80760,2530.0,,3429,5710,92429,0.0,0.0,0.0,10682,1796,12478,104907,
06/30/2006,,64031,52316,9688,0.0,187,0.0,1840,2351,18452,6042,12770,103646,,3297,3956,63614,10109,80976,295.0,,5591,4574,91436,0.0,0.0,0.0,10713,1497,12210,103646,
09/30/2006,,67335,54280,9813,,192,,3050,2302,18421,6166,13623,107847,,3389,4180,63593,10593,81755,2745.0,,3430,6608,94538,,,,10737,2572,13309,107847,
12/31/2006,,68573,54684,9846,0.0,197,0.0,3846,2436,17525,6183,16154,110871,,3114,4229,63450,10875,81668,199.0,,6786,8888,97541,0.0,0.0,0.0,10759,2571,13330,110871,
03/31/2007,,69077,55113,10002,0.0,200,0.0,3762,2250,17556,6320,16355,111558,,3216,4422,63477,11591,82706,250.0,,6797,8497,98250,0.0,0.0,0.0,10785,2523,13308,111558,
06/30/2007,,69646,55567,10433,0.0,201,0.0,3445,2956,17355,6677,15302,111936,,3286,5073,64062,12330,84751,199.0,,7410,6610,98970,0.0,0.0,0.0,11430,1536,12966,111936,
09/30/2007,,70314,55775,10489,0.0,247,0.0,3803,3146,17376,6842,16080,113758,,3473,5511,63717,12950,85651,326.0,,7344,7120,100441,0.0,0.0,0.0,11441,1876,13317,113758,
12/31/2007,,70800,55154,10604,0.0,366,0.0,4676,3091,17256,7034,16134,114315,,3693,5631,63653,12798,85775,200.0,,7358,7504,100837,0.0,0.0,0.0,11462,2016,13478,114315,
03/31/2008,,69504,53031,10476,0.0,394,0.0,5603,3768,17361,7330,15631,113594,,4011,5653,63938,12151,85753,200.0,,7421,7495,100869,0.0,0.0,0.0,11474,1251,12725,113594,
06/30/2008,,67289,51887,10379,0.0,409,0.0,4614,5861,17250,7530,16285,114215,,4418,5758,64371,12356,86903,200.0,,7986,6781,101870,0.0,0.0,0.0,11483,862,12345,114215,
09/30/2008,,64215,48724,10269,,309,,4913,5102,17557,7681,15006,109561,,4776,5345,63582,11097,84800,78.0,,7985,6200,99063,0.0,0.0,0.0,11485,-987,10498,109561,
12/31/2008,,60612,42871,10096,0.0,234,0.0,7411,7328,17948,7786,13715,107389,,5322,4734,63235,9215,82506,1133.0,,7716,7108,98463,0.0,0.0,0.0,11478,-2552,8926,107389,
03/31/2009,,57485,41319,9865,0.0,221,0.0,6080,7064,18219,7716,13661,104145,,5815,4482,61959,8576,80832,930.0,,7574,6580,95916,0.0,0.0,0.0,11486,-3257,8229,104145,
06/30/2009,,59838,44322,9959,0.0,252,0.0,5305,5374,18051,7591,13972,104826,,6250,4734,60372,9605,80961,930.0,,6927,6038,94856,0.0,0.0,0.0,11493,-1523,9970,104826,
09/30/2009,,61971,47746,9112,0.0,164,0.0,4949,7144,18025,7414,14278,108832,,6415,4808,58632,10712,80567,930.0,,6900,6990,95387,0.0,1028.0,0.0,12029,388,13445,108832,
12/31/2009,,63515,49752,8902,0.0,159,0.0,4702,5002,18023,7341,14306,108187,,6567,4714,57939,11002,80222,930.0,,7084,6601,94837,0.0,1074.0,0.0,12035,241,13350,108187,
03/31/2010,,65872,52040,9296,0.0,564,0.0,3972,3466,18108,7252,14395,109093,,6389,4571,57793,11261,80014,930.0,,7626,6498,95068,0.0,1134.0,0.0,12065,826,14025,109093,
06/30/2010,,67211,53386,9210,0.0,573,0.0,4042,4586,17975,7170,13410,110352,,6302,4238,58267,10284,79091,730.0,,8293,7191,95305,0.0,1116.0,0.0,12079,1852,15047,110352,
09/30/2010,,71208,56356,8931,0.0,601,0.0,5320,3598,17983,7055,14856,114700,,6448,4492,58472,11063,80475,730.0,,8312,9112,98629,0.0,1069.0,0.0,12085,2917,16071,114700,
