Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Source: Bloomberg
08/31/1980,,,,1.784722,1.527778,,
11/30/1980,,,,2.256944,1.527778,,
02/28/1981,,,,2.388889,1.972222,,
05/31/1981,,,,2.354167,2.027778,,
08/31/1981,,,,2.645833,2.145833,,
11/30/1981,,,,2.875,2.222222,,
02/28/1982,,,,2.916667,2.527778,,
05/31/1982,,,,3.194444,2.472222,,
08/31/1982,,,,2.805556,2.25,,
11/30/1982,2.847222,,3.0,3.083333,2.277778,,
02/28/1983,2.722222,-4.390244,2.861111,2.916667,2.361111,,
05/31/1983,2.833333,4.081633,2.722222,3.083333,2.611111,,
08/31/1983,3.444444,21.568627,2.861111,3.805556,2.805556,,
11/30/1983,3.361111,-2.419355,3.472222,3.638889,3.055556,,
02/29/1984,3.138889,-6.61157,3.333333,3.722222,2.916667,,
05/31/1984,2.777778,-11.504425,3.138889,3.305556,2.583333,,
08/31/1984,3.444444,24.0,2.805556,3.444444,2.75,,
11/30/1984,3.458333,0.403226,3.416667,3.583333,3.027778,,
02/28/1985,3.527778,2.008032,3.472222,3.805556,3.305556,,
05/31/1985,3.805556,7.874016,3.527778,3.888889,3.277778,,
08/31/1985,3.833333,0.729927,3.777778,4.166667,3.611111,,
11/30/1985,3.638889,-5.072464,3.861111,3.861111,3.416667,,
02/28/1986,4.194444,15.267176,3.611111,4.375,3.583333,,
05/31/1986,4.805556,14.569536,4.194444,4.805556,4.111111,,
08/31/1986,3.944444,-17.919075,4.777778,4.861111,3.555556,,
11/30/1986,3.583333,-9.15493,3.944444,3.944444,3.277778,,
02/28/1987,3.777778,5.426357,3.583333,3.861111,3.25,,
05/31/1987,3.805556,0.735294,3.75,4.138889,3.722222,,
08/31/1987,3.972222,4.379562,3.833333,4.458333,3.694444,,
11/30/1987,3.027778,-23.776224,3.972222,4.305556,2.666667,,
02/29/1988,3.75,23.853211,3.0,3.75,2.972222,,
05/31/1988,3.5,-6.666667,3.722222,4.055556,3.305556,,
08/31/1988,3.916667,11.904762,3.5,4.333333,3.5,,
11/30/1988,3.472222,-11.347518,3.916667,3.916667,3.277778,,
02/28/1989,3.861111,11.2,3.444444,4.055556,3.444444,,
05/31/1989,4.472222,15.827338,3.861111,4.555556,3.805556,,
08/31/1989,4.638889,3.726708,4.472222,4.805556,4.305556,,
11/30/1989,4.638889,0.0,4.611111,5.027778,4.388889,1302.140716,
02/28/1990,4.569444,-1.497006,4.611111,5.277778,4.305556,1279.768854,
05/31/1990,4.902778,7.294833,4.611111,5.083333,4.333333,1373.125852,
08/31/1990,4.416667,-9.915014,4.888889,4.916667,4.138889,1229.26871,
11/30/1990,4.027778,-8.805031,4.472222,4.722222,3.472222,1093.336225,
02/28/1991,5.277778,31.034483,4.111111,5.305556,3.513889,1435.59248,
05/31/1991,5.944444,12.631579,5.25,5.944444,5.0,1616.877007,
08/31/1991,5.805556,-2.336449,5.861111,5.916667,5.222222,1578.994948,
11/30/1991,6.722222,15.789474,5.722222,7.277778,5.527778,1827.947042,
02/29/1992,7.194444,7.024793,6.722222,8.277778,6.583333,1962.24877,
05/31/1992,8.555556,18.918919,7.277778,8.555556,6.861111,2333.408066,
08/31/1992,8.833333,3.246753,8.666667,9.666667,7.694444,2392.287553,
11/30/1992,8.166667,-7.54717,9.083333,10.083333,7.5,2211.688564,
02/28/1993,9.041667,10.714286,8.333333,9.333333,7.916667,2455.219358,
05/31/1993,8.5,-5.990783,8.916667,9.583333,8.041667,2281.026089,
08/31/1993,10.916667,28.431373,8.5,11.25,8.166667,2929.258283,
11/30/1993,11.916667,9.160305,10.916667,12.916667,10.416667,3194.226715,
02/28/1994,12.25,2.797203,11.916667,13.5,11.541667,3264.759676,
05/31/1994,11.5,-6.122449,12.416667,12.583333,10.75,3026.443485,
08/31/1994,10.416667,-9.42029,11.458333,12.083333,9.833333,2694.218625,
11/30/1994,11.333333,8.8,10.5,11.75,10.0,2874.190125,
02/28/1995,11.25,-0.735294,11.25,12.916667,10.916667,2856.026287,
05/31/1995,13.083333,16.296296,11.166667,13.083333,10.833333,3300.296986,
08/31/1995,14.333333,9.55414,13.0,15.166667,12.916667,3589.941,
11/30/1995,19.125,33.430233,14.291667,19.125,14.25,4790.066597,
02/29/1996,17.958333,-6.100218,19.0,20.041667,16.416667,4482.076763,
05/31/1996,18.833333,4.87239,17.875,19.0,17.083333,4662.040997,
08/31/1996,18.375,-2.433628,18.75,19.083333,16.583333,4541.693625,
11/30/1996,23.25,26.530612,18.291667,24.666667,18.041667,5745.65625,
02/28/1997,22.708333,-2.329749,23.333333,24.208333,21.291667,5601.509933,
05/31/1997,23.208333,2.201835,22.666667,24.5,19.25,5724.776345,
08/31/1997,28.5625,23.070018,23.291667,31.333333,23.0,7045.483312,
11/30/1997,34.041667,19.183078,28.5625,34.708333,28.479167,8394.879605,
02/28/1998,34.583333,1.591187,34.1875,36.229167,32.666667,8446.598959,
05/31/1998,38.0625,10.060241,34.5,42.6875,32.333333,9195.13882,
08/31/1998,33.75,-11.330049,38.3125,41.75,30.6875,8111.03611,
11/30/1998,29.9375,-11.296296,33.375,34.8125,22.125,7168.564433,
02/28/1999,23.5625,-21.294363,29.875,30.375,23.0625,5642.606102,
05/31/1999,37.5,59.151194,23.0625,38.625,20.625,8980.125046,
