Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,267.76001,0.004,0.004,0.0,21.569,,,26.040001,,,26.040001,,3.631,,,,,51.243999,90.156998,,,0.0,,126.359001,116.819,,,9.540001,216.515999,,20.735001,20.735001,,,,8.856,,,,,14.788001,,,14.788001,44.379002,187.205994,,,,2.763,,,2.763,189.968994,234.347995,0.0,16.455,,0.0,,16.957001,33.412001,0.0,33.412001,267.759996,
06/30/1998,325.651001,45.493,45.493,0.0,25.408001,,,32.903999,7.651,9.736,15.517,,3.333,,,,,107.138,90.803001,95.718002,-4.915,0.0,,127.709999,120.596001,,,7.113998,218.513,,23.105,23.105,,,,12.958,,,,,19.477001,,,19.477001,55.540001,177.723999,,,,2.762,,,2.762,180.485999,236.026,0.0,65.208,,0.0,,24.417,89.625,0.0,89.625,325.651,
09/30/1998,290.683014,2.988,2.988,0.0,37.868999,,,28.253,6.872,3.999,17.382,,3.654,,,,,72.764,91.702003,97.943001,-6.241,0.0,,126.217003,119.334,,,6.883003,217.919006,,17.791,17.791,,,,8.243,,,,,20.329998,,,20.329998,46.363998,143.257004,,,,2.763,,,2.763,146.020004,192.384002,0.0,66.571999,,0.0,,31.726999,98.298998,,98.298998,290.683,
12/31/1998,668.171021,1.159,1.159,0.0,39.666,,,26.556,7.398,5.386,13.772,0.0,8.229,,,,,75.610001,93.981003,101.279999,-7.299,0.0,,498.579987,480.583008,,,17.996979,592.560989,,12.594,12.594,,,,13.31,,,,,18.618999,,,18.618999,44.522999,514.486023,,,,7.726,,,7.726,522.212023,566.735022,0.0,66.571999,,0.0,,34.863998,101.435997,0.0,101.435997,668.171019,
03/31/1999,682.082,2.484,2.484,0.0,43.263,43.263,,36.553,8.473,11.777,16.303,,8.265,,,,,90.565,94.3125,102.922,-8.609,0.0,,497.204,475.65,,,21.554,591.5165,,12.526,12.526,,,,10.498,,,,,23.569,,,23.569,46.593,521.288,,,,6.768,,,6.768,528.056,574.649,0.0,66.576,,0.0,41.453,-0.596,107.433,0.0,107.433,682.082,
06/30/1999,695.213,4.454,4.454,0.0,56.015,56.015,,39.298,12.573,18.533,8.192,,9.225,,,,,108.992,94.591,104.566,-9.975,0.0,,491.63,470.704,,,20.926,586.221,,9.139,9.139,,,,11.8,,,,,30.169,,,30.169,51.108,519.985,,,,6.767,,,6.767,526.752,577.86,0.0,66.606,,0.0,51.343,-0.596,117.353,0.0,117.353,695.213,
09/30/1999,809.196,10.917,10.917,0.0,76.178,76.178,,42.474,8.018,10.626,23.83,0.0,7.475,,,,,137.044,94.968,106.35,-11.382,0.0,,577.184,557.002,,,20.182,672.152,,21.905,21.905,,,,13.076,,,,,42.091,,,42.091,77.072,592.791,,,,6.768,,,6.768,599.559,676.631,0.0,66.739,,0.0,66.422,-0.596,132.565,0.0,132.565,809.196,
12/31/1999,1181.806,211.952,131.723,80.229,91.821,91.821,,44.997,11.768,7.58,25.649,0.0,29.163,,,,,377.933,122.268,145.148,-22.88,33.583,,648.022,621.356,,,26.666,803.873,,28.942,28.942,,,,14.502,,,,,70.722,,,70.722,114.166,549.194,,,,23.434,,,23.434,572.628,686.794,0.0,228.211,,0.0,266.895,-0.094,495.012,0.0,495.012,1181.806,
03/31/2000,805.658,7.491,7.491,0.0,59.415,59.415,,49.734,10.673,14.613,24.448,0.0,19.252,,,,,135.892,97.782,112.79,-15.008,0.0,,571.984,552.248,,,19.736,669.766,,26.525,26.525,,,,13.392,,,,,59.062,,,59.062,98.979,478.789,,,,18.061,,,18.061,496.85,595.829,0.0,116.847,,0.0,92.982,0.0,209.829,0.0,209.829,805.658,
06/30/2000,902.219,73.554,73.554,0.0,89.535,89.535,,60.101,9.705,20.613,29.783,0.0,22.977,,,,,246.167,98.794,114.518,-15.724,0.0,,557.258,545.939,,,11.319,656.052,,36.564,36.564,,,,2.912,,,,,55.648,,,55.648,95.124,291.472,,,,39.016,,,39.016,330.488,425.612,0.0,371.777,,0.0,104.83,0.0,476.607,0.0,476.607,902.219,
