Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1989,225.938004,7.645,7.645,0.0,29.614,,,86.156998,,,,,3.412,,,126.828003,69.556,111.767998,-42.212002,0.0,,29.554001,,,,,29.554001,99.110001,,47.851002,47.851002,,,,0.677,,,,,,14.894998,,,14.894998,63.423,4.287,,,,,7.274,,,,,,7.274,11.561,74.984,0.0,10.552,,,,,140.401993,150.953993,0.0,150.953993,225.937993,
10/31/1989,234.929993,1.554,1.554,0.0,40.485001,,,88.125999,,,,,4.003,,,134.167999,70.971001,114.987999,-44.016998,0.0,,29.791,,,,,29.791,100.762001,,37.268002,37.268002,,,,16.393999,,,,,,11.930002,,,11.930002,65.592003,4.287,,,,,7.268,,,,,,7.268,11.555,77.147003,0.0,10.709,,,,,147.074005,157.783005,0.0,157.783005,234.930008,
01/31/1990,218.087997,2.38,2.38,0.0,30.693001,,,77.577003,,,,,4.971,,,115.621002,72.694,118.355003,-45.660999,0.0,,29.773001,,,,,29.773001,102.467001,,27.409,27.409,,,,7.647,,,,,,9.307998,,,9.307998,44.363998,4.287,,,,,7.252,,,,,,7.252,11.539,55.902998,0.0,10.874,,,,,151.311005,162.185005,0.0,162.185005,218.088003,
04/30/1990,224.839996,18.402,18.402,0.0,35.591,,,61.494999,,,,,4.459,,,119.946999,75.417999,122.167999,-46.75,0.0,,29.475,,,,,29.475,104.893,,21.992001,21.992001,,,,0.01,,,,,,23.74,,,23.74,45.742001,4.277,,,,,7.696,,,,,,7.696,11.973,57.715001,0.0,11.032,,,-3.692,,159.785002,167.125002,0.0,167.125002,224.840003,
07/31/1990,247.412994,1.39,1.39,0.0,38.759998,,,96.004997,,,,,3.541,,,139.695999,78.126999,126.405998,-48.278999,0.0,,29.59,,,,,29.59,107.716999,,35.380001,35.380001,,,,,,,,,,25.515999,,,25.515999,60.896,4.277,,,,,7.897,,,,,,7.897,12.174,73.07,0.0,11.277,,,,,163.065994,174.342994,0.0,174.342994,247.412994,
10/31/1990,250.949997,2.102,2.102,0.0,43.474998,,,92.527,,,,,4.256,,,142.360001,79.515999,130.050995,-50.535,0.0,,29.073999,,,,,29.073999,108.589998,,34.575001,34.575001,,,,,,,,,,23.439998,,,23.439998,58.014999,4.277,,,,,7.638,,,,,,7.638,11.915,69.929999,0.0,11.515,,,,,169.505005,181.020005,0.0,181.020005,250.950004,
01/31/1991,238.921997,7.666,7.666,0.0,35.277,,,82.321999,,,,,4.448,,,129.712997,80.625999,133.386993,-52.761002,0.0,,28.583,,,,,28.583,109.208999,,21.076,21.076,,,,0.0,,,,,,20.543999,,,20.543999,41.619999,4.277,,,,,7.6,,,,,,7.6,11.877,53.496999,0.0,12.119,,,,,173.306,185.425,0.0,185.425,238.921999,
04/30/1991,252.429001,24.513,24.513,0.0,42.327999,,,66.530998,,,,,7.664,,,141.035995,82.908997,136.722,-53.813,0.0,,28.483999,,,,,28.483999,111.392996,,24.819,24.819,,,,0.44,,,,,,24.769999,,,24.769999,50.028999,4.267,,,,,7.91,,,,,,7.91,12.177,62.205999,0.0,12.508,,,-3.692,,181.406996,190.222996,0.0,190.222996,252.428995,
07/31/1991,269.955994,9.668,9.668,0.0,41.337002,,,99.68,,,,,4.792,,,155.477005,85.379997,141.567001,-56.187,0.0,,29.099001,,,,,29.099001,114.478998,,34.019001,34.019001,,,,,,,,,,27.472,,,27.472,61.491001,4.267,,,,,7.864,,,,,,7.864,12.131,73.622001,0.0,12.703,,,,,183.630997,196.333997,0.0,196.333997,269.955998,
10/31/1991,272.86499,2.869,2.869,0.0,46.602001,,,103.019997,,,,,4.934,,,157.425003,86.584999,144.783997,-58.199001,0.0,,28.855,,,,,28.855,115.439999,,33.660999,33.660999,,,,,,,,,,23.428002,,,23.428002,57.089001,4.267,,,,,7.823,,,,,,7.823,12.09,69.179001,0.0,12.95,,,,,190.735992,203.685992,0.0,203.685992,272.864993,
