Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,445.044006,102.302002,104.374001,,20.445,,,20.445,217.923004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,31.261,70.407997,161.098999,,36.625999,,,36.625999,-236.871994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,189.570999,70.573997,158.151001,,4.216,,,4.216,-43.369999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,592.39502,65.035004,186.966003,,-6.261,,,-6.261,346.654999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.39502,,,
03/31/1991,-126.833,-63.275002,399.859009,,-116.789001,,,-116.789001,-346.627991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,519.114014,60.587002,164.998993,,36.080002,,,36.080002,257.447998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,6.829,58.806999,204.042999,,47.435001,,,47.435001,-303.455994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,440.890015,65.880997,196.098999,,-52.726002,,,-52.726002,231.636002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.890015,,,
03/31/1992,100.0,80.0,185.0,,23.0,,,23.0,-188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,362.0,87.0,148.0,,19.0,,,19.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-950.0,98.0,165.0,,32.0,,,32.0,-1245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,1160.0,112.0,198.0,,776.0,,,776.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0,,,
03/31/1993,1163.0,134.0,144.0,,15.0,,,15.0,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,419.0,118.0,160.0,,-4.0,,,-4.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,570.0,151.0,156.0,,239.0,,,239.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-48.0,156.0,65.0,,-119.0,,,-119.0,-150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.0,,,
03/31/1994,-155.0,178.0,93.0,,41.0,,,41.0,-467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,47.0,177.0,92.0,,85.0,,,85.0,-307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,1473.0,193.0,88.0,,39.0,,,39.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1086.0,201.0,96.0,,91.0,,,91.0,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1086.0,,,
03/31/1995,-271.0,213.0,99.0,,57.0,,,57.0,-640.0,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
06/30/1995,609.0,225.0,114.0,,17.0,,,17.0,253.0,,,,,,-14.0,,-14.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
09/30/1995,831.0,235.0,160.0,,25.0,,,25.0,411.0,,,,,,-11.0,,-11.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
12/31/1995,658.0,241.0,159.0,,23.0,,,23.0,235.0,,,,,-20.0,-20.0,,-20.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,638.0,,,
03/31/1996,111.0,243.0,154.0,,21.0,,,21.0,-307.0,,,,,,-14.0,,-14.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
06/30/1996,457.0,278.0,486.0,,-468.0,,,-468.0,161.0,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
09/30/1996,-16.0,249.0,102.0,,-79.0,,,-79.0,-288.0,,,,,,-15.0,,-15.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
