Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1991,14.536999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551,,,0.551,0.551,,674.495972,0.000703,0.000703,,674.495972,0.000703,0.000703,0.000703,
09/29/1991,16.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,,,0.388,0.388,,662.911987,0.000625,0.000625,,662.911987,0.000625,0.000625,0.000625,
12/31/1991,22.482998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.589,,,1.589,1.589,,694.271973,0.002266,0.002266,,694.271973,0.002266,0.002266,0.002266,
03/29/1992,20.276999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,,0.556,0.556,,787.199951,0.000703,0.000703,,787.199951,0.000703,0.000703,0.000703,
06/28/1992,23.462999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903,,,0.903,0.903,,790.848022,0.001016,0.001016,,790.848022,0.001016,0.001016,0.001016,
09/27/1992,26.855007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.056,,,1.056,1.056,,911.935913,0.001016,0.001016,,911.935913,0.001016,0.001016,0.001016,
12/27/1992,41.737999,,,-18.761,,22.976999,,-19.617001,,,,,3.36,1.864,,,,0.0,,-1.864,5.224,-1.972,3.252,0.0,,,3.252,0.0,3.252,-0.101,,3.151,3.151,,919.679993,0.003437,0.003437,,919.679993,0.003437,0.003437,0.003437,
03/28/1993,36.708,,,-17.076,,19.632,,-17.253,,,,,2.379,-0.641,,,,0.0,,0.641,1.738,-0.739,0.999,0.0,,,0.999,0.0,0.999,-0.101,,0.898,0.898,,922.624023,0.000937,0.000937,,922.624023,0.000937,0.000937,0.000937,
06/27/1993,43.983002,,,-20.212999,,23.770002,,-20.672001,,,,,3.098,-0.156,,,,0.0,,0.156,2.942,-1.106,1.836,0.0,,,1.836,0.0,1.836,-0.102,,1.734,1.734,,928.192017,0.001875,0.001875,,928.192017,0.001875,0.001875,0.001875,
10/03/1993,54.112,,,-24.424,,29.688,,-25.433001,,,,,4.255,-0.633,,,,0.0,,0.633,3.622,-1.427,2.195,0.0,,,2.195,0.0,2.195,-0.101,,2.094,2.094,,930.94397,0.002188,0.002188,,930.94397,0.002188,0.002188,0.002188,
01/02/1994,70.528,,,-32.480999,,38.047001,,-30.021,,,,,8.026,-0.212,,0.969,,0.0,,-0.757,7.814,-3.079,4.735,0.0,,,4.735,0.0,4.735,-0.68,,4.055,4.055,,958.176025,0.005,0.005,,958.176025,0.005,0.005,0.005,
04/03/1994,61.09,,,-27.978001,,33.112,,-30.764999,,,,,2.347,-0.273,,0.983,,0.0,,-0.71,2.074,-0.819,1.255,0.0,,,1.255,0.0,1.255,-0.67,,0.585,0.585,,959.200012,0.00125,0.00125,,959.200012,0.00125,0.00125,0.00125,
07/03/1994,72.969002,,,-32.678001,,40.291,,-34.676998,,,,,5.614,-4.282,,0.964,,0.0,,3.318,1.332,-1.121,0.211,0.0,,,0.211,0.0,0.211,-0.068,,0.143,0.143,,962.559998,0.000313,0.000313,,962.559998,0.000313,0.000313,0.000313,
10/02/1994,80.335999,,,-34.131001,,46.204998,,-38.894001,,,,,7.311,-0.777,,0.891,,0.0,,-0.114,6.534,-2.529,4.005,0.0,,,4.005,0.0,4.005,-0.67,,3.335,3.335,,963.039978,0.004062,0.004062,,963.039978,0.004062,0.004062,0.004062,
01/01/1995,115.544998,,,-50.715,,64.829998,,-50.666,,,,,14.164,0.036,,0.949,,0.0,,-0.985,14.2,-5.58,8.62,0.0,,,8.62,0.0,8.62,0.0,,8.62,8.62,,1063.807983,0.008125,0.008125,,1063.807983,0.008125,0.008125,0.008125,
04/02/1995,101.112999,,,-44.147999,,56.965,,-49.889,,,,,7.076,1.445,,0.926,,0.0,,-2.371,8.521,-3.391,5.13,0.0,,,5.13,0.0,5.13,0.0,,5.13,5.13,,1157.18396,0.004375,0.004375,,1157.18396,0.004375,0.004375,0.004375,
07/02/1995,119.174004,,,-52.021,,67.153004,,-56.846001,,,,,10.307,1.01,,0.907,,0.0,,-1.917,11.317,-4.472,6.845,0.0,,,6.845,0.0,6.845,0.0,,6.845,6.845,,1174.560059,0.005937,0.005937,,1174.560059,0.005937,0.005937,0.005937,
10/01/1995,129.380997,,,-57.910999,,71.469997,,-62.901001,,,,,8.569,0.536,,0.983,,0.0,,-1.519,9.105,-3.598,5.507,0.0,,,5.507,0.0,5.507,0.0,,5.507,5.507,,1178.432007,0.004688,0.004688,,1178.432007,0.004688,0.004688,0.004688,
12/31/1995,169.537003,,,-86.663002,,82.874001,,-67.07,,,,,15.804,0.008,,2.25,,0.0,,-2.258,15.812,-6.246,9.566,0.0,,,9.566,0.0,9.566,0.0,,9.566,9.566,,1184.927979,0.008125,0.008125,0.008125,1184.927979,0.008125,0.008125,0.008125,
03/31/1996,153.608994,,,-76.938004,,76.67099,,-69.115997,,,,,7.555,9.349,,2.709,,0.0,,-12.058,16.903999,-6.513,10.391,0.0,,,10.390999,0.0,10.391,0.0,,10.391,10.391,,1190.864014,0.00875,0.00875,0.00875,1190.864014,0.00875,0.00875,0.00875,
06/30/1996,176.949997,,,-83.164001,,93.785995,,-79.166,,,,,14.62,0.869,,1.96,,0.0,,-2.829,15.489,-6.043,9.446,0.0,,,9.446,0.0,9.446,0.0,,9.446,9.446,,1263.567993,0.0075,0.0075,0.0075,1263.567993,0.0075,0.0075,0.0075,
09/29/1996,196.384995,,,-89.035004,,107.349991,,-88.335999,,,,,19.014,1.282,,1.82,,0.0,,-3.102,20.296,-7.571,12.725,0.0,,,12.725,0.0,12.725,0.0,,12.725,12.725,,1296.816048,0.01,0.01,0.01,1296.816048,0.01,0.01,0.01,
12/29/1996,239.141998,,,-115.558998,,123.583,,-102.276001,,,,,21.306999,2.091,,1.804,,0.0,,-3.895,23.397999,-9.008,14.39,0.0,,,14.389999,0.0,14.39,0.0,0.0,14.39,14.39,,1243.599976,0.011875,0.011875,0.011875,1415.024048,0.01125,0.01125,0.01125,
03/30/1997,214.914993,,,-99.149002,,115.765991,,-101.774002,,,,,13.992,1.686,,1.834,,0.0,,-3.52,15.678,-6.035,9.643,0.0,,,9.643,0.0,9.643,0.0,0.0,9.643,9.643,,1250.031982,0.0075,0.0075,0.0075,1414.447998,0.0075,0.0075,0.0075,
06/29/1997,242.19,,,-102.625,,139.565,,-116.587,,,,,22.978,0.789,-0.789,1.816,-2.605,,,0.0,23.767,-9.151,14.616,,,,14.616,,14.616,,,14.616,14.616,,1301.008,0.01125,0.01125,0.01125,1425.024,0.01125,0.01125,0.01125,
09/28/1997,277.091003,,,-118.399002,,158.692001,,-130.360001,,,,,28.332001,0.552,,1.821,,0.0,,-2.373,28.884001,-11.905,16.979,0.0,,,16.979001,0.0,16.979,0.0,0.0,16.979,16.979,,1316.287968,0.013125,0.013125,0.013125,1316.287968,0.013125,0.013125,0.013125,
12/28/1997,321.325,,,-146.235,,175.09,,-141.609,,,,,33.481,1.312,-1.312,0.845,-2.157,,,0.0,34.793,-13.838,20.955,,,,20.955,,20.955,,,20.955,20.955,,1359.648,0.015625,0.015625,0.015625,1455.392,0.014375,0.014375,0.014375,
