Date,Returns,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Source: Bloomberg
03/31/2019,,,28.359935,12.606986,10.640759,,12.560722,9.32223,9.252834,9.252834,,25.782689,
03/31/2020,,,28.858025,9.4393,7.355967,-40.0,7.587449,2.623457,2.469136,2.469136,,65.423729,
06/30/2020,,,28.726083,11.656596,9.69285,,9.441088,6.772407,6.570997,6.570997,,28.266667,
