Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2011,720.675,549.539,218.996,330.543,39.834,39.834,0.0,0.0,0.0,0.0,0.0,0.0,6.695,6.695,0.0,0.0,596.068,61.983,84.539,-22.556,0.0,,62.624,43.179,36.761,6.418,,19.445,124.607,,25.05,4.543,5.266,0.0,15.241,22.694,0.0,22.694,22.694,,0.0,0.0,0.0,0.0,47.744,21.104,0.0,21.104,21.104,,18.543,0.0,0.0,0.0,13.617,4.926,39.647,87.391,835.122,68.098,0.001,68.097,0.0,-269.904,-0.032,633.284,0.0,633.284,720.675,
12/31/2012,831.568,424.856,203.328,221.528,112.155,112.155,0.0,0.0,0.0,0.0,0.0,0.0,17.455,17.455,0.0,0.0,554.466,185.574,258.811,-73.237,0.0,,91.528,72.566,68.813,3.753,,18.962,277.102,,61.043,8.432,5.711,0.0,46.9,48.836,0.0,48.836,48.836,,0.0,0.0,0.0,0.0,109.879,65.732,0.0,65.732,65.732,,31.593,0.0,0.0,0.0,12.156,19.437,97.325,207.204,872.536,101.788,0.001,101.787,0.0,-349.303,-0.657,624.364,0.0,624.364,831.568,
03/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013,964.059,375.058,164.509,210.549,123.709,123.709,0.0,0.0,0.0,0.0,0.0,0.0,23.953,23.953,,0.0,522.72,242.553,357.031,-114.478,0.0,,198.786,178.154,163.715,14.439,,20.632,441.339,,78.362,10.421,,,67.941,61.538,0.0,61.538,61.538,,0.0,,,0.0,139.9,80.131,0.0,80.131,80.131,,35.867,,,,12.156,23.711,115.998,255.898,872.536,254.832,0.001,254.831,0.0,-418.554,-0.653,708.161,0.0,708.161,964.059,
09/30/2013,992.803,321.075,155.704,165.371,147.542,147.542,0.0,0.0,0.0,0.0,0.0,0.0,29.548,29.548,,0.0,498.165,284.024,423.517,-139.493,0.0,,210.614,183.127,171.031,12.096,,27.487,494.638,,95.39,9.408,8.487,,77.495,70.778,0.0,70.778,70.778,,0.0,,,0.0,166.168,89.7,0.0,89.7,89.7,,43.06,,,,12.156,30.904,132.76,298.928,872.536,304.837,0.001,304.836,0.0,-483.155,-0.343,693.875,0.0,693.875,992.803,
12/31/2013,3366.24,2234.054,841.01,1393.044,247.328,247.328,0.0,0.0,0.0,0.0,0.0,0.0,93.297,93.297,0.0,0.0,2574.679,332.662,499.727,-167.065,0.0,,458.899,441.104,363.477,77.627,,17.795,791.561,,123.825,27.994,9.515,0.0,86.316,87.126,0.0,87.126,87.126,,14.479,0.0,0.0,0.0,225.43,110.52,0.0,110.52,110.52,,80.284,0.0,0.0,0.0,59.5,20.784,190.804,416.234,0.0,3944.955,0.003,3944.952,0.0,-994.626,-0.323,2950.006,0.0,2950.006,3366.24,
03/31/2014,3356.209,2176.595,960.755,1215.84,237.86,237.86,0.0,0.0,0.0,0.0,0.0,0.0,90.925,90.925,,0.0,2505.38,383.272,583.265,-199.993,0.0,,467.557,434.928,363.477,71.451,,32.629,850.829,,170.998,19.714,10.073,,141.211,90.253,0.0,90.253,90.253,,0.0,,,0.0,261.251,102.534,0.0,102.534,102.534,,55.578,,,,29.574,26.004,158.112,419.363,0.0,4064.13,0.003,4064.127,0.0,-1126.988,-0.296,2936.846,0.0,2936.846,3356.209,
06/30/2014,3584.817,2097.031,844.976,1252.055,287.082,287.082,0.0,0.0,0.0,0.0,0.0,0.0,79.773,79.773,,0.0,2463.886,467.634,704.941,-237.307,0.0,,653.297,620.098,514.601,105.497,,33.199,1120.931,,270.631,23.084,11.845,,235.702,99.744,0.0,99.744,99.744,,0.0,,,0.0,370.375,101.929,0.0,101.929,101.929,,65.92,,,,31.929,33.991,167.849,538.224,0.0,4318.024,0.003,4318.021,0.0,-1271.63,0.199,3046.593,0.0,3046.593,3584.817,
09/30/2014,5448.654,3647.682,2252.795,1394.887,324.731,324.731,0.0,0.0,0.0,0.0,0.0,0.0,201.472,201.472,,0.0,4173.885,503.958,788.34,-284.382,0.0,,770.811,737.984,622.638,115.346,,32.827,1274.769,,331.949,30.619,17.341,,283.989,110.527,0.0,110.527,110.527,,0.0,,,0.0,442.476,1415.225,1293.604,121.621,121.621,,65.915,,,,29.42,36.495,1481.14,1923.616,0.0,4973.352,0.003,4973.349,0.0,-1447.094,-1.22,3525.038,0.0,3525.038,5448.654,
12/31/2014,5583.082,3621.878,1510.724,2111.154,418.454,418.454,0.0,0.0,0.0,0.0,0.0,0.0,215.521,,0.0,215.521,4255.853,557.019,888.27,-331.251,0.0,,770.21,727.581,622.57,105.011,,42.629,1327.229,,262.795,53.241,18.38,0.0,191.174,112.32,0.0,112.32,112.32,,18.679,0.0,0.0,0.0,393.794,1494.97,1376.02,118.95,118.95,,67.915,0.0,0.0,0.0,24.706,43.209,1562.885,1956.679,0.0,5208.873,0.003,5208.87,0.0,-1572.446,-10.024,3626.403,0.0,3626.403,5583.082,
03/31/2015,5643.417,3557.208,1607.405,1949.803,415.04,415.04,0.0,0.0,0.0,0.0,0.0,0.0,221.843,221.404,,0.0,4194.091,599.751,987.108,-387.357,0.0,,849.575,802.016,702.699,99.317,,47.559,1449.326,,288.249,48.384,,,239.865,105.948,0.0,105.948,105.948,,0.098,,,0.0,394.295,1494.806,1395.113,99.693,99.693,,67.219,,,,26.077,41.142,1562.025,1956.32,0.0,5464.941,0.003,5464.938,0.0,-1734.888,-42.956,3687.097,0.0,3687.097,5643.417,
06/30/2015,6230.334,3560.57,883.307,2677.263,474.229,474.229,0.0,0.0,0.0,0.0,0.0,0.0,235.628,234.653,,0.0,4270.427,651.017,1096.53,-445.513,0.0,,1308.89,1258.545,1102.193,156.352,,50.345,1959.907,,325.256,51.614,,,273.642,98.606,0.0,98.606,98.606,,0.979,,,0.0,424.841,1498.277,1414.896,83.381,83.381,,76.032,,,,31.768,44.264,1574.309,1999.15,0.0,6135.569,0.003,6135.566,0.0,-1871.551,-32.834,4231.184,0.0,4231.184,6230.334,
09/30/2015,6289.064,3489.194,876.432,2612.762,536.788,536.788,0.0,0.0,0.0,0.0,0.0,0.0,237.577,237.577,,0.0,4263.559,699.502,1209.832,-510.33,0.0,,1326.003,1270.407,1123.121,147.286,,55.596,2025.505,,334.157,40.1,22.536,,271.521,93.621,0.0,93.621,93.621,,0.0,,,0.0,427.778,1508.493,1434.968,73.525,73.525,,78.63,,,,32.958,45.672,1587.123,2014.901,0.0,6311.7,0.003,6311.697,0.0,-2003.241,-34.296,4274.163,0.0,4274.163,6289.064,
12/31/2015,6442.439,3495.348,911.471,2583.877,638.694,638.694,0.0,0.0,0.0,0.0,0.0,0.0,247.75,,0.0,247.75,4381.792,735.299,1314.009,-578.71,0.0,,1325.348,1263.743,1122.728,141.015,,61.605,2060.647,,394.199,134.081,25.88,,234.238,88.166,0.0,88.166,88.166,,23.674,0.0,0.0,0.0,506.039,1514.79,1455.095,59.695,59.695,,53.563,0.0,,,2.978,50.585,1568.353,2074.392,0.0,6507.09,0.003,6507.087,0.0,-2093.477,-45.566,4368.047,0.0,4368.047,6442.439,
03/31/2016,6476.168,3576.41,1027.661,2548.749,576.8,576.8,0.0,0.0,0.0,0.0,0.0,0.0,235.699,,,235.699,4388.909,746.713,1395.854,-649.141,0.0,,1340.546,1250.807,1122.533,128.274,,89.739,2087.259,,341.073,90.353,25.537,,225.183,81.692,0.0,81.692,81.692,,0.0,,,0.0,422.765,1520.991,1475.513,45.478,45.478,,54.926,,,,3.847,51.079,1575.917,1998.682,0.0,6681.184,0.003,6681.181,0.0,-2173.208,-30.49,4477.486,0.0,4477.486,6476.168,
